	Score	0.95 MoE	P-Value	Q-Value
GO_VESICLE_DOCKING_INVOLVED_IN_EXOCYTOSIS	0.35741401706097675			
GO_VESICLE_DOCKING	0.34863639347127484			
MIR3682_5P	0.33262321620022395			
MIR409_5P	0.3212020775235827			
HALLMARK_PROTEIN_SECRETION	0.31347189357479815			
GO_MALATE_METABOLIC_PROCESS	0.31065716556783185			
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT	0.31058704910030493			
GO_SYNAPTIC_VESICLE_DOCKING	0.3102910386185102			
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_UP	0.30813692804489423			
GO_EXOCYTIC_VESICLE	0.3070884254287803			
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_HYPOXIA	0.3067428587197896			
GO_SYNTAXIN_1_BINDING	0.30350771826924616			
GO_EXTRACELLULAR_TRANSPORT	0.30187125287312166			
GO_REGULATION_OF_RETROGRADE_PROTEIN_TRANSPORT_ER_TO_CYTOSOL	0.3011504443836684			
BILD_E2F3_ONCOGENIC_SIGNATURE	0.3000763589305206			
GO_SERINE_TYPE_CARBOXYPEPTIDASE_ACTIVITY	0.29892919520216427			
GO_RESPONSE_TO_COLD	0.2988284193040524			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.29843156534835996			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.2973908129132985			
GO_CERAMIDE_BINDING	0.29709091592135256			
GO_COPPER_ION_IMPORT	0.29634005975593275			
GO_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL	0.29599185385190924			
GO_SNARE_BINDING	0.2955288348121675			
GO_NEGATIVE_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	0.29542562796216065			
VALK_AML_CLUSTER_2	0.29537479768819763			
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP	0.29349047904453035			
MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_UP	0.29309192096545755			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.2928728934906721			
GO_DENSE_CORE_GRANULE_TRANSPORT	0.2925837904940926			
AGTGCGT_MIR521	0.2917949179106044			
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.2908961408470644			
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY	0.2903777484989008			
GO_EXOCYTIC_PROCESS	0.29036406398694536			
KIM_MYC_AMPLIFICATION_TARGETS_DN	0.29035916283263247			
GO_RIBBON_SYNAPSE	0.2900917238761052			
GO_ERAD_PATHWAY	0.2896673211968551			
IPA_REST_DN	0.2887808387489793			
GSE42021_TREG_VS_TCONV_PLN_DN	0.28868584908271083			
REACTOME_ACTIVATION_OF_RAC1	0.28845559023613315			
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.28828935523262456			
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	0.2880187533380659			
GO_UDP_GALACTOSYLTRANSFERASE_ACTIVITY	0.2879326496801003			
GO_PEPTIDYL_L_CYSTEINE_S_PALMITOYLATION	0.2877910429503192			
ZNF707_TARGET_GENES	0.2877579567552026			
WIKMAN_ASBESTOS_LUNG_CANCER_UP	0.28773996302853			
RAF_UP.V1_DN	0.2876263516614023			
MIR3145_3P	0.2875915013377662			
GO_NORADRENERGIC_NEURON_DIFFERENTIATION	0.28756869940042246			
GSE44649_WT_VS_MIR155_KO_NAIVE_CD8_TCELL_UP	0.287458877317865			
MIR191_5P	0.2873989868084842			
GO_CARBONYL_REDUCTASE_NADPH_ACTIVITY	0.28713381159530504			
GTTGNYNNRGNAAC_UNKNOWN	0.28708244822146317			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.28682523691743345			
GO_MANNOSYLATION	0.2860598315104052			
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_DN	0.28605841636246326			
PID_PRL_SIGNALING_EVENTS_PATHWAY	0.28554886436197435			
REACTOME_INSULIN_PROCESSING	0.2854873636213978			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	0.28537946663666575			
GO_PROTEIN_MANNOSYLATION	0.2852899764079633			
XBP1_01	0.28526110279018685			
GO_VACUOLAR_TRANSPORT	0.28523079907948523			
ZSCAN30_TARGET_GENES	0.28520164932133313			
GO_REGULATION_OF_STRESS_GRANULE_ASSEMBLY	0.2847488704436512			
FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_DN	0.2845969365105045			
IPA_NEUROG3_UP	0.28454580354765574			
RIGGINS_TAMOXIFEN_RESISTANCE_UP	0.28451886819590905			
MOHANKUMAR_HOXA1_TARGETS_UP	0.2844652387820523			
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG	0.2842588300563647			
RIZ_ERYTHROID_DIFFERENTIATION_APOBEC2	0.284109965603327			
ROSS_AML_OF_FAB_M7_TYPE	0.2840023977304315			
GO_VESICLE_LOCALIZATION	0.28369684836438314			
HOFMANN_MYELODYSPLASTIC_SYNDROM_RISK_UP	0.28357319648200013			
GO_CLATHRIN_BINDING	0.28353779398580764			
ZNF548_TARGET_GENES	0.28342499525607434			
MIR3161	0.2834054142184719			
GO_HAPTOGLOBIN_BINDING	0.283315238239018			
ZNF257_TARGET_GENES	0.28312725281386114			
GO_LYSOSOMAL_TRANSPORT	0.2831205105091464			
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	0.28307861343778506			
LIAO_METASTASIS	0.2830589666829754			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.2830584228582098			
GO_ER_RETENTION_SEQUENCE_BINDING	0.28302631549805357			
MIR200B_5P	0.28272304796695463			
VALK_AML_CLUSTER_8	0.2826085619660475			
HNRNPUL1_TARGET_GENES	0.282170934928377			
GO_NEURAL_NUCLEUS_DEVELOPMENT	0.28211108693443376			
GO_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX	0.28196120526986823			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.28190416997320533			
GO_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS	0.28179332988839717			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.28177881603965205			
GO_NEURON_FATE_SPECIFICATION	0.28159853212006203			
AMIT_EGF_RESPONSE_120_HELA	0.2812529354128882			
ZNF423_TARGET_GENES	0.2812134028308738			
KANG_FLUOROURACIL_RESISTANCE_UP	0.2810776509519169			
GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.28105372041242943			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.2809403094349604			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.2808916955461127			
BOYLAN_MULTIPLE_MYELOMA_D_UP	0.28074321744674063			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	0.2806303879527634			
GO_HAPTOGLOBIN_HEMOGLOBIN_COMPLEX	0.2805911500460161			
GO_NEUROEPITHELIAL_CELL_DIFFERENTIATION	0.28043457163329893			
PID_IGF1_PATHWAY	0.2804168970208047			
MIR10526_3P	0.2804040244715223			
CERVERA_SDHB_TARGETS_1_UP	0.2803922791626064			
IPA_ARID4B_UP	0.2802991937203457			
MIR8059	0.28016535255240566			
WANG_LMO4_TARGETS_UP	0.28015442275358804			
GO_AXON_MIDLINE_CHOICE_POINT_RECOGNITION	0.2801427473501085			
GO_TERMINAL_BOUTON	0.2800191280466426			
GO_GALACTOSYLTRANSFERASE_ACTIVITY	0.280017683892913			
KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_UP	0.2800099260540785			
GO_APICAL_DENDRITE	0.27998484325700473			
GO_SPONTANEOUS_SYNAPTIC_TRANSMISSION	0.2797465176625789			
PID_MET_PATHWAY	0.27969348493242807			
GO_MKS_COMPLEX	0.27959791839154313			
GO_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION	0.279541171334303			
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN	0.2794303747070677			
GO_PRESYNAPTIC_ACTIVE_ZONE_CYTOPLASMIC_COMPONENT	0.2793890138672261			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.2792922816939553			
GO_HEMOGLOBIN_COMPLEX	0.27913759007274996			
GO_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK	0.2788646368313555			
GO_BASAL_DENDRITE	0.2788027895115663			
BOYLAN_MULTIPLE_MYELOMA_PCA3_UP	0.27872261985259267			
E2F3_UP.V1_UP	0.27845584345267144			
GO_MOTILE_CILIUM_ASSEMBLY	0.2783990681729629			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.27818266910578593			
NRSF_01	0.27815800282377146			
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_UP	0.2780944882734903			
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	0.27808026861077656			
ROAZ_01	0.27801179914374613			
YRCCAKNNGNCGC_UNKNOWN	0.2779728249955253			
GO_INCLUSION_BODY_ASSEMBLY	0.2778618710939195			
GO_ADHERENS_JUNCTION	0.2777492689088173			
GSE12963_UNINF_VS_ENV_AND_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN	0.2777324880790019			
MIR200A_5P	0.2776704757849067			
GO_UBIQUITIN_DEPENDENT_ERAD_PATHWAY	0.2776158966317012			
GO_MEMBRANE_COAT	0.2776034534125672			
GO_PROTEASOME_BINDING	0.27743942539573696			
GTGACGY_E4F1_Q6	0.27742510854885083			
GO_MAINTENANCE_OF_PRESYNAPTIC_ACTIVE_ZONE_STRUCTURE	0.27740349813996945			
SCHRAETS_MLL_TARGETS_UP	0.2773814731542227			
GSE22611_UNSTIM_VS_6H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP	0.27725430621934527			
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	0.2771725772049107			
STEIN_ESTROGEN_RESPONSE_NOT_VIA_ESRRA	0.27708954756513726			
GO_PROTEIN_LOCALIZATION_TO_BASOLATERAL_PLASMA_MEMBRANE	0.27708156785291466			
GO_REGULATION_OF_VACUOLE_ORGANIZATION	0.2767438155387684			
GO_MEMBRANE_REPOLARIZATION	0.27673862174381536			
GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.2763955376694113			
GO_CELLULAR_COMPONENT_MAINTENANCE	0.27638396463960646			
GO_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.27630372752760596			
REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS	0.2762491612716855			
NAKAJIMA_MAST_CELL	0.27623995923260913			
TAKAYAMA_BOUND_BY_AR	0.27623334031299246			
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	0.27617956798065085			
GSE45365_NK_CELL_VS_BCELL_UP	0.27612655982968154			
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_DN	0.2760847655324052			
GO_NEGATIVE_REGULATION_OF_COAGULATION	0.276014213104342			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.27578746551114053			
PID_EPHB_FWD_PATHWAY	0.27569134253533395			
BIOCARTA_SPRY_PATHWAY	0.27557737971323876			
REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS	0.2755405133166396			
GSE45365_NK_CELL_VS_CD8A_DC_MCMV_INFECTION_DN	0.2755348005434185			
MIR374B_3P	0.2754431643414669			
MIR7853_5P	0.27530192561075106			
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	0.27528146993292746			
YANG_BREAST_CANCER_ESR1_UP	0.27528014185631816			
GO_HEAT_ACCLIMATION	0.2752789927315199			
BURTON_ADIPOGENESIS_9	0.2752551050084651			
GO_ASTROCYTE_PROJECTION	0.2752080631537977			
GO_REGULATION_OF_ERAD_PATHWAY	0.2750769650501366			
GO_RESPONSE_TO_CORTICOSTERONE	0.2750428437981947			
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.2749809596970926			
PAX6_TARGET_GENES	0.2749033003774108			
