	Score	0.95 MoE	P-Value	Q-Value
WANG_METHYLATED_IN_BREAST_CANCER	0.4126241577157929			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.38869547625726814			
KERLEY_RESPONSE_TO_CISPLATIN_UP	0.38828712854205477			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.3865448549295247			
ESC_V6.5_UP_EARLY.V1_DN	0.3811375966083242			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_UP	0.3804409805878032			
IPA_TP53_UP	0.3785799190884344			
SMID_BREAST_CANCER_BASAL_UP	0.37813379877828307			
GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_UP	0.37810489343315823			
JIANG_TIP30_TARGETS_UP	0.3777834355247478			
WINTER_HYPOXIA_METAGENE	0.37752300026719654			
GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP	0.3768151160270628			
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.3763793360646722			
GO_REGULATION_OF_COAGULATION	0.375597645871456			
GSE43955_10H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN	0.3750635057524927			
GO_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	0.3749864156741597			
CAHOY_ASTROGLIAL	0.37464286673677744			
KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP	0.37422446099128764			
BROWNE_HCMV_INFECTION_24HR_DN	0.3722232768934697			
AMIT_EGF_RESPONSE_120_HELA	0.37140998897584004			
VANTVEER_BREAST_CANCER_ESR1_DN	0.3712236127063737			
GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.37121116634664625			
VERRECCHIA_RESPONSE_TO_TGFB1_C4	0.3711068862630489			
OZANNE_AP1_TARGETS_UP	0.3708421196698155			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.3704155332832442			
PID_FRA_PATHWAY	0.37036688654529065			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_UP	0.3703195763592313			
GO_BASEMENT_MEMBRANE	0.3694488854999929			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.36894190623613393			
GO_EXTRACELLULAR_MATRIX_BINDING	0.36892287174538846			
PID_P53_DOWNSTREAM_PATHWAY	0.36891360490960656			
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	0.36883109418788146			
HUANG_DASATINIB_RESISTANCE_UP	0.3687376871782113			
GO_CELL_SUBSTRATE_JUNCTION	0.36850683407763635			
REACTOME_LAMININ_INTERACTIONS	0.3683683012895285			
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	0.36800259298157423			
GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.36782435098525956			
GO_LAMININ_BINDING	0.36779162387514985			
WOO_LIVER_CANCER_RECURRENCE_UP	0.3674796461927791			
GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_UP	0.3668525967333603			
