	Score	0.95 MoE	P-Value	Q-Value
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.3311535140628075			
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	0.3260596648689292			
BIOCARTA_AMAN_PATHWAY	0.3245893707260943			
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_UP	0.3245458176636607			
GO_REGULATION_OF_LEUKOCYTE_DEGRANULATION	0.3219414403109688			
GSE6674_UNSTIM_VS_ANTI_IGM_STIM_BCELL_DN	0.31841705081314764			
GO_LEUKOCYTE_MEDIATED_CYTOTOXICITY	0.3183921919112378			
GO_POSITIVE_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.3176163532627401			
GO_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	0.31630590573275086			
GO_T_CELL_MEDIATED_CYTOTOXICITY	0.31582856992194813			
GO_REGULATION_OF_MAST_CELL_ACTIVATION	0.3152985496400808			
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	0.31508421492107996			
GO_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	0.31373185717040153			
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	0.31185428320534575			
PRC1_BMI_UP.V1_DN	0.31161132293019417			
GO_GATED_CHANNEL_ACTIVITY	0.3111264407786085			
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	0.3109253492570748			
GO_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	0.310684277179972			
IPA_HES1_DN	0.30945362236650353			
GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	0.30933998066229673			
IPA_STAT6_DN	0.3087854047083305			
GSE13229_IMM_VS_INTMATURE_NKCELL_UP	0.3083772277677468			
IPA_DAXX_UP	0.3081229936266055			
GSE39382_IL3_VS_IL3_IL33_TREATED_MAST_CELL_UP	0.30811037357077864			
GO_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.3079197457499496			
MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_4	0.3078683318074357			
GO_TOLERANCE_INDUCTION	0.3074337937785429			
GO_CELL_KILLING	0.3074111199854165			
PRC2_SUZ12_UP.V1_DN	0.3071663148804982			
SHEN_SMARCA2_TARGETS_DN	0.30670215440528836			
GO_SPECTRIN_ASSOCIATED_CYTOSKELETON	0.3059870712408394			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_UP	0.30573252876284357			
MIKKELSEN_MEF_ICP_WITH_H3K27ME3	0.30558349162111875			
GO_POSITIVE_REGULATION_OF_CIRCADIAN_RHYTHM	0.3055316936222556			
BIOCARTA_PDZS_PATHWAY	0.30551897440961717			
GO_INTERLEUKIN_8_BIOSYNTHETIC_PROCESS	0.30500452956128876			
GO_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	0.30409282509570307			
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	0.303033860071492			
GO_MICROTUBULE_MINUS_END	0.3028765606789211			
GO_PRIMARY_AMINO_COMPOUND_METABOLIC_PROCESS	0.3027146669575882			
GO_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	0.30255481628872377			
