	Score	0.95 MoE	P-Value	Q-Value
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.4891147960075585			
GO_ADHERENS_JUNCTION	0.4837136222341356			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.48317605030054256			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4798699177542007			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.4781097678400124			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.4742179122727604			
VANTVEER_BREAST_CANCER_BRCA1_DN	0.47203443279592905			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.46999388811492354			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.46994705392739516			
IPA_MSLN_UP	0.4696317370053626			
GSE42021_TREG_VS_TCONV_PLN_DN	0.46898235027165686			
LUND_SILENCED_BY_METHYLATION	0.46809678434828106			
GO_CADHERIN_BINDING	0.467772156690036			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.46545738255435987			
GO_CYTOKINETIC_PROCESS	0.465126643816165			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.4639883041120855			
PID_EPHB_FWD_PATHWAY	0.463772397313981			
GO_CARDIAC_MUSCLE_CELL_CONTRACTION	0.46213863907520536			
IGLV5_37_TARGET_GENES	0.4620946367160417			
GO_POSITIVE_REGULATION_OF_VESICLE_FUSION	0.4617825028668675			
GO_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	0.4615040188862286			
GO_COSTAMERE	0.46089855068674646			
CRX_NRL_DN.V1_DN	0.4602800210566166			
GO_CELL_CORTEX_REGION	0.4595910652496444			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.45922293826908794			
GO_LAMININ_COMPLEX	0.45922077429538344			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.4585546853121394			
MEK_UP.V1_UP	0.45781891483539494			
GO_CELL_JUNCTION	0.4576727912724206			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.45758434973968176			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.4572789335414482			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.4571028684352057			
GO_MEMBRANE_BIOGENESIS	0.45691211254604147			
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.4566861947415046			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.45666902532973225			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.4564261065683202			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.4563045192493816			
REACTOME_CELL_CELL_COMMUNICATION	0.4561749268667087			
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	0.45613794453946693			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.45596943904536325			
GO_CELL_CELL_JUNCTION	0.4559617653703843			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.45558002333371966			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	0.45529393741219365			
AP1_Q2_01	0.454830976931164			
GO_LATERAL_PLASMA_MEMBRANE	0.4545211132822134			
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.45432037385641155			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.45413234892882254			
PID_INTEGRIN4_PATHWAY	0.45396747147497746			
REACTOME_EPH_EPHRIN_SIGNALING	0.4539639325282921			
GO_PLASMA_MEMBRANE_REGION	0.4535780398262067			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.45357671404034416			
LIAO_METASTASIS	0.4535731413940428			
GO_APICAL_JUNCTION_COMPLEX	0.45349920465948473			
GO_REGULATION_OF_ACTION_POTENTIAL	0.4532783274789217			
GO_CELL_CORTEX	0.452975866654386			
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	0.45244214480731565			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.4523211235901372			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.4512017270941695			
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.45062032564447085			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.4501728387325291			
GO_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION	0.45008984615817565			
GO_SYNAPTIC_GROWTH_AT_NEUROMUSCULAR_JUNCTION	0.4499807683073864			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.44971769807981854			
REACTOME_SIGNALING_BY_PTK6	0.4494592157974687			
CDPCR3_01	0.4491462609364723			
IPA_NFE2L3_DN	0.44890223707614646			
ARGGGTTAA_UNKNOWN	0.4488310500104608			
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	0.4486639503923105			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.4483649982036459			
GO_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.4479258559264888			
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN	0.4476303381582837			
GO_SARCOLEMMA	0.4475971615119044			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.447118622992029			
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	0.44650173460971			
GO_CELL_JUNCTION_ORGANIZATION	0.44567920890274554			
GO_TIGHT_JUNCTION	0.44557448023249535			
PASINI_SUZ12_TARGETS_DN	0.4455309782884036			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.4455186635187687			
GO_ACTIN_MODIFICATION	0.44550937695657034			
PID_SYNDECAN_3_PATHWAY	0.445312810987826			
GO_REGULATION_OF_SYNAPTIC_GROWTH_AT_NEUROMUSCULAR_JUNCTION	0.4452943286828345			
GO_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING	0.4449226807980519			
PID_NECTIN_PATHWAY	0.44462267979336784			
GO_CYTOCHROME_B5_REDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H	0.44454629939302354			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.4439781978733283			
IVANOVSKA_MIR106B_TARGETS	0.44396087686557867			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.4438128742850505			
KOHOUTEK_CCNT1_TARGETS	0.4438012439358082			
NR0B1_TARGET_GENES	0.443585365263994			
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_UP	0.4432329795486417			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.44287076765009037			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.44286229853059483			
WGGAATGY_TEF1_Q6	0.44277230456868677			
P53_DN.V1_UP	0.4423324810456814			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.4419969670141328			
GO_INTERCALATED_DISC	0.441808702178447			
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_HYPOXIA	0.44168451285010163			
SESTO_RESPONSE_TO_UV_C8	0.4413773196690888			
GO_NEUREGULIN_BINDING	0.44135909968158804			
REACTOME_HS_GAG_BIOSYNTHESIS	0.4411478370958239			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.44112427295281464			
GO_CELL_JUNCTION_ASSEMBLY	0.44059458056881956			
GO_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	0.44047750972580646			
IPA_NFE2L3_UP	0.44043963483893805			
GO_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	0.44038447140942444			
REACTOME_PTK6_REGULATES_RHO_GTPASES_RAS_GTPASE_AND_MAP_KINASES	0.4403208799743435			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.44022000997619476			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.440024791073003			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.440009993931347			
PID_IGF1_PATHWAY	0.43991343101075125			
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	0.43970560404475617			
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.4396936819534689			
GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY	0.43968607386614283			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.4393419067560555			
KANG_FLUOROURACIL_RESISTANCE_UP	0.4388231281251971			
HNF4_DR1_Q3	0.4387957659605267			
HALLMARK_PROTEIN_SECRETION	0.4386134157538521			
GO_CELL_CELL_CONTACT_ZONE	0.43853257804700463			
HOX13_01	0.438478110878771			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.4382618040934233			
GO_RESPONSE_TO_EPIDERMAL_GROWTH_FACTOR	0.4382114715672578			
GO_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.4381434371572069			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.43805374517962814			
MIR4776_5P	0.4380075661392307			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.4376937548241539			
GO_PLACENTA_DEVELOPMENT	0.4376581019805398			
NUYTTEN_NIPP1_TARGETS_DN	0.4376360704921013			
GO_CAMERA_TYPE_EYE_MORPHOGENESIS	0.43763567332854525			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.4374941909889732			
MIR92A_1_5P	0.4373568255254579			
DELACROIX_RARG_BOUND_MEF	0.43734976442216955			
HOFMANN_MYELODYSPLASTIC_SYNDROM_RISK_UP	0.437329528970075			
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_ACTIN_CYTOSKELETON_POLARITY	0.43726479693527875			
LHX9_TARGET_GENES	0.43716465647896435			
ESC_J1_UP_LATE.V1_UP	0.436892471605106			
REACTOME_MEMBRANE_TRAFFICKING	0.43685084586714007			
