	Score	0.95 MoE	P-Value	Q-Value
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.28430669703841194			
LIM_MAMMARY_LUMINAL_MATURE_UP	0.2764213486132079			
GO_VIRAL_BUDDING	0.2745564903515421			
YANG_BREAST_CANCER_ESR1_UP	0.27261141289591484			
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	0.2723300955203976			
GO_ESCRT_COMPLEX	0.2716935829441662			
GO_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	0.2706171601429716			
JAEGER_METASTASIS_DN	0.269866505782456			
IPA_FOXM1_DN	0.26969418869919837			
CSHL1_TARGET_GENES	0.26904896064644196			
GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_DN	0.26898954419392734			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.2688328473679168			
SMID_BREAST_CANCER_BASAL_DN	0.26872230696107224			
GO_RESPONSE_TO_HYDROSTATIC_PRESSURE	0.26855432313464445			
IPA_BACH1_DN	0.26737695150870444			
GO_EPITHELIAL_CELL_DIFFERENTIATION	0.266764181715915			
IPA_SPDEF_UP	0.26674931872035257			
ENGELMANN_CANCER_PROGENITORS_DN	0.2660160596037579			
NR0B1_TARGET_GENES	0.265975358554536			
GO_NEGATIVE_REGULATION_OF_PROTEIN_HOMOOLIGOMERIZATION	0.2658772586836733			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.26548875034366687			
GO_LUNG_EPITHELIUM_DEVELOPMENT	0.2651341263292851			
LIU_CMYB_TARGETS_UP	0.2649424702150851			
ERBB2_UP.V1_UP	0.26470700650846934			
GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_DN	0.26461760024287795			
MCCABE_HOXC6_TARGETS_CANCER_DN	0.26422915068031266			
GO_VIRAL_BUDDING_VIA_HOST_ESCRT_COMPLEX	0.264150828299208			
DOANE_BREAST_CANCER_ESR1_UP	0.2637268170834857			
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_0.5H_ACT_CD4_TCELL_DN	0.2634848908467414			
XU_GH1_AUTOCRINE_TARGETS_DN	0.2629741419602656			
GU_PDEF_TARGETS_DN	0.26222154750933346			
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.26190513896326634			
RODRIGUES_NTN1_TARGETS_DN	0.26178671030435935			
GO_EPITHELIUM_DEVELOPMENT	0.26075129578352557			
GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.2605597492373392			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.26048468173931694			
TOMIDA_METASTASIS_DN	0.2603810114304478			
ENK_UV_RESPONSE_EPIDERMIS_DN	0.2600635925323273			
IPA_MECOM_UP	0.2595338973224879			
GO_POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.259419892603793			
NRF2_Q4	0.25928611912616456			
BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_UP	0.2591603250672589			
GO_REGULATION_OF_PROTEIN_HOMOOLIGOMERIZATION	0.2587639658681769			
WANG_HCP_PROSTATE_CANCER	0.2585797939492406			
GO_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY	0.2585145159105069			
GO_HISTONE_H2A_K119_MONOUBIQUITINATION	0.25799803851807873			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_PTERIDINE_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	0.25769836246475325			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.2574930209597769			
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	0.25733997834257555			
ALONSO_METASTASIS_NEURAL_UP	0.25710901737995207			
GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.2564090856080929			
OLSSON_E2F3_TARGETS_UP	0.25634248620363953			
GO_VACUOLAR_TRANSPORT	0.2562491188971892			
GO_CYTOCHROME_B5_REDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H	0.2561168724007895			
KMT2D_TARGET_GENES	0.2560703621001805			
HALLMARK_ESTROGEN_RESPONSE_LATE	0.2560103829623666			
SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP	0.2560018895289742			
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	0.255979849125945			
WONG_ENDMETRIUM_CANCER_UP	0.25585235636342096			
REACTOME_SPHINGOLIPID_METABOLISM	0.2557793828220931			
GO_CORNIFICATION	0.2556919053918497			
IPA_NFE2L2_DN	0.25562290552890665			
GO_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	0.2555829419458973			
SUH_COEXPRESSED_WITH_ID1_AND_ID2_UP	0.25555135183015165			
GO_INCLUSION_BODY_ASSEMBLY	0.25551260106769985			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.25535602095875465			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.25500237457714775			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.25486964570575066			
CROMER_METASTASIS_DN	0.25483341957488453			
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN	0.2547972622628454			
FONTAINE_FOLLICULAR_THYROID_ADENOMA_UP	0.25474135630982175			
ZWANG_EGF_INTERVAL_DN	0.2545787523887742			
