	Score	0.95 MoE	P-Value	Q-Value
GO_DENSE_CORE_GRANULE_TRANSPORT	0.3648157192140352			
MIR7108_5P	0.3520884610156521			
GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	0.34865088938970984			
REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	0.34797014642021734			
GO_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_CYTOPLASM	0.3463791972336064			
GO_AXO_DENDRITIC_TRANSPORT	0.34164931692809586			
GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	0.34164665488651824			
GO_MICROTUBULE_BASED_TRANSPORT	0.34099084239752764			
GO_VESICLE_CYTOSKELETAL_TRAFFICKING	0.3408233257366412			
GO_PROTEIN_LOCALIZATION_TO_MEMBRANE_RAFT	0.3398014821572061			
GO_AXON_CYTOPLASM	0.33900420671546777			
GO_AXONAL_TRANSPORT_OF_MITOCHONDRION	0.33861604381934257			
GO_CYTOPLASMIC_REGION	0.3380031433937228			
MIR4715_5P	0.3361682457893279			
GO_MITOCHONDRION_LOCALIZATION	0.3349504080484689			
GO_NEURONAL_SIGNAL_TRANSDUCTION	0.33222872578278834			
GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	0.33029632955553256			
GO_SECRETORY_GRANULE_LOCALIZATION	0.3300390703484552			
GO_CYTOPLASMIC_MICROTUBULE	0.3296852741259304			
MIR4665_5P	0.32907999526326764			
CHEN_HOXA5_TARGETS_6HR_DN	0.3290333847211458			
GO_CHROMAFFIN_GRANULE	0.32885843367258605			
GO_MICROTUBULE_BASED_MOVEMENT	0.32844141877078653			
GO_MITOTIC_SPINDLE_MIDZONE	0.3273597598292039			
IPA_SOX11_UP	0.3268098753933189			
GO_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	0.32636965726190126			
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	0.32598706063668415			
GO_DOPAMINERGIC_SYNAPSE	0.3259527683917465			
GO_NEURON_PROJECTION_CYTOPLASM	0.3257819634827327			
GO_RETROGRADE_AXONAL_TRANSPORT	0.32561176726797253			
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5	0.3248670612532494			
LEIN_NEURON_MARKERS	0.3228222827499202			
MIR4298	0.3227314951723875			
HSF_Q6	0.32249263018297547			
GO_PROTEIN_TRANSPORT_INTO_MEMBRANE_RAFT	0.3222824703225142			
REACTOME_RHO_GTPASES_ACTIVATE_KTN1	0.32085013144413305			
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	0.3207410526015337			
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND	0.32061574078043326			
GO_NEUROFIBRILLARY_TANGLE	0.3205915813899913			
MIR532_3P	0.3198683097838012			
MIR449B_3P	0.31982285446983594			
MIR185_5P	0.3187833441981056			
GO_MICROTUBULE_ASSOCIATED_COMPLEX	0.3182695708304886			
GO_MICROTUBULE_BINDING	0.3179243606891134			
MIR455_3P	0.3166718161074607			
MIR4475	0.3159535400478753			
MIR4501	0.3155778091233305			
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY_PLUS_END_DIRECTED	0.3149626417562791			
MIR4644	0.31490814706695863			
GO_REGULATION_OF_GOLGI_ORGANIZATION	0.3144595353177948			
GO_ANTEROGRADE_AXONAL_TRANSPORT	0.3141154442759066			
GO_EXOCYTIC_INSERTION_OF_NEUROTRANSMITTER_RECEPTOR_TO_POSTSYNAPTIC_MEMBRANE	0.3129337002260492			
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	0.3128376344249021			
CACGTTT_MIR302A	0.3127795907381141			
GCGCTTT_MIR518B_MIR518C_MIR518D	0.31223664272175317			
GTGGTGA_MIR197	0.3114617889973548			
TGCACGA_MIR517A_MIR517C	0.3112383242677275			
GO_PROTEIN_TRANSPORT_WITHIN_LIPID_BILAYER	0.31118827085672085			
SP1_Q2_01	0.3109759371488101			
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY	0.3107346608420152			
GO_MICROTUBULE_BASED_PROCESS	0.31059279545305174			
GO_APICAL_DENDRITE	0.3103994834462475			
GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_DN	0.3097525710510164			
REACTOME_KINESINS	0.3087538180479428			
MIR3150A_3P	0.3086094365157569			
GO_MICROTUBULE	0.307390816005523			
GO_REGULATION_OF_CILIUM_ASSEMBLY	0.3068815843871592			
