	Score	0.95 MoE	P-Value	Q-Value
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	0.3755568996430675			
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	0.37541334947792027			
MIKKELSEN_MEF_ICP_WITH_H3K27ME3	0.3560482510947092			
GO_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	0.3532057317006835			
ZNF197_TARGET_GENES	0.3460190742577055			
SVIL_TARGET_GENES	0.34578499435008986			
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	0.3451515992462102			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.34492252244180527			
GO_MRNA_SPLICE_SITE_SELECTION	0.34482843239962757			
GO_NATURAL_KILLER_CELL_ACTIVATION	0.34383248717709863			
SHEN_SMARCA2_TARGETS_DN	0.3437986859377761			
GO_B_CELL_MEDIATED_IMMUNITY	0.34144185660640197			
GSE26928_CENTR_MEMORY_VS_CXCR5_POS_CD4_TCELL_DN	0.3401218692384286			
PRC2_SUZ12_UP.V1_DN	0.3397025652896691			
GO_POSITIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	0.3392887315054891			
HALLMARK_ALLOGRAFT_REJECTION	0.3392064805989294			
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP	0.33904677305471426			
GO_ADAPTIVE_IMMUNE_RESPONSE	0.3389519914896547			
PRC1_BMI_UP.V1_DN	0.33894892940607496			
GO_POSITIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.33884548062117514			
GO_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.33709454602251415			
GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	0.3370160951466906			
GO_HOMEOSTASIS_OF_NUMBER_OF_CELLS	0.336639493075417			
GO_HISTONE_H4_ACETYLATION	0.3365624866597612			
GO_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	0.33606781066484936			
MIR2114_3P	0.33560128719429644			
GO_CHROMATIN_SILENCING_AT_TELOMERE	0.33520086313646935			
MORI_MATURE_B_LYMPHOCYTE_UP	0.33467222027077			
