	Score	0.95 MoE	P-Value	Q-Value
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.48408468031647733			
GO_CELL_JUNCTION	0.48117446961148563			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.47116800931817493			
HAND1_TARGET_GENES	0.46967432860440683			
GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.4680873459187341			
CERVERA_SDHB_TARGETS_1_UP	0.46394313725042485			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4638841325558796			
GO_LAMININ_COMPLEX	0.4627754409181723			
GSE42021_TREG_VS_TCONV_PLN_DN	0.4619332005845069			
GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.4592411345776134			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.45903322239690375			
AFFAR_YY1_TARGETS_UP	0.4585791829854181			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.45492297210775434			
GO_ADHERENS_JUNCTION	0.4534976453910252			
PASINI_SUZ12_TARGETS_DN	0.45336703472421774			
MIR20B_5P	0.4532422402393138			
MIR17_5P	0.4530427696149371			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.4526786002487901			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.45231028392815065			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.45224865011796556			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.4521556367022555			
MIR93_5P	0.45206648368381663			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.45113795386897215			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.4511244947902948			
MIR519D_3P	0.45106206130157916			
MIR106A_5P	0.450988662928206			
GO_POSITIVE_REGULATION_OF_VESICLE_FUSION	0.45098752383743024			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.4509745852355943			
LIU_PROSTATE_CANCER_DN	0.4509067061936807			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.45090645547970354			
BIOCARTA_AGR_PATHWAY	0.4507597779607427			
GO_SARCOLEMMA	0.45064664702987944			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.4505213880183053			
PID_FAK_PATHWAY	0.45011949298635495			
SASSON_RESPONSE_TO_FORSKOLIN_DN	0.449660190715841			
MIR526B_3P	0.44953437830637505			
GO_MEMBRANE_BIOGENESIS	0.44897526012391603			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.44827737094784126			
HOELZEL_NF1_TARGETS_UP	0.44758548698189415			
JIANG_HYPOXIA_NORMAL	0.4475592434669485			
GO_CYTOSKELETON_ORGANIZATION	0.4467547628443897			
REACTOME_HS_GAG_BIOSYNTHESIS	0.4465257230876727			
GO_CELL_LEADING_EDGE	0.44635856971435256			
KIM_WT1_TARGETS_12HR_UP	0.4463396521274321			
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP	0.44615414292420685			
REACTOME_CELL_CELL_COMMUNICATION	0.44572361795472437			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.44558942798699963			
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_DN	0.44527422153466534			
WONG_ADULT_TISSUE_STEM_MODULE	0.4452079212870618			
GO_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.4446860176571497			
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	0.4446643118481833			
TBK1.DF_UP	0.4446572687261107			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.44461205130371967			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_DP_THYMOCYTES_UP	0.4440673236792631			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.44341171218623937			
GO_CELL_JUNCTION_ASSEMBLY	0.4433867394710422			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.4433748582630926			
GO_CELL_JUNCTION_ORGANIZATION	0.4433320091650695			
UDAYAKUMAR_MED1_TARGETS_DN	0.44308472012319133			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.4430438936079149			
MIR106B_5P	0.44299985502194894			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.4429946637762876			
GO_COSTAMERE	0.4424855527754419			
IVANOVSKA_MIR106B_TARGETS	0.4422525952263885			
GO_SERTOLI_CELL_DEVELOPMENT	0.44191372855314204			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.44180379202502973			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.4416694195045364			
