	Score	0.95 MoE	P-Value	Q-Value
GO_MICROTUBULE_MINUS_END_BINDING	0.40381170302004676			
GO_POSITIVE_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	0.3744820632908149			
GO_MICROTUBULE_MINUS_END	0.36959362333553797			
GO_NEGATIVE_REGULATION_OF_PROTEIN_HOMOOLIGOMERIZATION	0.36337610988600116			
DING_LUNG_CANCER_MUTATED_RECURRENTLY	0.36289756470602763			
GSE17721_POLYIC_VS_PAM3CSK4_0.5H_BMDC_UP	0.35921130701621035			
GO_MITOTIC_SPINDLE_ASSEMBLY	0.3568930155541028			
BASSO_HAIRY_CELL_LEUKEMIA_DN	0.35528532373596655			
GO_SPINDLE_ASSEMBLY	0.3536692114048695			
GO_CELLULAR_RESPONSE_TO_SODIUM_ARSENITE	0.35259181670768014			
IPA_HNF1A_DN	0.35256675430579665			
GSE15750_WT_VS_TRAF6KO_DAY6_EFF_CD8_TCELL_DN	0.3505282242253171			
GHANDHI_DIRECT_IRRADIATION_DN	0.34896461524737266			
GO_ASTRAL_MICROTUBULE_ORGANIZATION	0.3488994504415624			
MIR4745_5P	0.3484746929197382			
GO_CHROMAFFIN_GRANULE	0.3467741359594426			
IPA_NCOA3_UP	0.3462381359248115			
GO_NEGATIVE_REGULATION_OF_PROTEIN_OLIGOMERIZATION	0.34565200828824694			
GO_POSITIVE_REGULATION_OF_HORMONE_SECRETION	0.34456078161088866			
IPA_FOXO1_DN	0.344478073708634			
GO_PRESYNAPTIC_ENDOCYTIC_ZONE	0.34305670563663293			
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP	0.3367591018347561			
GO_POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS	0.3365665347195163			
GO_POSITIVE_REGULATION_OF_INSULIN_SECRETION	0.3351486087973536			
GO_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	0.3310709286632729			
WANG_RECURRENT_LIVER_CANCER_UP	0.3274842471575213			
AIYAR_COBRA1_TARGETS_DN	0.3274830428752211			
GO_CCR4_NOT_COMPLEX	0.3271165435696604			
chr10q11	0.3254968996385366			
GSE43955_1H_VS_42H_ACT_CD4_TCELL_DN	0.32548436789619845			
GO_PHOSPHORYLASE_KINASE_COMPLEX	0.32516606893141203			
GO_PHOSPHORYLASE_KINASE_ACTIVITY	0.32516606893141203			
GO_NODAL_SIGNALING_PATHWAY	0.324705787013609			
GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS	0.3246505444447093			
GO_REGULATION_OF_SPINDLE_ASSEMBLY	0.32331171832941136			
SREBP1_02	0.32275159425883976			
GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN	0.32268703258591			
SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_UP	0.322403740621022			
chr10q22	0.32207196708255253			
GO_POSITIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	0.32155387954250453			
GO_POSITIVE_REGULATION_OF_HYDROGEN_PEROXIDE_INDUCED_CELL_DEATH	0.3212057533454817			
MIR3059_3P	0.32118536963128247			
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	0.32082049202420204			
GO_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	0.3203892854822025			
IPA_SPIC_UP	0.3202897864891737			
MIR4437	0.32022263064809775			
GSE7568_CTRL_VS_3H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_UP	0.3201840452496467			
IPA_H2AFX_DN	0.31998270587606337			
PETRETTO_BLOOD_PRESSURE_DN	0.3187450425036186			
MIR342_5P	0.3187315082118158			
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	0.31857255930000367			
LMO2COM_01	0.31820912290987974			
GO_BLASTOCYST_DEVELOPMENT	0.31814102373186215			
GO_PHOTOPERIODISM	0.3175208320776366			
TERT_TARGET_GENES	0.3174801444531144			
GO_CENTRAL_NERVOUS_SYSTEM_MYELIN_MAINTENANCE	0.31709046921894185			
GO_TOXIC_SUBSTANCE_BINDING	0.31564081202036176			
GO_REGULATION_OF_DNA_DUPLEX_UNWINDING	0.3154432373883459			
GSE3982_EFF_MEMORY_CD4_TCELL_VS_NKCELL_UP	0.31476837805856017			
GO_SPINDLE_ORGANIZATION	0.3147606558404302			
GO_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY	0.3141934264986929			
GO_REGULATION_OF_PROTEIN_HOMOOLIGOMERIZATION	0.3137771206651528			
GO_REGULATION_OF_HORMONE_SECRETION	0.3137438983666158			
GO_FIBROBLAST_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.313681916254603			
YUAN_ZNF143_PARTNERS	0.31306305889370734			
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_UP	0.3127855129219383			
REACTOME_DEADENYLATION_OF_MRNA	0.3125027011278788			
IPA_SFPQ_UP	0.3121024762743337			
GO_CALMODULIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.3120554883131986			
BURTON_ADIPOGENESIS_PEAK_AT_24HR	0.3117203804818754			
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.3115352075038518			
GO_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	0.31111967186433764			
GO_MICROTUBULE_ANCHORING	0.3109994409186711			
GO_NEGATIVE_REGULATION_OF_PRI_MIRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.31099656841904383			
ZNF454_TARGET_GENES	0.31016365523244904			
GO_HISTONE_H2A_ACETYLATION	0.31014283233738027			
REACTOME_FGFR2_ALTERNATIVE_SPLICING	0.3100244671308732			
FONTAINE_FOLLICULAR_THYROID_ADENOMA_UP	0.30956521285618294			
GSE21033_3H_VS_12H_POLYIC_STIM_DC_UP	0.3094595695877178			
GO_POSITIVE_REGULATION_OF_RESPONSE_TO_DRUG	0.3092971312511682			
GO_MPP7_DLG1_LIN7_COMPLEX	0.3091569635166193			
GO_MITOTIC_CELL_CYCLE_CHECKPOINT	0.30864576116412107			
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	0.3085345580900555			
GSE36078_UNTREATED_VS_AD5_T425A_HEXON_INF_IL1R_KO_MOUSE_LUNG_DC_UP	0.3081593833859982			
GSE5589_WT_VS_IL10_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.3080445449101159			
GO_MITOTIC_METAPHASE_PLATE_CONGRESSION	0.3075873496223693			
GO_NEGATIVE_REGULATION_OF_GENE_SILENCING	0.30648056078709496			
GSE9946_IMMATURE_VS_MATURE_STIMULATORY_DC_UP	0.3064775874782406			
H1_6_TARGET_GENES	0.30643011235439904			
MIR551A_MIR551B_3P	0.30627656967732914			
VISALA_AGING_LYMPHOCYTE_UP	0.30593189533813536			
GO_MIDBODY_ABSCISSION	0.30587914575735997			
GO_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	0.3055067272664051			
GO_CELLULAR_RESPONSE_TO_SALT	0.30536597395926957			
GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_LINEAR_AMIDINES	0.3053373117321959			
GO_TRANSFORMING_GROWTH_FACTOR_BETA3_PRODUCTION	0.30533646852981605			
GO_MITOTIC_CYTOKINETIC_PROCESS	0.30532844660399355			
MIR3914	0.3052842383192744			
FARMER_BREAST_CANCER_CLUSTER_8	0.3052299804075437			
