	Score	0.95 MoE	P-Value	Q-Value
MIR4644	0.4210620389245738			
MIR185_5P	0.41977551635434857			
GO_ATPASE_COMPLEX	0.41736491972530565			
GO_SWI_SNF_COMPLEX	0.41490420757126273			
GO_DENDRITE_EXTENSION	0.40732542936341226			
E2F1_Q3	0.40715614729092997			
E2F1DP1RB_01	0.40653555743740527			
GO_MLL3_4_COMPLEX	0.40272828912124237			
GTGGTGA_MIR197	0.401258880331962			
MIR4306	0.4004579639761166			
GO_PROTEIN_METHYLATION	0.40026160046464326			
E2F_Q3	0.40021986407005056			
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	0.39849134030872524			
E2F_Q6	0.39616653967903775			
E2F_02	0.39567515520488733			
E2F_Q4	0.39502802485701366			
TGCACGA_MIR517A_MIR517C	0.3950003743176924			
E2F_03	0.39402925360113367			
E2F1DP2_01	0.3934040984326452			
E2F4DP2_01	0.3934040984326452			
E2F1DP1_01	0.3934040984326452			
GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.3917855495147125			
E2F_Q6_01	0.3916533588082045			
GO_HISTONE_METHYLATION	0.39065686429800695			
GO_MRNA_SPLICE_SITE_SELECTION	0.38970871762257825			
GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY	0.38833532256381637			
E2F4DP1_01	0.3878281467583578			
GO_NUCLEAR_CHROMOSOME	0.38612264916014577			
GO_NBAF_COMPLEX	0.386021222557051			
GO_CHROMATIN	0.38466759195118905			
GO_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	0.3845966243863866			
GO_POSITIVE_REGULATION_OF_MRNA_PROCESSING	0.3831730192150849			
GO_CELLULAR_RESPONSE_TO_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_STIMULUS	0.3831560050666233			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.38213751342618235			
GO_NPBAF_COMPLEX	0.3809635932040439			
MIR4730	0.3806316373598851			
E2F1_Q6	0.3803430489486261			
ZWANG_DOWN_BY_2ND_EGF_PULSE	0.38016224991139447			
GO_PEPTIDYL_LYSINE_METHYLATION	0.37993712226493875			
E2F3_UP.V1_UP	0.3795351395281169			
GO_NURD_COMPLEX	0.3790231845811254			
E2F_01	0.37873890538160004			
GO_SUPERCOILED_DNA_BINDING	0.378161716186657			
GO_HISTONE_H4_K16_ACETYLATION	0.37731475626724836			
GO_CHROMATIN_SILENCING_AT_RDNA	0.37669613574126765			
E2F_Q3_01	0.3763087643311775			
GO_POSITIVE_REGULATION_OF_RNA_SPLICING	0.37600882452856843			
MIR188_3P	0.37467281828908816			
CACGTTT_MIR302A	0.37451550322015065			
GO_SEQUENCE_SPECIFIC_DNA_BINDING	0.37388033038199553			
MIR6090	0.3736409113765696			
GO_CELL_BODY_MEMBRANE	0.3733337808411052			
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	0.3730696163757574			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY	0.372699547557202			
E2F5_TARGET_GENES	0.3724985936982967			
GO_HISTONE_H3_K4_METHYLATION	0.37245743649853996			
GO_REGULATION_OF_RNA_SPLICING	0.37242755134767236			
GO_REGULATION_OF_DENDRITE_EXTENSION	0.3722402170193486			
GO_SECRETORY_GRANULE_LOCALIZATION	0.3719355203178077			
E2F1_Q4_01	0.3715238665653432			
E2F1_Q6_01	0.3711841419015771			
YGCGYRCGC_UNKNOWN	0.3711334923866739			
GO_REGULATION_OF_MRNA_PROCESSING	0.3703748197255525			
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.37029951039066356			
GO_POSITIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.36964656591618134			
GO_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION	0.36960464194305526			
IPA_NEUROD4_UP	0.36893948075417204			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.36873834820245815			
GO_NEGATIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.36848428019316376			
BIOCARTA_HSWI_SNF_PATHWAY	0.3682365742185571			
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	0.3681296203281214			
GO_TRANSLATION_REPRESSOR_ACTIVITY	0.36808564545535183			
GO_PROTEIN_METHYLTRANSFERASE_ACTIVITY	0.3680327490604796			
GO_RNA_POLYMERASE_I_REGULATORY_REGION_DNA_BINDING	0.3670835112691135			
GO_HISTONE_METHYLTRANSFERASE_COMPLEX	0.36663592177381554			
MIR550B_2_5P	0.3665105516617802			
GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.3664858293430999			
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	0.3664333529721706			
BIOCARTA_PRC2_PATHWAY	0.3663289144371092			
GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	0.36527127236194196			
GO_REGULATION_OF_HISTONE_METHYLATION	0.3651597445030272			
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5	0.3646316768279214			
GO_INTERKINETIC_NUCLEAR_MIGRATION	0.3643634397917165			
YY1_02	0.3637902404552982			
MIR5192	0.3634744626014901			
GO_MACROMOLECULE_METHYLATION	0.36338079653053806			
ZNF197_TARGET_GENES	0.36334093073323087			
GO_NEGATIVE_REGULATION_OF_RNA_SPLICING	0.3632869819334238			
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.3627468172798851			
GO_CENTRAL_NERVOUS_SYSTEM_MATURATION	0.3624793502152215			
SGCGSSAAA_E2F1DP2_01	0.3623685829135523			
GO_PCG_PROTEIN_COMPLEX	0.36228551355251365			
GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	0.3621725833581585			
