	Score	0.95 MoE	P-Value	Q-Value
MIR4747_5P	0.39688601241427357			
MIR5196_5P	0.392815323228624			
GO_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT	0.37865388176121234			
MIR922	0.3691495069383453			
MIR3202	0.3672568856501384			
MIR330_5P	0.3654095561347106			
MIR3915	0.36147714396578023			
AML1_Q6	0.36037094683696735			
AML1_01	0.36037094683696735			
MIR4700_5P	0.3589890050276054			
MIR4732_3P	0.3576653395714685			
MIR326	0.35644285203515147			
GO_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT	0.3556106224787578			
CAFFAREL_RESPONSE_TO_THC_UP	0.3549816890934145			
GO_POSITIVE_REGULATION_OF_HEART_GROWTH	0.35406715190225113			
GO_NEGATIVE_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS	0.35377009338080256			
GO_RESPONSE_TO_PARATHYROID_HORMONE	0.35258854099195047			
REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS	0.3522770092661787			
GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	0.3517806285475532			
CCCAGAG_MIR326	0.3511701345929306			
MIR6817_3P	0.35063167905451037			
GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_MDC_UP	0.3502677393701916			
GO_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	0.34987728991612665			
KEGG_ENDOMETRIAL_CANCER	0.3498647105952777			
AGTCTTA_MIR499	0.3490605657553184			
MIR4517	0.3486096095707378			
GO_CELLULAR_RESPONSE_TO_PARATHYROID_HORMONE_STIMULUS	0.3472383636268516			
GO_REGULATION_OF_REMOVAL_OF_SUPEROXIDE_RADICALS	0.3471628521036937			
MIR6825_5P	0.3464890056019662			
GO_JUNCTIONAL_SARCOPLASMIC_RETICULUM_MEMBRANE	0.34641916486594426			
MIR3128	0.3462790035243089			
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MONOCYTE_UP	0.3456597043561512			
GO_NEGATIVE_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	0.34552109132556424			
MIR5691_MIR6805_3P	0.34543889929467814			
MIR7106_5P	0.34525171569373053			
ACTGTAG_MIR139	0.345243876040854			
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_DN	0.3449637595740831			
MIR339_3P	0.3448478466367149			
MIR766_5P	0.34475399045123056			
STONER_ESOPHAGEAL_CARCINOGENESIS_DN	0.3445603166483196			
GO_ESTABLISHMENT_OF_MEIOTIC_SPINDLE_LOCALIZATION	0.3444553482488797			
STAT5B_01	0.3443942327789838			
MIR4423_5P	0.3441412320939211			
GO_POSITIVE_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT	0.3440028347677043			
GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP	0.3438129012262321			
MIR6763_5P	0.34376121866782605			
MIR3150A_3P	0.3432814238182007			
PAX_Q6	0.34221145632760197			
MIR6130	0.3422075695762521			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_EARLY_ENDOSOME	0.3421569032732813			
GO_PROTEIN_TYROSINE_KINASE_BINDING	0.34165848997358605			
MIR6133	0.3414963082295554			
GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	0.34141832283857393			
MIR6731_5P	0.34131286029858776			
MIR5591_3P	0.3413076088722004			
REACTOME_SIGNALING_BY_PDGFRA_TRANSMEMBRANE_JUXTAMEMBRANE_AND_KINASE_DOMAIN_MUTANTS	0.34113026212888636			
MIR670_5P	0.34099290061490184			
GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MACROPHAGE_DN	0.3405731446425758			
MIR548AD_3P	0.3405421223612954			
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.34047085308298425			
GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	0.340436037111671			
MIR6861_5P	0.34033260224223516			
MIR4737	0.3400218740311004			
MIR8085	0.3397206991814538			
GO_NEUROTRANSMITTER_RECEPTOR_COMPLEX	0.3397095086352363			
MIR4524B_3P	0.33957424260857033			
GO_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	0.33955399128230856			
GO_REGULATION_OF_RENAL_SYSTEM_PROCESS	0.33908059454300177			
GSE39820_TGFBETA3_IL6_VS_TGFBETA3_IL6_IL23A_TREATED_CD4_TCELL_DN	0.3390488010202298			
BIOCARTA_CARDIACEGF_PATHWAY	0.33889141450751886			
GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_UP	0.3387413347194281			
GO_REGULATION_OF_EXCRETION	0.33853445117745024			
MIR421	0.3385198104863587			
MIR6762_5P	0.3384081974432208			
GO_VIRION_BINDING	0.338204942981839			
MIR6875_5P	0.3379578997116167			
MIR4303	0.3377820170510178			
MIR6867_5P	0.337623055161284			
MIR4719	0.3374916779949277			
RIZKI_TUMOR_INVASIVENESS_3D_DN	0.3371973028958385			
ABDELMOHSEN_ELAVL4_TARGETS	0.33710477512922976			
BROCKE_APOPTOSIS_REVERSED_BY_IL6	0.33703906070466305			
MIR1256	0.33691497166626194			
CCCNNGGGAR_OLF1_01	0.3367641421673873			
GO_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE	0.33617540762213016			
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	0.33611352482520385			
GSE34217_MIR17_92_OVEREXPRESS_VS_WT_ACT_CD8_TCELL_UP	0.335928726929512			
GO_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	0.3358707967899695			
GO_MYELIN_SHEATH_ADAXONAL_REGION	0.33574037674381135			
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_DN	0.33570909601911286			
MIR6129	0.33569804586817636			
MIR190B_5P	0.3356719567929926			
MIR8089	0.3356373504520821			
GO_MEMBRANE_FUSION	0.33553791942233074			
MIR4306	0.33545277043145993			
MIR4510	0.33518800988784964			
GO_EXTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	0.33514443224689733			
BIOCARTA_SAM68_PATHWAY	0.33489727972442324			
ATGTAGC_MIR221_MIR222	0.33482789408088787			
MIR4667_5P	0.33478094200635705			
NADLER_OBESITY_UP	0.33448559782099035			
GO_RESPIRATORY_CHAIN_COMPLEX_II	0.3344083854058203			
GO_SUCCINATE_DEHYDROGENASE_ACTIVITY	0.3344083854058203			
GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	0.3341041766919738			
REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	0.33396289371106985			
GO_RECEPTOR_TYROSINE_KINASE_BINDING	0.3335184008382412			
GSE22935_24H_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP	0.33338304459382717			
GO_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	0.33334541885056085			
MIR369_3P	0.3332543093533201			
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_0.8H_DN	0.3330688096868062			
