	Score	0.95 MoE	P-Value	Q-Value
GO_VESICLE_DOCKING_INVOLVED_IN_EXOCYTOSIS	0.33869330988775487			
GO_POSITIVE_REGULATION_OF_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	0.3157793134353222			
GO_POSITIVE_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS	0.3089571836937848			
LEE_TARGETS_OF_PTCH1_AND_SUFU_DN	0.30053608825677325			
GO_EXOCYTIC_VESICLE	0.297277183967414			
GO_TRANSPORT_VESICLE	0.2969223304468164			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.296498368075508			
SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN	0.29600314101792347			
GO_VESICLE_DOCKING	0.2952489298941472			
GO_POSITIVE_REGULATION_OF_EXOCYTOSIS	0.29480017684239057			
GO_NEURONAL_ION_CHANNEL_CLUSTERING	0.2931710260810287			
GO_REGULATION_OF_PROTEIN_GLYCOSYLATION	0.2931615942125785			
GO_ANCHORED_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0.2908899753154717			
GO_SYNTAXIN_BINDING	0.28778246460762674			
HOLLERN_MICROACINAR_BREAST_TUMOR_UP	0.287220998002663			
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.2867728151763008			
KIM_MYC_AMPLIFICATION_TARGETS_DN	0.2866689112575128			
HUANG_DASATINIB_RESISTANCE_DN	0.28647188741661805			
GO_REGULATION_OF_EXOCYTOSIS	0.2863745457700371			
GO_SYNTAXIN_1_BINDING	0.28520603875801404			
GO_LUNG_SECRETORY_CELL_DIFFERENTIATION	0.28515563854048637			
GO_REGULATION_OF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.2834484869899648			
GO_SYNAPTIC_VESICLE_DOCKING	0.28292172066035187			
GO_VESICLE_FUSION_TO_PLASMA_MEMBRANE	0.28179665332992593			
MIR5580_5P	0.28142170537707434			
SMID_BREAST_CANCER_BASAL_DN	0.2810035297541618			
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS	0.2805154935238124			
SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP	0.2802384469620607			
DOANE_BREAST_CANCER_ESR1_UP	0.27961915221458733			
IPA_FOXA2_DN	0.27928046381881444			
GO_SNARE_BINDING	0.2789730299613884			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	0.27862965351669444			
GO_POSITIVE_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	0.2783902355823417			
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	0.2779226130841082			
GO_SECRETORY_GRANULE_LOCALIZATION	0.277911629666314			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	0.2773695449390267			
GO_PEPTIDE_HORMONE_SECRETION	0.2773037764890141			
LUI_THYROID_CANCER_CLUSTER_2	0.2770341495245955			
GO_DENSE_CORE_GRANULE_TRANSPORT	0.27686260913413235			
GO_SIGNAL_RELEASE	0.27608617472479985			
GO_POSITIVE_REGULATION_OF_PROTEIN_GLYCOSYLATION	0.2754345278641931			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS	0.2748590903667783			
GO_DICARBOXYLIC_ACID_TRANSPORT	0.27465296935143435			
YANG_BREAST_CANCER_ESR1_UP	0.27458566240038895			
GO_TERMINAL_BOUTON	0.27391661549087726			
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.2739139343905447			
DLX2_TARGET_GENES	0.27388020208293257			
LIM_MAMMARY_LUMINAL_MATURE_UP	0.273812152802644			
GO_EXOCYTIC_PROCESS	0.2725853067575235			
WANG_BARRETTS_ESOPHAGUS_UP	0.2725658449124977			
GO_ALDO_KETO_REDUCTASE_NADP_ACTIVITY	0.27238529174138476			
BIOCARTA_NUCLEARRS_PATHWAY	0.27238223737519796			
GO_HORMONE_TRANSPORT	0.27170289330135305			
IPA_SPDEF_UP	0.2712915583346326			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS	0.27126213147608647			
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	0.27114930118804953			
IPA_DBP_UP	0.2711058933022807			
GO_ARACHIDONIC_ACID_METABOLIC_PROCESS	0.27079127535508607			
GO_RESPONSE_TO_IRON_ION	0.2707639805688862			
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	0.2706319932841681			
GO_ACID_SECRETION	0.2704575744310915			
IPA_BACH1_DN	0.2702351522107736			
GO_POLYPRENOL_METABOLIC_PROCESS	0.27015797503590483			
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT_VIA_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL	0.2699923665296083			
GO_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	0.2698002569339727			
HALLMARK_XENOBIOTIC_METABOLISM	0.2693247791380001			
GO_LUNG_CELL_DIFFERENTIATION	0.26927629997268726			
GO_ACIDIC_AMINO_ACID_TRANSPORT	0.2691717484647789			
RICKMAN_HEAD_AND_NECK_CANCER_A	0.2689488977514337			
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	0.26828693049373575			
GO_REGULATION_OF_VESICLE_FUSION	0.26825709284659105			
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	0.2682034744632481			
chr14q13	0.2679449847871291			
GSE37319_WT_VS_RC3H1_KO_CD44LOW_CD8_TCELL_DN	0.26714777594940053			
GO_SYNAPTIC_TRANSMISSION_CHOLINERGIC	0.2669118326412347			
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	0.26646675915824913			
GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY15_EFFECTOR_CD8_TCELL_DN	0.2662939009083864			
LUCAS_HNF4A_TARGETS_UP	0.2661545058216337			
GO_SEQUESTERING_OF_IRON_ION	0.2661070634236511			
IPA_CBX2_UP	0.2660650635489961			
BIOCARTA_DSP_PATHWAY	0.2660365191033105			
GO_AXON_INITIAL_SEGMENT	0.2658776718365796			
GO_INSULIN_SECRETION	0.265603002136509			
GO_HORMONE_CATABOLIC_PROCESS	0.2654049104566118			
YRCCAKNNGNCGC_UNKNOWN	0.2646906818395156			
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	0.26448428798897433			
GO_COPPER_ION_TRANSPORT	0.2644279550696124			
GO_ALCOHOL_DEHYDROGENASE_NADPPLUS_ACTIVITY	0.26431149803089643			
GO_TRANSITION_METAL_ION_TRANSPORT	0.2638883713000952			
REACTOME_BIOLOGICAL_OXIDATIONS	0.263563673980475			
GO_DEVELOPMENTAL_MATURATION	0.2634876472605323			
WATANABE_COLON_CANCER_MSI_VS_MSS_UP	0.26313959375738666			
GO_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL	0.263136331744228			
chr7p21	0.2629552976680557			
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	0.26285644421986437			
ZNF7_TARGET_GENES	0.2628098142483505			
GO_SNARE_COMPLEX	0.2626887068485361			
GO_BILE_ACID_AND_BILE_SALT_TRANSPORT	0.262569094822435			
GO_DOLICHYL_PHOSPHATE_MANNOSE_PROTEIN_MANNOSYLTRANSFERASE_ACTIVITY	0.2625635589585653			
GSE40274_EOS_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.262408427426923			
REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	0.2621286662197731			
IPA_DEAF1_DN	0.26206213868552497			
LEF1_UP.V1_DN	0.26206037267564086			
REACTOME_RAB_GERANYLGERANYLATION	0.26205596141537796			
GO_PROSTANOID_METABOLIC_PROCESS	0.26203404439741046			
GO_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	0.2619839477726916			
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	0.2619266532552888			
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN	0.2617474038020082			
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.2611396630372672			
TGACGTCA_ATF3_Q6	0.26098732256923085			
GO_STEREOCILIUM_BUNDLE	0.2607491977872341			
WANG_LSD1_TARGETS_DN	0.26067123837290096			
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	0.26054698533528203			
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_UP	0.26050543157274036			
GO_XENOBIOTIC_METABOLIC_PROCESS	0.2605050921142366			
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	0.2604267688192154			
GO_MONOOXYGENASE_ACTIVITY	0.26036811552986144			
IPA_SOX9_DN	0.26035618483062556			
ANDERSEN_LIVER_CANCER_KRT19_DN	0.2603196039124809			
GO_REGULATION_OF_SECONDARY_HEART_FIELD_CARDIOBLAST_PROLIFERATION	0.2602995489092443			
