	Score	0.95 MoE	P-Value	Q-Value
REACTOME_SIGNALING_BY_HIPPO	0.3811384377294456			
LUND_SILENCED_BY_METHYLATION	0.3757362265574404			
IVANOVSKA_MIR106B_TARGETS	0.37222124675139195			
GO_PROGESTERONE_RECEPTOR_SIGNALING_PATHWAY	0.3699678383992002			
FRIDMAN_SENESCENCE_DN	0.36759353868129147			
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.36480254413208935			
LHX9_TARGET_GENES	0.362896448982179			
GO_HIPPO_SIGNALING	0.3626592525335604			
REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION	0.361851324138966			
ONKEN_UVEAL_MELANOMA_DN	0.36094113417182716			
CAIRO_PML_TARGETS_BOUND_BY_MYC_DN	0.3594106290505194			
GO_COSTAMERE	0.3583343862877482			
GO_SERTOLI_CELL_DEVELOPMENT	0.35789836632979105			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.3574719264473069			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	0.35722996941736634			
SUZUKI_AMPLIFIED_IN_ORAL_CANCER	0.35693538736947			
KYNG_DNA_DAMAGE_DN	0.35667840800025813			
SCHRAETS_MLL_TARGETS_UP	0.3563181147420614			
SENESE_HDAC3_TARGETS_DN	0.3557733504523408			
GO_WW_DOMAIN_BINDING	0.3548208603914704			
GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP	0.35476424486088154			
KARLSSON_TGFB1_TARGETS_DN	0.3545306908130193			
PID_SYNDECAN_3_PATHWAY	0.35440115409852924			
PID_MET_PATHWAY	0.3532341464779158			
RIZ_ERYTHROID_DIFFERENTIATION_12HR	0.3531005070773578			
GO_GLYCOLIPID_TRANSPORT	0.35279505933231986			
GO_NEGATIVE_REGULATION_OF_HIPPO_SIGNALING	0.3525549751246909			
GO_ENDOTHELIAL_CELL_CHEMOTAXIS	0.3524735200424416			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.3521892555216778			
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.352136008038468			
REACTOME_SYNDECAN_INTERACTIONS	0.3518802638463222			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.35171208437043733			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.3516961646469097			
SIMBULAN_PARP1_TARGETS_UP	0.3512905290685892			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.3512553631884822			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.35105356275581845			
GO_INTERLEUKIN_1_BETA_BIOSYNTHETIC_PROCESS	0.35031361521018217			
GO_INTERLEUKIN_1_BIOSYNTHETIC_PROCESS	0.35031361521018217			
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	0.3501922213930537			
REACTOME_HS_GAG_DEGRADATION	0.34944309734780676			
PID_PRL_SIGNALING_EVENTS_PATHWAY	0.3494084800342366			
IPA_SMAD4_UP	0.34932461681130555			
GO_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS	0.3492261062357227			
GO_SYNAPTIC_CLEFT	0.34913081421614034			
ZNF654_TARGET_GENES	0.3482969242475409			
REACTOME_RHO_GTPASES_ACTIVATE_CIT	0.34820482286910737			
GO_SERTOLI_CELL_DIFFERENTIATION	0.348147274441602			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.3480815987008527			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.3480097537649328			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.3478963705797087			
HALLMARK_PROTEIN_SECRETION	0.34789017820368956			
HALLMARK_GLYCOLYSIS	0.3478486657492453			
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_UP	0.34749884130174663			
GO_PROLINE_RICH_REGION_BINDING	0.3471892149539927			
GO_FILAMENTOUS_ACTIN	0.3470951361264627			
GO_MEMBRANE_BIOGENESIS	0.34677744303424896			
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.3466542639945883			
GO_CATALYTIC_ACTIVITY_ACTING_ON_A_GLYCOPROTEIN	0.3464461510023784			
KANG_FLUOROURACIL_RESISTANCE_UP	0.34632325763179234			
GO_VESICLE_TRANSPORT_ALONG_ACTIN_FILAMENT	0.3459664216822087			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.3459607344152697			
AFFAR_YY1_TARGETS_UP	0.345945190778683			
KEGG_SMALL_CELL_LUNG_CANCER	0.3455859645179057			
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	0.3452269705432658			
BROWNE_HCMV_INFECTION_2HR_DN	0.34492912927824637			
IPA_FOXM1_DN	0.3448299766763446			
GO_POSITIVE_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	0.34475152998340086			
REACTOME_SIGNALING_BY_MET	0.3446248632227696			
HELLER_HDAC_TARGETS_UP	0.34461520507353344			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.3442759311672858			
GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_DN	0.34401909752805027			
