	Score	0.95 MoE	P-Value	Q-Value
JEON_SMAD6_TARGETS_DN	0.4008893823593854			
GO_LATERAL_PLASMA_MEMBRANE	0.3805464027173311			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.3760965301506363			
DOANE_BREAST_CANCER_ESR1_UP	0.372790897138442			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	0.3574102459973731			
GO_POSITIVE_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY	0.35429877887777245			
LIU_PROSTATE_CANCER_UP	0.3537636476787811			
BARRIER_COLON_CANCER_RECURRENCE_DN	0.35325790448669586			
IVANOV_MUTATED_IN_COLON_CANCER	0.35148372056235844			
LUCAS_HNF4A_TARGETS_UP	0.3496849136682775			
FXR_IR1_Q6	0.34860851291152245			
SANSOM_APC_TARGETS_UP	0.34788016741017536			
HUANG_DASATINIB_RESISTANCE_DN	0.34711816076829993			
AREB6_02	0.34677295842351435			
RODRIGUES_NTN1_TARGETS_DN	0.3456938943975692			
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP	0.3449175608977475			
HANN_RESISTANCE_TO_BCL2_INHIBITOR_DN	0.3442523244148315			
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	0.3414930226225145			
GO_HAIR_CELL_DIFFERENTIATION	0.3396136522798245			
GCNP_SHH_UP_LATE.V1_DN	0.3392456376675452			
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	0.33911501884793005			
BMI1_DN_MEL18_DN.V1_DN	0.3389788040064908			
GO_PROTEIN_BINDING_INVOLVED_IN_HETEROTYPIC_CELL_CELL_ADHESION	0.3388900913216773			
GO_SPECTRIN_ASSOCIATED_CYTOSKELETON	0.33861464138137576			
SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN	0.3374338825963791			
GO_GLUTAMATE_BINDING	0.3357178182627195			
LOPEZ_EPITHELIOID_MESOTHELIOMA	0.33545037815576634			
GO_MECHANORECEPTOR_DIFFERENTIATION	0.3351862258153303			
MIKKELSEN_MEF_ICP_WITH_H3K27ME3	0.3346400642462521			
GO_REGULATION_OF_ACTION_POTENTIAL	0.3334441691133365			
GO_ZONULA_ADHERENS	0.33265633756793933			
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	0.3318019363540322			
ABBUD_LIF_SIGNALING_1_DN	0.3317748938122222			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.3312181095495251			
VANTVEER_BREAST_CANCER_ESR1_UP	0.3307830274296341			
LIM_MAMMARY_LUMINAL_MATURE_UP	0.33031998214152775			
DLX2_TARGET_GENES	0.33015260013298275			
NKX2_3_TARGET_GENES	0.3283274518177022			
MIR4445_3P	0.32827816758943507			
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN	0.3279694777392442			
SMID_BREAST_CANCER_BASAL_DN	0.3279355608449167			
IPA_TEF_UP	0.32778954063923965			
MIR6839_5P	0.32754809493665604			
CAFFAREL_RESPONSE_TO_THC_8HR_3_UP	0.3272986922015716			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.3270460727573364			
GO_BRUSH_BORDER	0.3267787660506356			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_CORTEX	0.3266896953459824			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.3265804521963419			
GO_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.32620987883120744			
AKT_UP.V1_UP	0.3260438759859671			
AREB6_03	0.3259822406779119			
HOLLERN_MICROACINAR_BREAST_TUMOR_UP	0.32579425762288905			
GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_DN	0.32566761699133007			
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_UP	0.3254557425060905			
GO_GALACTOSIDE_BINDING	0.3253751740143442			
GO_BASOLATERAL_PLASMA_MEMBRANE	0.3253057586055823			
XU_CREBBP_TARGETS_UP	0.32530449540242107			
GO_TRANSCYTOSIS	0.32448588180648014			
LEF1_UP.V1_DN	0.32395977621194855			
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	0.3231415856631516			
CHANGOLKAR_H2AFY_TARGETS_UP	0.3231362679109049			
MYOD_Q6	0.3228472950274303			
HALLMARK_ESTROGEN_RESPONSE_LATE	0.32257705229533046			
IPA_HNF4A_UP	0.3225100016978057			
SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP	0.32242468318467427			
IPA_PPARG_UP	0.3220680078725461			
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	0.32168311184897386			
GO_MICROTUBULE_MINUS_END_BINDING	0.32160632064278044			
GO_MICROVILLUS_ORGANIZATION	0.3215979143960943			
GO_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.3215660653135281			
MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_DN	0.32149228351858444			
GO_TIGHT_JUNCTION	0.32138123119534356			
GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_DN	0.3213465370917252			
GO_PROTEIN_LOCALIZATION_TO_CELL_CELL_JUNCTION	0.32131675964068296			
GO_LUNG_CELL_DIFFERENTIATION	0.32034264035484866			
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	0.32006720487453577			
GO_APICOLATERAL_PLASMA_MEMBRANE	0.3199100049457171			
WALLACE_PROSTATE_CANCER_RACE_DN	0.3195205435348246			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_DN	0.31889389409576563			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.3188666664569946			
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	0.3186223424922172			
GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	0.31862087760619634			
GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	0.3170445322189609			
GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DN	0.31679962390465904			
GO_N_ACETYLLACTOSAMINIDE_BETA_1_3_N_ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY	0.31649721677686077			
SERVITJA_ISLET_HNF1A_TARGETS_DN	0.31630299753157104			
DLX6_TARGET_GENES	0.3159249780178558			
GO_REGULATION_OF_AMYLOID_FIBRIL_FORMATION	0.315890656048751			
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP	0.3156371816428553			
GO_RIBBON_SYNAPSE	0.31543413284996347			
GO_APICAL_PLASMA_MEMBRANE	0.3154022759052813			
ROY_WOUND_BLOOD_VESSEL_DN	0.3153565891954426			
GO_ERBB2_SIGNALING_PATHWAY	0.3151996678625488			
GO_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION	0.31517018237868427			
IPA_TGFB1I1_UP	0.31494913441698624			
GO_INSULIN_SECRETION	0.3149026333261547			
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.3147274423397831			
WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_UP	0.31431099787647976			
GO_APICAL_JUNCTION_COMPLEX	0.31406526491841064			
KIM_MYC_AMPLIFICATION_TARGETS_DN	0.3140598012850568			
VANDESLUIS_COMMD1_TARGETS_GROUP_3_UP	0.3139409812749543			
GLI1_TARGET_GENES	0.31331560066108616			
GO_MITOTIC_SPINDLE_ASTRAL_MICROTUBULE	0.31329858807473915			
VECCHI_GASTRIC_CANCER_EARLY_UP	0.3129654527168716			
PRC2_SUZ12_UP.V1_DN	0.31295282735488855			
VALK_AML_CLUSTER_7	0.31288143805739294			
IPA_OVOL1_UP	0.31287287766597466			
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.3122873790618589			
WALLACE_PROSTATE_CANCER_UP	0.312217921967041			
FOXD2_TARGET_GENES	0.31207035160571556			
LIU_CDX2_TARGETS_DN	0.31207006990053215			
GO_NEUROTRANSMITTER_LOADING_INTO_SYNAPTIC_VESICLE	0.3116661407011086			
LANDEMAINE_LUNG_METASTASIS	0.3115998052351168			
GO_RHO_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	0.3111259034878777			
GO_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION	0.31101631278135156			
GO_FHF_COMPLEX	0.31096418687915084			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.31027925858034455			
IPA_CHD8_UP	0.3102563268293071			
GSE13887_ACT_CD4_VS_NO_TREATED_CD4_TCELL_UP	0.31010409637221936			
HAHTOLA_MYCOSIS_FUNGOIDES_SKIN_DN	0.3099283218033043			
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_9	0.3095512227125772			
MIR548AL	0.3094948239411841			
GO_INOSITOL_1_3_4_5_TETRAKISPHOSPHATE_BINDING	0.3092116034124707			
LIU_CDX2_TARGETS_UP	0.3091158581632786			
GO_REGULATION_OF_MICROVILLUS_LENGTH	0.3089984199955846			
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.3089664074062313			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.30870954978563836			
YANG_BREAST_CANCER_ESR1_UP	0.3085855867448579			
GO_LUNG_EPITHELIUM_DEVELOPMENT	0.3085654394258211			
IPA_ELF3_DN	0.30837524812709965			
MIR342_5P	0.3080282299982269			
GO_COLLATERAL_SPROUTING_IN_ABSENCE_OF_INJURY	0.30792188686823535			
EGFR_UP.V1_DN	0.3074942364940164			
GO_REGULATION_OF_HEMATOPOIETIC_STEM_CELL_PROLIFERATION	0.3074623373627647			
GO_REGULATION_OF_MICROVILLUS_ORGANIZATION	0.3073618002647026			
GO_EXOCYTIC_VESICLE	0.30702378228600413			
MEISSNER_BRAIN_HCP_WITH_H3K27ME3	0.30683512673821606			
REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.3068277547474215			
GO_POLY_N_ACETYLLACTOSAMINE_METABOLIC_PROCESS	0.30650812529661764			
GO_STEREOCILIUM_TIP	0.3063738276422114			
GO_APICAL_PART_OF_CELL	0.30633262804723516			
GO_REGULATION_OF_MEMBRANE_REPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.306269368658279			
GO_LUNG_SECRETORY_CELL_DIFFERENTIATION	0.30625224735478407			
GO_INTESTINAL_HEXOSE_ABSORPTION	0.30599412567417333			
FONTAINE_PAPILLARY_THYROID_CARCINOMA_UP	0.30582848728230455			
GO_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	0.3057420524597261			
REACTOME_NEURONAL_SYSTEM	0.3056988394434989			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.30549844728664366			
LIN_NPAS4_TARGETS_UP	0.30518005626111044			
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.30511738269506344			
AIYAR_COBRA1_TARGETS_DN	0.3050084426299349			
GO_POSITIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	0.30497318551036096			
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	0.3049244896471372			
GSE2585_CD80_HIGH_VS_LOW_MTEC_UP	0.3047482116562209			
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	0.3046446533233897			
BCAT.100_UP.V1_UP	0.30462965239711487			
LAIHO_COLORECTAL_CANCER_SERRATED_DN	0.30448864277552606			
GO_INTESTINAL_ABSORPTION	0.30442758746089116			
MEL18_DN.V1_DN	0.3041910627723169			
GO_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0.3041722018190887			
GO_DESMOSOME_ORGANIZATION	0.3041431332768055			
E2F2_TARGET_GENES	0.3041333766601077			
GO_RESPONSE_TO_SORBITOL	0.30409905506338886			
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.3037186432510213			
GO_MYOSIN_V_BINDING	0.30363131461587356			
GO_NOTCH_SIGNALING_PATHWAY	0.3035941027942745			
GO_PHOSPHOTRANSFERASE_ACTIVITY_NITROGENOUS_GROUP_AS_ACCEPTOR	0.303361851851835			
WANG_LMO4_TARGETS_UP	0.30328934416328646			
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN	0.3031051915712985			
LIM_MAMMARY_STEM_CELL_DN	0.3029542878603361			
MIR1277_3P	0.30287470925811316			
GHANDHI_BYSTANDER_IRRADIATION_DN	0.3028479574685521			
GO_NEGATIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	0.3027267248150334			
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP	0.30266225252446655			
GO_DENDRITIC_GROWTH_CONE	0.30264701911832365			
REACTOME_RNF_MUTANTS_SHOW_ENHANCED_WNT_SIGNALING_AND_PROLIFERATION	0.3023524910179805			
GO_POSITIVE_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.3021673843112646			
SWEET_KRAS_ONCOGENIC_SIGNATURE	0.3018950883177867			
GSE10325_BCELL_VS_LUPUS_BCELL_UP	0.30164047619188233			
LI_AMPLIFIED_IN_LUNG_CANCER	0.3015545177780366			
REACTOME_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS	0.3014384905533491			
GO_ACTIN_FILAMENT_SEVERING	0.30135618028634764			
GO_ACTION_POTENTIAL	0.30129749296201935			
REACTOME_METABOLISM_OF_COFACTORS	0.30128634537272847			
GSE11367_CTRL_VS_IL17_TREATED_SMOOTH_MUSCLE_CELL_UP	0.3012086954984276			
GO_MICROTUBULE_BUNDLE	0.30107645929230814			
GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_3H_DN	0.3010634349715178			
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	0.3008885269290929			
GO_MATING_BEHAVIOR	0.3008833595442029			
GO_BRUSH_BORDER_MEMBRANE	0.3006076661433432			
GO_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.3003918148156955			
HOLLERN_PAPILLARY_BREAST_TUMOR	0.3003549383298353			
IPA_ZEB1_DN	0.3002801736573139			
