	Score	0.95 MoE	P-Value	Q-Value
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5625110451134332			
MEK_UP.V1_UP	0.5535360152526297			
GO_COSTAMERE	0.5523304575244983			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5491669953412799			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5463931198664982			
GSE42021_TREG_VS_TCONV_PLN_DN	0.5451186621115962			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5442018028593087			
GO_ADHERENS_JUNCTION	0.5410162246722778			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.540880110033837			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.5399918822024881			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.5394954405297504			
GO_CELL_CORTEX	0.5387540109411595			
GO_PLASMA_MEMBRANE_REGION	0.538298516779012			
PID_NECTIN_PATHWAY	0.53735384062131			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5350076770550262			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5343152612961318			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5312443048610078			
ERBB2_UP.V1_UP	0.5300729873090283			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5286407605334382			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.5276208321818624			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.5272439960087886			
GOZGIT_ESR1_TARGETS_DN	0.5268252422675931			
GO_CELL_JUNCTION	0.5260067154136794			
GO_CELL_JUNCTION_ORGANIZATION	0.5248555333492125			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.524635696156301			
GO_CELL_JUNCTION_ASSEMBLY	0.5226814558334538			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.5222516571545258			
REACTOME_CELL_CELL_COMMUNICATION	0.5218568754384061			
GO_SARCOLEMMA	0.5217643701581566			
CERVERA_SDHB_TARGETS_1_UP	0.5215557044273011			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5215529941370167			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.5208473947864876			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.5204741829492202			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.5189699043917888			
GO_CADHERIN_BINDING	0.5182565374218427			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.5180691973876885			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.5175489534868495			
MOHANKUMAR_HOXA1_TARGETS_DN	0.5173406021603034			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.516510765353853			
IGLV5_37_TARGET_GENES	0.5163540722397875			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.515803247829378			
ESC_J1_UP_LATE.V1_UP	0.5157296283741586			
PASINI_SUZ12_TARGETS_DN	0.5156949773450252			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.5155182877076671			
KIM_WT1_TARGETS_12HR_UP	0.5150224440674196			
NR0B1_TARGET_GENES	0.5150027355138745			
CRX_NRL_DN.V1_DN	0.5149690189941688			
GO_LAMININ_COMPLEX	0.5148780328622011			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.5141004434972603			
HOELZEL_NF1_TARGETS_UP	0.5139434914418421			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.513892076504798			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.513370711885423			
GO_SARCOMERE_ORGANIZATION	0.513005877469231			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.5128594324540054			
GO_APICAL_JUNCTION_COMPLEX	0.5128202260219956			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.5127571362209011			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.5123770106247048			
AMIT_SERUM_RESPONSE_120_MCF10A	0.5123673661793627			
PID_AJDISS_2PATHWAY	0.5116648700637897			
GO_CELL_CELL_JUNCTION	0.5114460175196983			
PID_EPHB_FWD_PATHWAY	0.510879430102311			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5108453490064362			
MIR4776_5P	0.5107599005395301			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.5102259769563696			
YANG_BREAST_CANCER_ESR1_UP	0.5099934716685786			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.5099855240012555			
RAF_UP.V1_DN	0.5095374811630131			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.5089122631386078			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5089109319846178			
GO_ACTIN_BASED_CELL_PROJECTION	0.508808243320959			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.5087003916553774			
BORLAK_LIVER_CANCER_EGF_UP	0.5086859347526748			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5086772483798667			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5085355150977354			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.508454299117937			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.5083352714147858			
PID_FAK_PATHWAY	0.5080029231568977			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.507187536339055			
HALMOS_CEBPA_TARGETS_DN	0.5066340921423976			
GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	0.5064875910476214			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.5060555708422886			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.5054250433284546			
LTE2_UP.V1_UP	0.504937529539678			
WGGAATGY_TEF1_Q6	0.5048470278395677			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.5043852007977521			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.5043761128286972			
GO_ACTIN_FILAMENT_BUNDLE	0.5043090704713745			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.5040028952939947			
WANG_THOC1_TARGETS_UP	0.503702707828625			
ISSAEVA_MLL2_TARGETS	0.5036997159743205			
