	Score	0.95 MoE	P-Value	Q-Value
GO_RESPONSE_TO_EPIDERMAL_GROWTH_FACTOR	0.34342285223002383			
HNF4_01_B	0.34113852782484666			
SMID_BREAST_CANCER_BASAL_DN	0.33355884811292114			
GO_ZONULA_ADHERENS	0.3296757989260358			
GO_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	0.3292636547270572			
GO_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE	0.3273889182812752			
ENGELMANN_CANCER_PROGENITORS_DN	0.32592615311056533			
JI_METASTASIS_REPRESSED_BY_STK11	0.32452127682508813			
GO_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.3227603694662757			
GO_SYNAPTIC_CLEFT	0.32231835522607105			
SIX4_TARGET_GENES	0.3176973675457885			
WILLIAMS_ESR1_TARGETS_DN	0.31738164605726715			
IGARASHI_ATF4_TARGETS_DN	0.31663068280013607			
HNF4_DR1_Q3	0.31601381584728205			
GOZGIT_ESR1_TARGETS_DN	0.31587489522258716			
HALLMARK_ESTROGEN_RESPONSE_LATE	0.31555410606592554			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.3153291299492518			
PID_ERBB_NETWORK_PATHWAY	0.3134945200521125			
GO_POSITIVE_REGULATION_OF_VESICLE_FUSION	0.31347770934861374			
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.313341311005047			
GO_PLASMA_MEMBRANE_REGION	0.3129324043464937			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.3129143648414163			
GSE9946_MATURE_STIMULATORY_VS_PROSTAGLANDINE2_TREATED_MATURE_DC_DN	0.31264580209809234			
IPA_NFE2L2_DN	0.31204528088355893			
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	0.311981251635347			
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	0.3118605623262175			
GO_URETER_DEVELOPMENT	0.3112862364223366			
GO_CELLULAR_COMPONENT_MAINTENANCE	0.3111445825680424			
SMID_BREAST_CANCER_NORMAL_LIKE_DN	0.31073961310649195			
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.3104404319027618			
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	0.3098090233248718			
DODD_NASOPHARYNGEAL_CARCINOMA_UP	0.3097888953742561			
GO_SCHWANN_CELL_DEVELOPMENT	0.30973669149991906			
GSE22611_MUTANT_NOD2_TRANSDUCED_VS_CTRL_HEK293T_STIMULATED_WITH_MDP_6H_UP	0.3094557377274467			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	0.30942719770242394			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.3088145637942414			
GO_REGULATION_OF_HEART_RATE	0.308750376883447			
GO_ERBB2_SIGNALING_PATHWAY	0.30871327316987895			
GSE42021_TREG_VS_TCONV_PLN_DN	0.30844386441879584			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.30728379933639494			
GO_BASAL_PLASMA_MEMBRANE	0.3072607063089473			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.30663635861836464			
GO_APICAL_PART_OF_CELL	0.306626508033224			
HNF4_Q6	0.30639636077926397			
GO_APICAL_JUNCTION_COMPLEX	0.30635818724779257			
GSE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_DN	0.3063411989034642			
MEK_UP.V1_UP	0.30628512212997366			
GO_SCHWANN_CELL_DIFFERENTIATION	0.3060211498262293			
P53_DN.V1_UP	0.3055142636956406			
REACTOME_MET_RECEPTOR_ACTIVATION	0.3054804776802445			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.30516486850570634			
GO_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE	0.30507579752544156			
GO_CELLULAR_HORMONE_METABOLIC_PROCESS	0.30502699280489837			
GO_TERPENOID_METABOLIC_PROCESS	0.30501320929459874			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	0.30493719481209614			
GO_WATER_HOMEOSTASIS	0.3048810037703514			
IPA_SNAI2_DN	0.30478395894740357			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.3047381749738043			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.30430165574617396			
GO_REGULATION_OF_ACTION_POTENTIAL	0.3041798961208831			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.30412097953508677			
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.3041094765141054			
GO_BASOLATERAL_PLASMA_MEMBRANE	0.3039987752689616			
GO_DITERPENOID_BIOSYNTHETIC_PROCESS	0.30393349122054863			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.30385748091681897			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.3038453900769895			
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.3034704537148595			
NUYTTEN_NIPP1_TARGETS_DN	0.303469669712587			
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_HYPOXIA	0.30341291987907965			
GO_APICAL_PLASMA_MEMBRANE	0.30338701369207033			
IPA_MSLN_UP	0.30329127540302137			
BAE_BRCA1_TARGETS_UP	0.30327440091110425			
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	0.3031515622150927			
GO_REGULATION_OF_POTASSIUM_ION_IMPORT	0.30305956677824925			
GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TCONV_CD4_TCELL_DN	0.30278043707657765			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.3027771512181537			
