	Score	0.95 MoE	P-Value	Q-Value
GO_PROLACTIN_SECRETION	0.5919188338417767			
HALLMARK_GLYCOLYSIS	0.5847850086925128			
LHX9_TARGET_GENES	0.5831080062340331			
GO_RESPONSE_TO_EPIDERMAL_GROWTH_FACTOR	0.5810576552731251			
GO_COSTAMERE	0.5801290987609069			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.5783439192630725			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.5771905363486685			
TOOKER_GEMCITABINE_RESISTANCE_DN	0.5770729393056945			
IPA_FOXM1_DN	0.5761462354892406			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5737813956350712			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.5728801322046452			
CHEN_PDGF_TARGETS	0.5717845004063681			
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	0.571739505624116			
LINSLEY_MIR16_TARGETS	0.571697755580322			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.5703948232838864			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5691584803862655			
SESTO_RESPONSE_TO_UV_C8	0.5690332252211834			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.5688768120608948			
REACTOME_SIGNALING_BY_WNT_IN_CANCER	0.5688155984499469			
NR0B1_TARGET_GENES	0.5686024653717622			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5676980484429516			
GO_LUNG_MORPHOGENESIS	0.5676447059547262			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.5676439270569418			
IKEDA_MIR1_TARGETS_UP	0.5675224521194591			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5672417509233286			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5654055376682958			
LUND_SILENCED_BY_METHYLATION	0.5650395598217702			
DITTMER_PTHLH_TARGETS_UP	0.5648902587668321			
GO_ACTIN_MODIFICATION	0.5646264197333777			
GO_SCHWANN_CELL_DIFFERENTIATION	0.5635209989638966			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.5627465200181736			
IPA_MSLN_UP	0.5625406356703867			
REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION	0.5624582455803058			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5624396326650983			
VANTVEER_BREAST_CANCER_BRCA1_DN	0.5621906074924405			
JIANG_HYPOXIA_NORMAL	0.5619562344863074			
SUNG_METASTASIS_STROMA_UP	0.561470656580048			
GO_PROTEIN_HYDROXYLATION	0.5614632029314192			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.5611538593582927			
GO_ADHERENS_JUNCTION	0.5611416024949964			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.5609872133427649			
KANG_DOXORUBICIN_RESISTANCE_DN	0.5608232873430511			
GO_POSITIVE_REGULATION_OF_VESICLE_FUSION	0.5602898948012398			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.5600308393196411			
GO_CADHERIN_BINDING	0.5599101512102145			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.5596041023867732			
HALLMARK_PROTEIN_SECRETION	0.5586658341836656			
PID_FAK_PATHWAY	0.5583232766859034			
GCACTTT_MIR175P_MIR20A_MIR106A_MIR106B_MIR20B_MIR519D	0.5574057673898019			
TBK1.DF_DN	0.5568605460372361			
GO_SPHINGOMYELIN_BIOSYNTHETIC_PROCESS	0.5559078785216597			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.5546611191257141			
KARLSSON_TGFB1_TARGETS_DN	0.5546536591949062			
GO_GOLGI_VESICLE_TRANSPORT	0.5545901974142443			
SESTO_RESPONSE_TO_UV_C2	0.5545050764029915			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.5542569209812226			
MIR33B_3P	0.5540234683399005			
GO_RECEPTOR_CATABOLIC_PROCESS	0.5538180759287596			
GO_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS	0.5535488747127552			
NAGASHIMA_NRG1_SIGNALING_UP	0.5534157145022831			
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_HYPOXIA	0.5531994366808828			
GO_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT	0.5527311141422041			
GO_SCHWANN_CELL_DEVELOPMENT	0.5524658842961045			
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	0.5524589032404407			
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	0.5519651474754614			
REACTOME_MEMBRANE_TRAFFICKING	0.5518916220823338			
GO_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION	0.5517952095056329			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.5517616962355862			
GOZGIT_ESR1_TARGETS_DN	0.551002904078897			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.550999468867969			
IPA_NFE2L3_DN	0.5509779712754411			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.5506171487007346			
REACTOME_SYNDECAN_INTERACTIONS	0.5505581223102426			
GO_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_ADAPTATION	0.5505235124705993			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.5502713698963697			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5498556939521708			
MIR506_3P	0.549809796699702			
MIR519E_3P	0.5496638887701986			
GO_SERTOLI_CELL_DIFFERENTIATION	0.5496078465659732			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.5495879765654577			
PROVENZANI_METASTASIS_DN	0.5492099074633734			
JIANG_HYPOXIA_VIA_VHL	0.5492008364553055			
MIR124_3P	0.5490256667157607			
IVANOVSKA_MIR106B_TARGETS	0.5489490364733219			
CHYLA_CBFA2T3_TARGETS_DN	0.5486890348908825			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.5484311888794553			
GO_DYSTROGLYCAN_BINDING	0.5481913431103353			
SESTO_RESPONSE_TO_UV_C5	0.5479868840458081			
AMIT_SERUM_RESPONSE_120_MCF10A	0.5478577936296509			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.5471487396066216			
LU_EZH2_TARGETS_DN	0.5471390837268353			
PID_INTEGRIN4_PATHWAY	0.5469088901878792			
MIR515_3P	0.5468527967595136			
GO_DOPAMINERGIC_NEURON_DIFFERENTIATION	0.54647399337353			
GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_DN	0.5463170105369288			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.5461856887556846			
CDPCR3_01	0.5458456524725058			
GO_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.5450161078668173			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5448013765658934			
PID_NECTIN_PATHWAY	0.5445570419872391			
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.5445132693551775			
SASSON_RESPONSE_TO_GONADOTROPHINS_UP	0.5441342938714541			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.5439657631029975			
GO_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM	0.5436337672409614			
KAAB_FAILED_HEART_ATRIUM_DN	0.5435820189979057			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5434241428410435			
GSE42021_TREG_VS_TCONV_PLN_DN	0.5433214865592384			
SIX4_TARGET_GENES	0.5431829821384597			
REACTOME_HS_GAG_DEGRADATION	0.5430330077017114			
GO_CELL_CELL_JUNCTION	0.5430128786644458			
KIM_MYCL1_AMPLIFICATION_TARGETS_DN	0.5429224683480506			
BARRIER_COLON_CANCER_RECURRENCE_UP	0.5426154768716575			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5424680270013799			
GO_MESODERM_MORPHOGENESIS	0.5424046913615105			
GO_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.542348452119093			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.5420636824983945			
GO_MIDBRAIN_DOPAMINERGIC_NEURON_DIFFERENTIATION	0.5420491980320391			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5419918760072621			
GO_MEMBRANE_BIOGENESIS	0.5419539692082798			
WINTER_HYPOXIA_UP	0.5415836194248381			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.541035879491534			
PID_PRL_SIGNALING_EVENTS_PATHWAY	0.5410036137668955			
GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_DN	0.5409659733783695			
IPA_NFE2L3_UP	0.5408966861835113			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.5408358929146746			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.5406477403818276			
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.5405097068749369			
SASSON_RESPONSE_TO_FORSKOLIN_UP	0.5405020033635539			
YAMAZAKI_TCEB3_TARGETS_UP	0.5404745135947563			
MIR4776_5P	0.5404392885128009			
GO_SARCOLEMMA	0.5403250412809258			
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	0.5401463058413234			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.5400251107152513			
WELCSH_BRCA1_TARGETS_UP	0.5399717362988012			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5395602014548279			
GO_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	0.5394712493652699			
TGCCTTA_MIR124A	0.5393407523598115			
GHO_ATF5_TARGETS_DN	0.5392771259374796			
GO_VESICLE_TRANSPORT_ALONG_ACTIN_FILAMENT	0.539238541090925			
KIM_WT1_TARGETS_12HR_UP	0.539032046423266			
GO_NEUREGULIN_BINDING	0.5388122727104621			
MIR495_5P	0.5387868683310947			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.5385945853758074			
