	Score	0.95 MoE	P-Value	Q-Value
DITTMER_PTHLH_TARGETS_UP	0.4364432381138603			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.434874370707862			
KIM_WT1_TARGETS_12HR_UP	0.43382792859124686			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.43299511634567545			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.4325676835832634			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.4324498416381569			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.43207083428550347			
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	0.4311017903580682			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.43088108366835914			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.4296221769506126			
KAAB_FAILED_HEART_ATRIUM_DN	0.4289172644697647			
PID_INTEGRIN4_PATHWAY	0.4285695437702012			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.42806124653262057			
LHX9_TARGET_GENES	0.4278026860215745			
GO_EXOCRINE_SYSTEM_DEVELOPMENT	0.4271148609903971			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.4269797912014268			
BREUHAHN_GROWTH_FACTOR_SIGNALING_IN_LIVER_CANCER	0.4268695910221192			
GO_MORPHOGENESIS_OF_AN_EPITHELIUM	0.4267890148351892			
GSE42021_TREG_VS_TCONV_PLN_DN	0.4267807896656648			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.4259327296127536			
LINSLEY_MIR16_TARGETS	0.4258013844834423			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.42513259626148564			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.4248673725944057			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.4245966890173204			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.4242017974680898			
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	0.42405046125915674			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.4238682265930333			
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.423754291569656			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.4237093170911827			
REACTOME_LAMININ_INTERACTIONS	0.42369175597332864			
SASSON_RESPONSE_TO_FORSKOLIN_DN	0.42363205857069336			
PID_FAK_PATHWAY	0.42347180319944255			
SASSON_RESPONSE_TO_GONADOTROPHINS_DN	0.4234476679301591			
GO_CELL_PROJECTION_ASSEMBLY	0.42296563385540503			
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.42261444792590735			
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_DN	0.42247486261358363			
GSE20715_0H_VS_6H_OZONE_LUNG_DN	0.4224133524382527			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.42217516875382627			
REACTOME_SYNDECAN_INTERACTIONS	0.42201319692374906			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4218372855405595			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.4217687318651476			
GO_LAMININ_COMPLEX	0.4216430852870853			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.42146284922472815			
VERRECCHIA_RESPONSE_TO_TGFB1_C5	0.42141474659638767			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.4210922853238823			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.420911597898281			
REACTOME_SIGNALING_BY_MET	0.4207442321582302			
PID_SYNDECAN_2_PATHWAY	0.42065111657819654			
GO_MEMBRANE_BIOGENESIS	0.420518056584003			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.4204855326095484			
