	Score	0.95 MoE	P-Value	Q-Value
REACTOME_SPHINGOLIPID_METABOLISM	0.3931303816469643			
KOBAYASHI_EGFR_SIGNALING_24HR_UP	0.3914477989350884			
JI_METASTASIS_REPRESSED_BY_STK11	0.3836264850976678			
GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	0.38171350532497783			
GO_GOLGI_VESICLE_TRANSPORT	0.3765220792992634			
GO_RESPONSE_TO_BMP	0.3747284558248842			
GSE24814_STAT5_KO_VS_WT_PRE_BCELL_UP	0.3746264885862376			
IPA_ESR1_UP	0.3688864227762136			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.3685965047187329			
GO_VACUOLAR_TRANSPORT	0.3684228543023121			
GO_GOLGI_APPARATUS	0.3679921929087367			
LEE_BMP2_TARGETS_UP	0.3679272371561351			
FRASOR_RESPONSE_TO_ESTRADIOL_UP	0.36781050470253834			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.367455167584838			
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP	0.3666967280856123			
GO_TYPE_B_PANCREATIC_CELL_PROLIFERATION	0.3662883336263315			
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP	0.36602140024396074			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.3657573675565084			
GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	0.3647033116634061			
ENGELMANN_CANCER_PROGENITORS_DN	0.364694612859744			
GO_AMINOGLYCAN_CATABOLIC_PROCESS	0.3639876271925947			
GO_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION	0.36348978469030835			
GO_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	0.3633520223234622			
ERBB2_UP.V1_UP	0.3629063026404974			
ESC_J1_UP_LATE.V1_UP	0.36268078915735746			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_DN	0.3623133849167982			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.36206891435485145			
UDAYAKUMAR_MED1_TARGETS_DN	0.3615626164756845			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.3614119906021609			
RAF_UP.V1_DN	0.36080230540042796			
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	0.36022054070835235			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	0.35938698536742586			
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_1	0.3591289981374801			
GOZGIT_ESR1_TARGETS_DN	0.3590932885906462			
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.35899175754426477			
PILON_KLF1_TARGETS_UP	0.35874306932881156			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.3585285978671803			
REACTOME_DISEASES_OF_GLYCOSYLATION	0.35803006719833685			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.35749870424298397			
GO_SPHINGOLIPID_METABOLIC_PROCESS	0.3572426927625704			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.35713033515331544			
GSE21063_WT_VS_NFATC1_KO_16H_ANTI_IGM_STIM_BCELL_DN	0.35692316805213714			
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	0.35669338683246127			
GO_LYSOSOMAL_TRANSPORT	0.3562298048293285			
YAMAZAKI_TCEB3_TARGETS_UP	0.35614440854833435			
GO_LYSOSOMAL_LUMEN	0.35585323885270403			
REACTOME_MEMBRANE_TRAFFICKING	0.35580975816855404			
SMID_BREAST_CANCER_BASAL_DN	0.3556948129071374			
RIGGINS_TAMOXIFEN_RESISTANCE_UP	0.3556774124831097			
REACTOME_HS_GAG_DEGRADATION	0.3554663595684105			
ATF2_S_UP.V1_DN	0.35539399767055607			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.35490913205484154			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.35476699318578425			
GSE22025_UNTREATED_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP	0.354093984010782			
GO_GOLGI_LUMEN	0.35403142186156344			
INGRAM_SHH_TARGETS_UP	0.35365966137627514			
LTE2_UP.V1_UP	0.3535441641831928			
GO_ENDOTHELIAL_CELL_CHEMOTAXIS	0.3532579009955025			
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	0.35324468905710865			
HALLMARK_MYOGENESIS	0.35305061046765457			
GO_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION	0.3527877564440858			
GO_NEGATIVE_REGULATION_OF_LOCOMOTION	0.3526689024737027			
REACTOME_DISEASES_OF_METABOLISM	0.3524040012773192			
GO_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	0.35208587952022824			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.35163770617675755			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP	0.35160176534882637			
GO_REGULATION_OF_VACUOLE_ORGANIZATION	0.351210213058758			
LEIN_CHOROID_PLEXUS_MARKERS	0.3506071292275279			
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.350426686196645			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.35034995993528106			
REACTOME_VESICLE_MEDIATED_TRANSPORT	0.3501717746415359			
GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_DN	0.3500624891122686			
GO_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	0.35005332648970217			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.34970936804980923			
GO_GLYCOPROTEIN_METABOLIC_PROCESS	0.34931689021902274			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.3492735110640709			
ESC_V6.5_UP_LATE.V1_UP	0.34919831956874675			
KEGG_LYSOSOME	0.34910665396646084			
GO_FOCAL_ADHESION_ASSEMBLY	0.3489634108714983			
GO_MEMBRANE_LIPID_METABOLIC_PROCESS	0.34829422105619706			
