	Score	0.95 MoE	P-Value	Q-Value
MCCLUNG_DELTA_FOSB_TARGETS_8WK	0.2906375798393864			
GO_AXOLEMMA	0.2784246683633382			
REACTOME_POTASSIUM_CHANNELS	0.2754882809791642			
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	0.2750890721362005			
GO_POTASSIUM_CHANNEL_ACTIVITY	0.27506830003256716			
MIR7847_3P	0.27077246032514035			
GO_NEURON_TO_NEURON_SYNAPSE	0.27015833203472295			
TOMLINS_METASTASIS_UP	0.2700328350081121			
GSE21927_SPLEEN_VS_BONE_MARROW_MONOCYTE_BALBC_UP	0.2678159805910677			
GO_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	0.2677816956337544			
GO_SPONTANEOUS_SYNAPTIC_TRANSMISSION	0.26726054377746417			
GO_SCHAFFER_COLLATERAL_CA1_SYNAPSE	0.26706649991984094			
GO_NEURON_SPINE	0.2664219036237942			
NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON	0.2662754547249992			
GO_SNARE_COMPLEX_ASSEMBLY	0.2657639588670026			
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	0.26516365913791695			
GO_SYNAPTIC_MEMBRANE	0.26504225163996514			
ZNF197_TARGET_GENES	0.2647170357370668			
GO_PROTEIN_LOCALIZATION_TO_SYNAPSE	0.2647133173450171			
GO_POTASSIUM_CHANNEL_COMPLEX	0.26468038322641146			
CONRAD_GERMLINE_STEM_CELL	0.2642694446933592			
GO_REGULATION_OF_RESPIRATORY_SYSTEM_PROCESS	0.2642525473373898			
GO_NEURON_CELLULAR_HOMEOSTASIS	0.26392331541318265			
GSE19198_CTRL_VS_IL21_TREATED_TCELL_1H_DN	0.2637819018118384			
IPA_FIGLA_UP	0.26369587518803406			
GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_UP	0.26366304984134176			
KEGG_OTHER_GLYCAN_DEGRADATION	0.2636314487076115			
GO_POSTSYNAPSE	0.2630742793223546			
GO_CELL_BODY	0.2624182003572638			
CACCAGC_MIR138	0.26224402997636825			
GO_GANGLIOSIDE_CATABOLIC_PROCESS	0.2619032820497749			
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	0.261448540235244			
GO_REGULATION_OF_CHAPERONE_MEDIATED_AUTOPHAGY	0.2611952566920397			
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP	0.26108462481823286			
IPA_PAX6_UP	0.26058638409132373			
GO_MAP_KINASE_SCAFFOLD_ACTIVITY	0.26042040597082744			
GSE39820_CTRL_VS_TGFBETA1_IL6_CD4_TCELL_DN	0.26028752648739445			
GO_DENDRITE_CYTOPLASM	0.2602870311024822			
GO_MEMBRANE_DEPOLARIZATION_DURING_SA_NODE_CELL_ACTION_POTENTIAL	0.2602861318015059			
GO_POSTSYNAPTIC_MEMBRANE	0.2601880626987689			
GO_MAIN_AXON	0.2600624334661691			
MIR4456	0.2597510515062859			
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	0.25973341145708684			
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.25967902624558115			
KEGG_LYSOSOME	0.2593512112073263			
GO_REGULATION_OF_LONG_TERM_SYNAPTIC_DEPRESSION	0.25933611160337067			
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	0.2593213537258781			
GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_UP	0.25832273753642176			
GO_EXOCYTIC_VESICLE	0.2579962096960902			
GO_RESPONSE_TO_ALKALOID	0.25799577886613156			
GO_SYNAPTIC_VESICLE_CLUSTERING	0.2572105891635692			
MIR4505	0.25598726143600903			
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN	0.25588718281056255			
GO_REGULATION_OF_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	0.2548619621511982			
STARK_HYPPOCAMPUS_22Q11_DELETION_UP	0.2547728403909845			
GO_MONOAMINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.25465062671212196			
GO_SIGNAL_RELEASE	0.25459653005247435			
GO_DOPAMINERGIC_SYNAPSE	0.2545917791124679			
GO_AUTOPHAGOSOME	0.25407548315238787			
GO_SYNAPSE	0.25393249777142873			
GO_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	0.2537526642439035			
IPA_ARID1A_UP	0.2537389899329182			
IPA_LDB2_UP	0.2537389899329182			
IPA_SIN3B_UP	0.2537389899329182			
IPA_SMARCD2_UP	0.2537389899329182			
IPA_ZFP36L1_UP	0.2537389899329182			
IPA_FOXH1_UP	0.2537389899329182			
IPA_TERF1_UP	0.2537389899329182			
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	0.2535551996640039			
GO_SPONTANEOUS_NEUROTRANSMITTER_SECRETION	0.25347961684463466			
GO_SOMATODENDRITIC_COMPARTMENT	0.253285330407286			
KANG_GLIS3_TARGETS	0.2532735953220743			
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS	0.25320318827952026			
E2F_Q2	0.2531082495393918			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_48H_UP	0.2530066724116214			
GO_MULTI_ORGANISM_BEHAVIOR	0.25297286940203517			
CTCAGGG_MIR125B_MIR125A	0.2522645468299374			
GO_SYNAPTIC_SIGNALING	0.2519190785793985			
GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_UP	0.251736103822688			
GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION	0.25170452266320903			
MIR4514	0.25169899431725595			
NKX61_01	0.2515793671314775			
GO_CEREBELLAR_CORTEX_FORMATION	0.2515229881916593			
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	0.25151372276972456			
GO_KINESIN_BINDING	0.25148252914037866			
GO_NEGATIVE_REGULATION_OF_CATECHOLAMINE_SECRETION	0.25138947881235413			
GO_EXCITATORY_SYNAPSE	0.25118596988500874			
REACTOME_NEURONAL_SYSTEM	0.25103404771414684			
GO_TRANSPORTER_COMPLEX	0.2508676804141621			
WCTCNATGGY_UNKNOWN	0.2508364586778301			
AAGCACA_MIR218	0.2507335124754783			
GO_POSITIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY	0.2505071546102251			
GO_NEURON_PROJECTION_CYTOPLASM	0.25029431539635294			
GO_PERIKARYON	0.2498091813034026			
GO_SA_NODE_CELL_TO_ATRIAL_CARDIAC_MUSCLE_CELL_COMMUNICATION	0.2497959355736687			
GO_GLUTAMATERGIC_SYNAPSE	0.24979411136154642			
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	0.24966213643091048			
IPA_ASCL1_UP	0.2496466322769328			
IPA_NEUROG3_UP	0.24962191492808497			
GO_MICROTUBULE_BINDING	0.24957603309852414			
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.24931746352705267			
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	0.24925840491865844			
GO_NEURON_MATURATION	0.24914939022395208			
GO_CLATHRIN_SCULPTED_MONOAMINE_TRANSPORT_VESICLE	0.24914323601136198			
MIR4447	0.2488207240092918			
GO_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	0.24876579262636078			
GO_CATION_CHANNEL_COMPLEX	0.24860005488356357			
GO_CLATHRIN_SCULPTED_VESICLE	0.24827278435042757			
GO_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	0.2482284472274416			
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	0.24758823275100883			
GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_DN	0.24755905480587978			
RFX1_02	0.2474831927906926			
CAGGGTC_MIR504	0.24722642199321473			
REACTOME_NEUREXINS_AND_NEUROLIGINS	0.2470643760004333			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_UP	0.24697883955515346			
ZF5_01	0.2467937845750151			
GO_PRESYNAPSE	0.24648393908458652			
MIR4321	0.24642452971459194			
GO_CGMP_BIOSYNTHETIC_PROCESS	0.24638271111412			
MIR6721_5P	0.24631564555039995			
