	Score	0.95 MoE	P-Value	Q-Value
GO_CELL_PROJECTION_ASSEMBLY	0.35806386459688344			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.3524869153564304			
PID_FAK_PATHWAY	0.34988995045787397			
ALONSO_METASTASIS_NEURAL_UP	0.3480853945377108			
LINSLEY_MIR16_TARGETS	0.3463295177778015			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.3430066111764213			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.34024551606081477			
LU_EZH2_TARGETS_DN	0.3391185699499808			
RAF_UP.V1_UP	0.3383336805725354			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.33827215288263734			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.33826221208978346			
SNIJDERS_AMPLIFIED_IN_HEAD_AND_NECK_TUMORS	0.337332039616616			
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_DN	0.3367567601348223			
GO_CYTOSKELETON_ORGANIZATION	0.33628330773592396			
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP	0.3359764154903558			
GSE37301_PRO_BCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	0.33516446502529			
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	0.3351435203077084			
KAAB_FAILED_HEART_ATRIUM_DN	0.3348685670246266			
CRX_NRL_DN.V1_DN	0.3345278994883457			
GO_I_BAND	0.3343359261420114			
MIR6073	0.3334103621641377			
GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	0.33315485348712437			
GSE5589_LPS_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP	0.33305543291654643			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.3327342322842658			
GO_T_TUBULE_ORGANIZATION	0.33264761888392197			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.33240304323785547			
CERVERA_SDHB_TARGETS_1_UP	0.3321793211414855			
SASSON_RESPONSE_TO_GONADOTROPHINS_DN	0.33209763925118957			
GO_ENDOTHELIAL_CELL_CHEMOTAXIS	0.33167559442434913			
WANG_LMO4_TARGETS_DN	0.33166844497180614			
GO_CYTOSKELETAL_PROTEIN_BINDING	0.33094538671516893			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.33072384663777044			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.33061463800686214			
KIM_WT1_TARGETS_UP	0.3305320306564689			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.3304400016040299			
GO_CONTRACTILE_FIBER	0.3296996446290909			
GO_CELLULAR_COPPER_ION_HOMEOSTASIS	0.3294737964804013			
BIOCARTA_P53HYPOXIA_PATHWAY	0.32931619620923397			
BIOCARTA_AGR_PATHWAY	0.32891880767906284			
KRIEG_HYPOXIA_NOT_VIA_KDM3A	0.32829660925566057			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.3281936335096712			
MIR4255	0.3279559024905426			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.3278605668853819			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.32741635827869864			
GSE45365_BCELL_VS_CD8_TCELL_DN	0.32741287595505897			
TBK1.DF_UP	0.32718538666971664			
GO_REGULATION_OF_CELL_PROJECTION_ASSEMBLY	0.32685842398399534			
VERRECCHIA_RESPONSE_TO_TGFB1_C5	0.32651516961411475			
AP1_01	0.32591893356691903			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.32583042266998385			
MIR34C_3P	0.32537570735268834			
ENGELMANN_CANCER_PROGENITORS_UP	0.3253710369322627			
UBN1_TARGET_GENES	0.3252887508465542			
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP	0.3252707599114457			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.3251926927363951			
GO_ACTIN_FILAMENT_BASED_PROCESS	0.32500087736714545			
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.32471912060970115			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_UP	0.32454538332214783			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.32438783112517783			
