	Score	0.95 MoE	P-Value	Q-Value
MIR5193	0.3587385760836057			
GO_G_PROTEIN_BETA_SUBUNIT_BINDING	0.32648819402287044			
MEF2_04	0.3192543878566937			
CDX2_Q5	0.31429198680439624			
GO_REGULATION_OF_SYNAPTIC_VESICLE_PRIMING	0.3132546404421689			
ACAACTT_MIR382	0.31305977472934593			
YWATTWNNRGCT_UNKNOWN	0.31292023264866775			
GO_SYNAPTIC_VESICLE_PRIMING	0.3113472454380578			
OCT1_07	0.3106368603577794			
GO_DORSAL_AORTA_DEVELOPMENT	0.3105774595040904			
CTAWWWATA_RSRFC4_Q2	0.30879845531728217			
YATGNWAAT_OCT_C	0.30873185869840936			
REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE	0.30853247923441685			
POU6F1_01	0.3081370844170463			
GO_METANEPHRIC_DISTAL_TUBULE_DEVELOPMENT	0.3059894976840056			
TESAR_ALK_TARGETS_EPISC_3D_UP	0.3044097001983903			
GO_CUPROUS_ION_BINDING	0.3041085376014702			
GO_AMINO_SUGAR_BIOSYNTHETIC_PROCESS	0.3037713671715108			
GO_RIBONUCLEOTIDE_CATABOLIC_PROCESS	0.30347586856466885			
RSRFC4_Q2	0.3030470596936961			
MIR5186	0.301507866647108			
MIR6715B_3P	0.30121078848642313			
RSRFC4_01	0.3005463153425418			
GO_REGULATION_OF_MICROTUBULE_DEPOLYMERIZATION	0.3005403307996086			
CDPCR3HD_01	0.298805617132753			
HAND1E47_01	0.2982490773618608			
MSX1_01	0.29803797655848163			
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	0.29755248399447465			
MIR6824_5P	0.2975054026020214			
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	0.2962480499831455			
IPF1_Q4	0.2962418307781444			
FREAC7_01	0.29607589684406826			
ATF_01	0.29606535537476536			
PAX3_B	0.2959768135329501			
MEF2_03	0.29519355989918794			
MIR643	0.29489999160049435			
FAC1_01	0.29452219453909145			
GO_MICROTUBULE_DEPOLYMERIZATION	0.2941902454388203			
MIR7111_3P	0.2941873712435878			
MIR149_5P	0.2920908481697483			
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	0.2915213121009207			
MIR6867_5P	0.2914847059927571			
ATF6_01	0.2914432513357962			
PTF1BETA_Q6	0.2912205516862571			
MIR4318	0.29102183946241783			
CATTGTYY_SOX9_B1	0.2908105302372046			
TESAR_ALK_TARGETS_EPISC_4D_UP	0.29032203922539335			
GO_DORSAL_ROOT_GANGLION_DEVELOPMENT	0.29018443378712033			
GO_COGNITION	0.2899722564613008			
OCT1_04	0.28977198600103843			
ATF1_Q6	0.28917650278287127			
GO_NEURON_PROJECTION_MAINTENANCE	0.2890147679359946			
GO_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_UPTAKE	0.2888670836932007			
EVI1_04	0.28863283076171453			
GO_LEARNING	0.2885867530945381			
MIR30D_5P	0.2885469487154371			
MIR429	0.2879666525752343			
MIR30A_5P	0.2879644262712238			
MIR200B_3P	0.2877549937455791			
GO_INTEGRAL_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0.2876724584837099			
MIR200C_3P	0.2874614949105329			
POU3F2_02	0.2872952896846622			
FOXJ2_02	0.28671141470546424			
IPA_SNAI1_UP	0.2866930750692608			
COMP1_01	0.2865710124212877			
KIM_ALL_DISORDERS_CALB1_CORR_UP	0.2864592970194255			
MIR30B_5P_MIR30C_5P	0.2862167776487199			
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0.28610944798150784			
MIR96_3P	0.2861010969585581			
MIR30E_5P	0.2860607911493747			
MEF2_Q6_01	0.28597673703922466			
GO_VESICLE_FUSION_TO_PLASMA_MEMBRANE	0.28590071149849716			
GUCY1B1_TARGET_GENES	0.28575563224267586			
MCCLUNG_DELTA_FOSB_TARGETS_8WK	0.2853187423940229			
GO_NEGATIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	0.28470282422494636			
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	0.2846511754797162			
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	0.284446453332229			
CAGNYGKNAAA_UNKNOWN	0.28415173648588055			
COLDREN_GEFITINIB_RESISTANCE_UP	0.28396400411194334			
GO_SYNAPTIC_VESICLE_LOCALIZATION	0.2839318462682472			
GO_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION	0.28371377821024			
MIR8077	0.2833541463724555			
MODY_HIPPOCAMPUS_POSTNATAL	0.2832084354811953			
IPA_KLF13_DN	0.28319819468334734			
MIKKELSEN_NPC_ICP_WITH_H3K4ME3	0.2830677978670117			
GO_REGULATION_OF_NEUROTRANSMITTER_UPTAKE	0.2826616276383378			
GO_AXON	0.2826343037556124			
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	0.2822606781182244			
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0.28217023899640814			
GO_GLUTAMATERGIC_SYNAPSE	0.2820062592786525			
GO_BLOC_1_COMPLEX	0.2819877011944149			
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_25	0.2818893649959378			
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.28188354974871904			
REACTOME_MYOGENESIS	0.28179596000407925			
MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_UP	0.281755012614521			
VICENT_METASTASIS_UP	0.2814865167122237			
TGCAAAC_MIR452	0.2813382449556318			
MIR4418	0.2813085858986387			
GO_DISTAL_AXON	0.28130260604268054			
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	0.28124264252285436			
REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT	0.2808578371913257			
BIOCARTA_BOTULIN_PATHWAY	0.28083403282702046			
SCHAEFFER_SOX9_TARGETS_IN_PROSTATE_DEVELOPMENT_DN	0.28082400493110304			
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	0.2805042853393402			
PID_S1P_S1P1_PATHWAY	0.28049885744568753			
MYB_Q3	0.28040508498228545			
MIR135B_5P	0.28015512133934045			
GO_POSTSYNAPSE	0.2793301394125014			
MIR135A_5P	0.27927601259892587			
MIR1301_3P_MIR5047	0.27919218573167404			
GO_DENDRITIC_SHAFT	0.2790874861438736			
CREBP1_01	0.2789179752509203			
OVOL3_TARGET_GENES	0.2788559186088241			
REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION	0.27882387436547257			
OCT1_03	0.2788176760396694			
EFC_Q6	0.27863384555926124			
GO_SYNAPTIC_SIGNALING	0.27842675007544765			
MIR6839_3P	0.27834358461386893			
TGCTGAY_UNKNOWN	0.2782496725324554			
GO_CHROMOSOME_MOVEMENT_TOWARDS_SPINDLE_POLE	0.2780529097898245			
MIR6760_5P	0.2777971508238833			
HOLLERN_EMT_BREAST_TUMOR_UP	0.27775431383712573			
MEIS1_01	0.27762867365906496			
MIR514A_5P	0.277521263700165			
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	0.2772643871188087			
MIR3129_3P	0.277161087578419			
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	0.2769525237811114			
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	0.2768073914054504			
YTATTTTNR_MEF2_02	0.27677795470641686			
MIR4267	0.2767739672269802			
GO_SYNAPSE	0.2767492208043116			
FREAC3_01	0.27660117793958716			
GO_DIADENOSINE_POLYPHOSPHATE_METABOLIC_PROCESS	0.27651843257409936			
TAAYNRNNTCC_UNKNOWN	0.2764975173037474			
TBP_01	0.2764175826652317			
SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_DN	0.27636693148494657			
GACTGTT_MIR212_MIR132	0.2763033401382119			
MIR4755_5P	0.27628990418122484			
HOXA4_Q2	0.27570989300689175			
MIR5583_5P	0.27560678867067484			
LU_AGING_BRAIN_DN	0.2755910100840502			
IPA_GATA4_DN	0.2755375712853934			
IPA_SKIL_UP	0.27550765732778754			
MEF2_02	0.27548216629627176			
MIR6740_3P	0.2753271926989542			
AAANWWTGC_UNKNOWN	0.2752791974464656			
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	0.27527576946076254			
LIN_NPAS4_TARGETS_DN	0.27493420499873583			
ONDER_CDH1_TARGETS_2_UP	0.27472054593125694			
MIR660_3P	0.27468390571031864			
GO_COLLAGEN_BIOSYNTHETIC_PROCESS	0.2746158464517343			
GR_Q6	0.27443808274668424			
GO_PROTEIN_DENEDDYLATION	0.27418885873664484			
GO_GANGLION_DEVELOPMENT	0.274089575972649			
MIR5006_3P	0.2739191224265953			
MIR2052	0.27386627845487466			
AHRARNT_01	0.2736919818624194			
ATACTGT_MIR144	0.27364014493690564			
MIR132_3P	0.2736311893746142			
MIR212_3P	0.27355972855392785			
ACATATC_MIR190	0.27355839241727237			
MIR7160_3P	0.2730573155772623			
GO_UDP_N_ACETYLGLUCOSAMINE_BIOSYNTHETIC_PROCESS	0.27254934709779344			
MIR4472	0.2725035848358313			
GO_REGULATION_OF_BMP_SIGNALING_PATHWAY	0.2724973045364635			
CAGTATT_MIR200B_MIR200C_MIR429	0.2722630706252001			
MIR490_5P	0.2721216050616946			
MIR629_5P	0.27209542768069533			
IPA_FOXM1_UP	0.27209223933701315			
USF_Q6	0.2718065453854392			
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_2H_ACT_CD4_TCELL_DN	0.27170054785755837			
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	0.27156582384522143			
GO_CELL_BODY	0.27147823185019526			
GTGTCAA_MIR514	0.27142574705857864			
RREB1_01	0.2714205335212238			
MIR642B_5P	0.2713464413165987			
GO_SOMATODENDRITIC_COMPARTMENT	0.2713156038316044			
GO_SMAD_BINDING	0.2709507162577161			
TAAWWATAG_RSRFC4_Q2	0.27064931552439936			
MIR4701_5P	0.2706262102017851			
POU3F2_01	0.27058457056633084			
BIOCARTA_IGF1_PATHWAY	0.2705623354397513			
CTCTATG_MIR368	0.2705593453010716			
CEBP_Q2	0.27040510134330964			
