	Score	0.95 MoE	P-Value	Q-Value
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.49451090715396845			
GO_APICAL_JUNCTION_COMPLEX	0.485511923504541			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.4835407546006877			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.47382771054033834			
HALMOS_CEBPA_TARGETS_DN	0.4709237038143482			
GO_LATERAL_PLASMA_MEMBRANE	0.46867700457635497			
GO_INNER_ACROSOMAL_MEMBRANE	0.4648626786480378			
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.4644036123166733			
GO_TIGHT_JUNCTION	0.46326224645946834			
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP	0.46144015123872467			
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_DN	0.46139234433457804			
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.45918983731967283			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.45610680969977674			
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_UP	0.45597760176951707			
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.45562434069480673			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.4553746137572641			
SMID_BREAST_CANCER_NORMAL_LIKE_DN	0.4550147706505685			
LIM_MAMMARY_LUMINAL_MATURE_UP	0.4542325345769042			
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	0.45422580383340466			
HALLMARK_ESTROGEN_RESPONSE_LATE	0.4541468496515886			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.4538677086953663			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.45335965425538477			
GO_ZONULA_ADHERENS	0.45262266577363786			
GO_APICAL_JUNCTION_ASSEMBLY	0.45227683285425047			
GO_PROTEIN_LOCALIZATION_TO_CELL_CELL_JUNCTION	0.45209650642192695			
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_UP	0.45202410523480674			
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.45119600696153905			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX6_DN	0.4508208728350069			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.45062554450201153			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.4505289690552881			
GO_ESTABLISHMENT_OF_BLOOD_BRAIN_BARRIER	0.4490866484311969			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.4487972200508408			
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.44789538754980357			
GO_KERATINOCYTE_DEVELOPMENT	0.4478854480204896			
REACTOME_INLA_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELLS	0.4452571007075538			
OLSSON_E2F3_TARGETS_UP	0.44503164353181934			
GO_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	0.44488950412021333			
