	Score	0.95 MoE	P-Value	Q-Value
GO_HISTONE_BINDING	0.4672920526561878			
GO_PROTEIN_METHYLATION	0.46103749955478585			
GO_CHROMATIN_ORGANIZATION	0.4594967856393893			
GO_HISTONE_H3_K4_METHYLATION	0.45836828725870765			
GO_ATPASE_COMPLEX	0.4523927364314649			
GO_PEPTIDYL_LYSINE_METHYLATION	0.45033139139340894			
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	0.45026479508665346			
GO_HISTONE_METHYLATION	0.4475840721573842			
BIOCARTA_PRC2_PATHWAY	0.4466490659470761			
GO_NUCLEOSOME_ORGANIZATION	0.4415052290489022			
GO_REGULATION_OF_MRNA_PROCESSING	0.4403188654310295			
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	0.4359720043876608			
GO_REGULATION_OF_HISTONE_METHYLATION	0.4350997465765837			
GO_CHROMATIN_REMODELING	0.4330332977151999			
GO_TRANSCRIPTION_FACTOR_TFIIIC_COMPLEX	0.43303016440552927			
GO_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	0.43303016440552927			
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	0.43282366630334307			
GO_COVALENT_CHROMATIN_MODIFICATION	0.4327482315288899			
ZWANG_DOWN_BY_2ND_EGF_PULSE	0.4316861145781916			
GO_PRE_MIRNA_PROCESSING	0.4315921148043626			
GO_NURD_COMPLEX	0.4305390421705834			
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.42987249679778194			
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	0.4293255731921699			
GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY	0.42906680400954694			
GO_RDNA_BINDING	0.4282535095932154			
GO_RNA_POLYMERASE_III_TRANSCRIPTION_FACTOR_COMPLEX	0.426857199597157			
GO_NEGATIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	0.42669701120881887			
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	0.4265153023412353			
GO_MRNA_EXPORT_FROM_NUCLEUS	0.42568898489262613			
GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	0.4253098590810681			
ABRAMSON_INTERACT_WITH_AIRE	0.42527343395224354			
KRAS.AMP.LUNG_UP.V1_UP	0.4250287277740058			
GO_MACROMOLECULE_METHYLATION	0.42364323145479765			
GO_SWI_SNF_COMPLEX	0.4230253703549957			
GO_SEQUENCE_SPECIFIC_SINGLE_STRANDED_DNA_BINDING	0.42298603423915326			
GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	0.42286349463411327			
GO_NPBAF_COMPLEX	0.4228587553186459			
GO_MODIFICATION_DEPENDENT_PROTEIN_BINDING	0.4210201184883531			
GO_G_RICH_STRAND_TELOMERIC_DNA_BINDING	0.42096593417866934			
GO_CHROMO_SHADOW_DOMAIN_BINDING	0.4207593573245164			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.42026877353891046			
MIR6816_3P	0.42025755240367885			
IPA_E2F7_DN	0.4198458408614737			
GO_MRNA_SPLICE_SITE_SELECTION	0.41882334979062014			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.41826389244395157			
GO_REGULATION_OF_HISTONE_H3_K4_METHYLATION	0.41791167634385623			
GO_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	0.41706347535193683			
GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	0.4162204853022104			
GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	0.41549674186142593			
GO_CHROMOSOME_ORGANIZATION	0.4150744568221541			
BIOCARTA_VDR_PATHWAY	0.4147271364334237			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K27_SPECIFIC	0.4146209191768976			
GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	0.41453329914523734			
GO_RNA_POLYMERASE_I_REGULATORY_REGION_DNA_BINDING	0.41429826139220965			
GO_REGULATION_OF_RNA_SPLICING	0.4141314298630854			
GO_RNA_SPLICING	0.413101443575403			
GO_CHROMATIN_BINDING	0.4128864564852399			
GO_HISTONE_H4_ACETYLATION	0.4128466527446454			
GO_NBAF_COMPLEX	0.41267513750166884			
GO_METHYLATED_HISTONE_BINDING	0.41180182974376994			
chr6q16	0.4118013373695189			
GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	0.4117485971270969			
GO_MRNA_PROCESSING	0.4115499852766095			
GO_SEQUENCE_SPECIFIC_DNA_BINDING	0.4115122330925567			
E2F5_TARGET_GENES	0.4106290425723526			
BOYLAN_MULTIPLE_MYELOMA_C_D_UP	0.41034454431529827			
GO_REGULATION_OF_CHROMOSOME_ORGANIZATION	0.4101788937235105			
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	0.41007883128653005			
GO_DNA_DEPENDENT_ATPASE_ACTIVITY	0.41007233170960433			
