	Score	0.95 MoE	P-Value	Q-Value
PEART_HDAC_PROLIFERATION_CLUSTER_DN	0.863871314671864			
GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_DN	0.8413577100754616			
GSE3565_DUSP1_VS_WT_SPLENOCYTES_DN	0.8162071510781221			
GSE3982_DC_VS_TH2_DN	0.8152333481374534			
GSE1460_DP_VS_CD4_THYMOCYTE_UP	0.8048706029172426			
GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_DN	0.8035917874252944			
CHEN_ETV5_TARGETS_TESTIS	0.8034485945242212			
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	0.8027813783066223			
GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_DN	0.800864654839466			
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1	0.8000990550290434			
GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP	0.8000740276482078			
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	0.7986789920677819			
GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_UP	0.7980931260894909			
GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_2H_UP	0.7936451913330369			
GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP	0.7922149230166773			
PUJANA_BRCA2_PCC_NETWORK	0.7911571235501792			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6	0.788826512021781			
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA	0.7880260575299189			
GSE36527_CD62L_HIGH_CD69_NEG_VS_CD62L_LOW_CD69_POS_TREG_KLRG1_NEG_UP	0.7846126904076828			
GSE14699_NAIVE_VS_ACT_CD8_TCELL_DN	0.781402184095203			
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_ADULT_DN	0.7809155745549733			
IPA_NCOR2_UP	0.7806120350131357			
GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	0.778207881783386			
GSE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_UP	0.778183666216193			
GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN	0.7781014485884464			
GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	0.7780069278423153			
GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP	0.7775407985856356			
GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_UP	0.7773919131602924			
GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_UP	0.777006701603306			
KEGG_HOMOLOGOUS_RECOMBINATION	0.7769116024141121			
GO_ESTROGEN_RECEPTOR_ACTIVITY	0.7764306335798441			
GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP	0.7760405246148209			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_UP	0.7757148720484659			
GSE27786_CD4_TCELL_VS_NKTCELL_UP	0.774751324827273			
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES	0.7747233042080625			
GSE3039_ALPHAALPHA_CD8_TCELL_VS_B1_BCELL_DN	0.774683877813272			
GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_DN	0.7745969668594117			
ARID5B_TARGET_GENES	0.7743064489241664			
GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN	0.7735357114346016			
GSE3982_CTRL_VS_LPS_4H_MAC_UP	0.7731503787889945			
GSE23398_WT_VS_IL2_KO_CD4_TCELL_SCURFY_MOUSE_DN	0.7731249898097154			
GSE34156_UNTREATED_VS_24H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_DN	0.7722952410647268			
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN	0.7722813050532102			
GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP	0.7709638299396312			
GSE23321_CD8_STEM_CELL_MEMORY_VS_NAIVE_CD8_TCELL_DN	0.7706347235439535			
GSE22886_NAIVE_CD4_TCELL_VS_DC_UP	0.7700337171552724			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	0.7690106380804849			
GO_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	0.7679454175553092			
GSE9239_CTRL_VS_TNF_INHIBITOR_TREATED_DC_DN	0.767278764260946			
GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.7672321456357634			
GO_G0_TO_G1_TRANSITION	0.7671069328890455			
NOTCH3_TARGET_GENES	0.7669146756360523			
GO_POSITIVE_REGULATION_OF_BONE_DEVELOPMENT	0.7667192843481075			
FERRANDO_HOX11_NEIGHBORS	0.7665003877550424			
