	Score	0.95 MoE	P-Value	Q-Value
BENPORATH_ES_CORE_NINE_CORRELATED	0.37400681630599025			
GO_MITOTIC_CHROMOSOME_CONDENSATION	0.36500606885026443			
IPA_TCF7L2_UP	0.36035103854788514			
PRC2_EED_UP.V1_DN	0.35258039796881363			
REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER	0.3516836001728455			
LY_AGING_MIDDLE_DN	0.3515157311859347			
GO_REGULATION_OF_MITOTIC_CELL_CYCLE	0.3500820816026801			
GO_HISTONE_DEACETYLASE_BINDING	0.34653327440314374			
GO_DNA_ENDOREDUPLICATION	0.33991593666207104			
MATHEW_FANCONI_ANEMIA_GENES	0.33978298244839833			
SU_TESTIS	0.33703821449385335			
GO_MAINTENANCE_OF_CENTROSOME_LOCATION	0.3369972425118046			
TANG_SENESCENCE_TP53_TARGETS_DN	0.3362269883361376			
MIR6752_3P	0.3361523864955041			
INAMURA_LUNG_CANCER_SCC_UP	0.3353097892550451			
SMID_BREAST_CANCER_LUMINAL_A_DN	0.33499844077393054			
GO_REGULATION_OF_CELL_CYCLE	0.3349097237458791			
GO_HISTONE_DEACETYLASE_ACTIVITY_H3_K14_SPECIFIC	0.3347427825380404			
GO_MITOTIC_NUCLEAR_DIVISION	0.3345181667047888			
BENPORATH_PROLIFERATION	0.3334922469266457			
PETROVA_PROX1_TARGETS_UP	0.3334343605391483			
ZHAN_MULTIPLE_MYELOMA_PR_UP	0.3331702332822692			
WU_APOPTOSIS_BY_CDKN1A_NOT_VIA_TP53	0.3325964543334051			
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_UP	0.33204213049410436			
KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN	0.3317189878508211			
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	0.33137337528030947			
GO_MITOTIC_CELL_CYCLE	0.33101214739367674			
RHODES_UNDIFFERENTIATED_CANCER	0.33051189597029873			
GO_POSITIVE_REGULATION_OF_CELL_CYCLE	0.32963236141078567			
IPA_ZBTB33_DN	0.3295955774670065			
REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT	0.32924569624387245			
GO_MITOTIC_SISTER_CHROMATID_COHESION	0.32882290107995676			
IPA_BNIP3_UP	0.32776297059857046			
SHEPARD_BMYB_TARGETS	0.32767430218273824			
MIR5006_5P	0.3276286674258033			
GO_REGULATION_OF_CELL_CYCLE_PROCESS	0.3272729653593455			
REICHERT_MITOSIS_LIN9_TARGETS	0.3271790681511088			
GO_POSITIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION	0.3259636459382323			
YANG_BREAST_CANCER_ESR1_DN	0.3255811846576213			
BIOCARTA_BARD1_PATHWAY	0.32543883748076247			
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_WOUNDING	0.32506407737556653			
GO_POSITIVE_REGULATION_OF_PROTEIN_IMPORT	0.32431260049004096			
OHASHI_AURKB_TARGETS	0.32400406240791785			
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	0.32361877282020873			
SHEPARD_CRUSH_AND_BURN_MUTANT_DN	0.32318024981325927			
GO_CELLULAR_RESPONSE_TO_L_GLUTAMATE	0.3220388062001127			
MCCABE_HOXC6_TARGETS_CANCER_UP	0.3217202033409561			
