	Score	0.95 MoE	P-Value	Q-Value
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_18	0.5533967333376156			
GO_POSITIVE_REGULATION_OF_NEURON_MATURATION	0.5173721368321383			
IPA_TP53BP2_DN	0.5165709081684422			
GO_B_CELL_LINEAGE_COMMITMENT	0.5119417864558219			
WRNIP1_TARGET_GENES	0.508126868175023			
chr18q21	0.5054612493759435			
ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_UP	0.4980401231562261			
GO_REGULATION_OF_DENDRITE_EXTENSION	0.49784983258985954			
GO_DENDRITE_EXTENSION	0.4966246399177418			
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING	0.49544686059489457			
GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_UP	0.4917696083888875			
GO_BH3_DOMAIN_BINDING	0.48868537970334397			
ZNF597_TARGET_GENES	0.48688316774655965			
GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_DN	0.4864226803924316			
chr18q23	0.48613764810919863			
GSE22886_NAIVE_TCELL_VS_MONOCYTE_UP	0.48427246670679686			
GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_DN	0.48426340903446996			
GO_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY	0.4842476083840179			
GO_INTERFERON_BETA_BIOSYNTHETIC_PROCESS	0.482622606514158			
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	0.4825176554437989			
GSE2706_UNSTIM_VS_2H_LPS_DC_UP	0.48128420138272404			
GO_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION	0.4804057070619015			
GO_N_ACYLTRANSFERASE_ACTIVITY	0.4790833469623153			
GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_DN	0.4782188724704903			
GSE27786_LSK_VS_BCELL_DN	0.47757292506459503			
GO_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.4760451603812312			
GO_NBAF_COMPLEX	0.4750801829145281			
MIKKELSEN_ES_ICP_WITH_H3K27ME3	0.4749090855293671			
GO_HISTONE_H4_K5_ACETYLATION	0.4740679823823175			
GSE360_CTRL_VS_M_TUBERCULOSIS_DC_UP	0.47367221267581433			
GO_SET1C_COMPASS_COMPLEX	0.47290042341423777			
GO_NEGATIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	0.47248096236387777			
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ADAPTOR_ACTIVITY	0.47220198056061347			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.47173648897465126			
GO_METHYLATION_DEPENDENT_CHROMATIN_SILENCING	0.4717278707411395			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN	0.47089923619105917			
GO_REGULATION_OF_HISTONE_H3_K36_METHYLATION	0.47035049325189565			
GO_RESPONSE_TO_INTERLEUKIN_3	0.46947123833418936			
GO_POLY_A_PLUS_MRNA_EXPORT_FROM_NUCLEUS	0.4690893199636991			
MEF2C_TARGET_GENES	0.46883447315993787			
GUTIERREZ_CHRONIC_LYMPHOCYTIC_LEUKEMIA_UP	0.468615256695298			
GSE3982_MEMORY_CD4_TCELL_VS_BCELL_DN	0.4683488792605933			
MAML1_TARGET_GENES	0.4680213903388923			
GSE21670_UNTREATED_VS_IL6_TREATED_CD4_TCELL_DN	0.4679479776118911			
GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	0.46791931368113115			
GO_SIRNA_BINDING	0.4673515608564242			
IPA_TAF4B_UP	0.4672928462599998			
MORI_PRE_BI_LYMPHOCYTE_DN	0.4669222450947557			
HOLLMANN_APOPTOSIS_VIA_CD40_UP	0.4666695647800221			
GO_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.4658406510213303			
GO_CALCIUM_MEDIATED_SIGNALING	0.465608390118306			
GO_REGULATION_OF_B_CELL_ACTIVATION	0.4654947931188094			
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	0.4652945050895506			
KREPPEL_CD99_TARGETS_DN	0.4649320965595416			
HASLINGER_B_CLL_WITH_CHROMOSOME_12_TRISOMY	0.4645902425046865			
GAZIN_EPIGENETIC_SILENCING_BY_KRAS	0.464465707739618			
GO_PONS_DEVELOPMENT	0.46402525064343325			
GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN	0.46330417308571387			
MIR4329	0.46296939795802194			
GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_UP	0.46294691105473523			
GSE41867_DAY6_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_UP	0.4625211070210863			
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_UP	0.46243656060955435			
GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN	0.4619408645787206			
HELLER_HDAC_TARGETS_DN	0.4611587439334748			
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN	0.4608469539198407			
GO_B_CELL_DIFFERENTIATION	0.4606420952072199			
REACTOME_PI_METABOLISM	0.4602913837976367			
TERF1_TARGET_GENES	0.4599799811170442			
MIR2682_5P	0.4588356516010556			
GSE3039_ALPHAALPHA_CD8_TCELL_VS_B2_BCELL_UP	0.45868299122056144			
GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_UP	0.45867345972580725			
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	0.4584598549286106			
GO_INTERFERON_ALPHA_PRODUCTION	0.45805839770285206			
TAKADA_GASTRIC_CANCER_COPY_NUMBER_DN	0.45788707610100055			
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4MID_SORTED_BCELL_UP	0.45780934113090044			
GO_NUCLEAR_PERICENTRIC_HETEROCHROMATIN	0.45731935069817736			
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	0.4572482898352573			
BIOCARTA_BAD_PATHWAY	0.4570479207509056			
GSE29618_BCELL_VS_MONOCYTE_UP	0.4568839289212507			
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN	0.4568230827137926			
GO_LYMPHOCYTE_ACTIVATION	0.45681219023338515			
ZNF419_TARGET_GENES	0.45671790257167066			
GAVIN_PDE3B_TARGETS	0.4566591400330974			
GSE43863_LY6C_INT_CXCR5POS_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP	0.4566084216367438			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K4_SPECIFIC	0.45610194740095333			
GO_MHC_CLASS_IB_RECEPTOR_ACTIVITY	0.4559105287552481			
GO_POSITIVE_REGULATION_OF_CIRCADIAN_SLEEP_WAKE_CYCLE_SLEEP	0.45588839279579074			
MIKKELSEN_MCV6_ICP_WITH_H3K27ME3	0.4558504693371217			
GO_REGULATORY_RNA_BINDING	0.45571251882328234			
ONO_FOXP3_TARGETS_DN	0.45567092775136914			
GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	0.4555396348111552			
KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_DN	0.4554856323231235			
GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_UP	0.4551283654418899			
GO_ADAPTIVE_IMMUNE_RESPONSE	0.4545751542028262			
GO_SWI_SNF_COMPLEX	0.45447585524951073			
MIR764	0.4542734972022008			
GO_B_CELL_ACTIVATION	0.45404158229705227			
GSE7852_TREG_VS_TCONV_DN	0.4539219405536288			
GO_CD4_POSITIVE_OR_CD8_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.45390993069825397			
GSE41867_DAY8_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_DN	0.45390229815936894			
GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_UP	0.45388433986016596			
SHIN_B_CELL_LYMPHOMA_CLUSTER_3	0.4536400253478355			
GO_IMMUNOGLOBULIN_COMPLEX	0.4535595082911415			
GSE33374_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_DN	0.45349748263498657			
IPA_ID3_DN	0.4533777945627081			
WONG_ENDOMETRIAL_CANCER_LATE	0.45318183211158486			
MIR3158_3P	0.4531589556479247			
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	0.4529422053104246			
GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_DN	0.4528986581930626			
GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP	0.45282333687352805			
BIOCARTA_NO2IL12_PATHWAY	0.4527056680460696			
GO_TYPE_I_INTERFERON_BIOSYNTHETIC_PROCESS	0.4526206723452371			
CAGNWMCNNNGAC_UNKNOWN	0.45236591823378564			
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP	0.4522167617182004			
GO_ALPHA_BETA_T_CELL_ACTIVATION	0.4521027818424223			
GO_NEGATIVE_REGULATION_OF_VESICLE_FUSION	0.4519189930516144			
GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_DN	0.4517647906226194			
GO_IMMUNOGLOBULIN_PRODUCTION	0.45166509020605294			
GSE411_UNSTIM_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP	0.4516319364358728			
GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	0.4513075354323863			
GSE23321_CD8_STEM_CELL_MEMORY_VS_NAIVE_CD8_TCELL_DN	0.45123918849909617			
GO_RESPONSE_TO_PHORBOL_13_ACETATE_12_MYRISTATE	0.4512027422253498			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.45116875512554144			
GO_HISTONE_METHYLTRANSFERASE_COMPLEX	0.45108149375262063			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_GERMLINE_RECOMBINATION_WITHIN_A_SINGLE_LOCUS	0.4510281965113856			
OSMAN_BLADDER_CANCER_DN	0.450856617015259			
BASSO_CD40_SIGNALING_DN	0.450810820054467			
IPA_ATOH1_UP	0.4507554014656743			
GO_B_CELL_PROLIFERATION	0.45074712719540566			
GSE27786_LIN_NEG_VS_BCELL_DN	0.4505897566752218			
GO_N_ACETYLTRANSFERASE_ACTIVITY	0.4505813906968473			
GO_LYMPHOCYTE_DIFFERENTIATION	0.4505762373630045			
GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_DN	0.4505167745507933			
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP	0.4503912698591197			
GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN	0.45017050114342055			
GO_POSITIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	0.45001042917254586			
DIRMEIER_LMP1_RESPONSE_LATE_DN	0.4499336604884964			
GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN	0.44991822217173427			
GO_MEGAKARYOCYTE_DEVELOPMENT	0.44949374315653573			
GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	0.4493521687211822			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	0.44930362038673355			
GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_UP	0.449191757765125			
GSE6269_HEALTHY_VS_E_COLI_INF_PBMC_UP	0.44906937514348455			
GSE10325_BCELL_VS_MYELOID_UP	0.4490037378344959			
GSE7764_NKCELL_VS_SPLENOCYTE_DN	0.4488564707022076			
GSE6269_HEALTHY_VS_FLU_INF_PBMC_UP	0.44879403705137816			
GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	0.4487686266466017			
GO_GATED_CHANNEL_ACTIVITY	0.44874724151120604			
PID_ERB_GENOMIC_PATHWAY	0.44858722876965085			
GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_UP	0.44827521703146517			
GO_PEPTIDYL_LYSINE_METHYLATION	0.4481962701847603			
GO_HISTONE_H3_K4_METHYLATION	0.44799818452973234			
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.44790153821599193			
GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	0.44782422601269			
HAHTOLA_MYCOSIS_FUNGOIDES_DN	0.4477348239616891			
SRC_UP.V1_UP	0.44767772245626736			
KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS_AND_CYCLIC_RGD	0.4475267063068187			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6	0.4474886723474879			
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN	0.44737144138305684			
TERF2_TARGET_GENES	0.447170859846026			
GO_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	0.4470939075225211			
GO_B_CELL_HOMEOSTASIS	0.44702149143114495			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_DN	0.4466746743881928			
GO_REGULATION_OF_B_CELL_PROLIFERATION	0.4464766342762947			
VANTVEER_BREAST_CANCER_BRCA1_UP	0.44622208467384256			
GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN	0.4461504798906847			
GO_POSITIVE_REGULATION_OF_CELL_MATURATION	0.4461396706690653			
MARSON_BOUND_BY_FOXP3_STIMULATED	0.4460244642252139			
GO_PEROXISOME_TARGETING_SEQUENCE_BINDING	0.44593012916669994			
ARID5B_TARGET_GENES	0.44589109552190814			
GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_UP	0.44563902508458686			
GO_B_CELL_MEDIATED_IMMUNITY	0.4456282855530449			
GO_T_HELPER_17_CELL_LINEAGE_COMMITMENT	0.4456280090346432			
GO_STORE_OPERATED_CALCIUM_ENTRY	0.4454967612764838			
GO_NEGATIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION	0.44548127153196593			
IPA_PTF1A_UP	0.4453771428571431			
GO_T_CELL_LINEAGE_COMMITMENT	0.44529028721034375			
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP	0.4452756410777238			
GSE28237_EARLY_VS_LATE_GC_BCELL_DN	0.4451702854790486			
GSE22886_NAIVE_TCELL_VS_DC_UP	0.4449417243350394			
GSE29618_MONOCYTE_VS_PDC_DN	0.44489549592918193			
GO_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	0.44466248785035895			
GO_C_C_CHEMOKINE_BINDING	0.44449539861383613			
CIITA_TARGET_GENES	0.4444178822717745			
GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN	0.4443429909729664			
GO_IMMUNOGLOBULIN_RECEPTOR_BINDING	0.4443101570909093			
HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_UP	0.4441819832186305			
GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_DN	0.4440410715604114			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN	0.44397315939708754			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.4439104008819583			
MIR6865_3P	0.44385530491209263			
GO_POSITIVE_REGULATION_OF_DNA_RECOMBINATION	0.44383803567960345			
