	Score	0.95 MoE	P-Value	Q-Value
GO_NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	0.39968230201174637			
chr19p13	0.3980083936216542			
PID_THROMBIN_PAR1_PATHWAY	0.3708111634965627			
GSE27786_CD8_TCELL_VS_ERYTHROBLAST_UP	0.37032996478788327			
GO_REGULATION_OF_BONE_DEVELOPMENT	0.3665733146008784			
GO_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	0.3648325077066203			
GO_MYOSIN_FILAMENT_ORGANIZATION	0.3623140457607891			
GO_NEGATIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	0.3605956002472931			
IPA_ID3_DN	0.3601668611989464			
GO_NEGATIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	0.35841789166861276			
GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP	0.35587747532724506			
GO_PROTOPORPHYRINOGEN_IX_BIOSYNTHETIC_PROCESS	0.3555922795287656			
GO_POSITIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	0.3546545657296863			
GO_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	0.3540032880397319			
BIOCARTA_AHSP_PATHWAY	0.3533599174807056			
GO_HOMEOSTASIS_OF_NUMBER_OF_CELLS_WITHIN_A_TISSUE	0.35175304454246986			
GO_POSITIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION	0.35159007226837924			
GO_REGULATION_OF_TRANSPOSITION	0.3514457973705239			
GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY	0.35015651148416105			
MA_MYELOID_DIFFERENTIATION_UP	0.3490457520968399			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_DN	0.3487683704374866			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_DN	0.3485537342757046			
GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	0.34801445369661727			
IPA_NFATC2_DN	0.3471349250550871			
IPA_GATA1_UP	0.3468966381520839			
ONO_AML1_TARGETS_DN	0.3453591354931574			
GSE6674_ANTI_IGM_VS_CPG_STIM_BCELL_DN	0.34505021406924985			
GO_CHITIN_BINDING	0.34484670935601275			
GO_REGULATION_OF_ISOTYPE_SWITCHING	0.34478849977840625			
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_DN	0.344472156656008			
GSE37532_WT_VS_PPARG_KO_LN_TREG_UP	0.3440947245109168			
IPA_FLI1_UP	0.3438756092125028			
GO_PROTEIN_SIDE_CHAIN_DEGLUTAMYLATION	0.3434340552816284			
GO_POSITIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	0.3429853478354916			
IPA_SOX5_UP	0.34292725868379464			
RPA2_TARGET_GENES	0.3423237943350125			
