	Score	0.95 MoE	P-Value	Q-Value
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	0.4826998626642755			
GO_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION	0.47457767196149386			
IPA_HIST2H3C_UP	0.47438027510080466			
IPA_HIST1H2BI_UP	0.47438027510080466			
IPA_HIST1H2BE_UP	0.47438027510080466			
IPA_HIST1H2BC_UP	0.47438027510080466			
IPA_HIST1H2BG_UP	0.47438027510080466			
MATZUK_MEIOTIC_AND_DNA_REPAIR	0.4669572670067652			
IPA_FLI1_UP	0.45599691802948944			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	0.44970434198291326			
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.4495251566021475			
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_GERMLINE_RECOMBINATION_WITHIN_A_SINGLE_LOCUS	0.44938928661305627			
GO_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	0.44597536010430805			
GO_POSITIVE_REGULATION_OF_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES	0.44529466635920356			
GO_REGULATION_OF_DNA_RECOMBINATION	0.44482462056755423			
GO_PHOSPHATIDYLINOSITOL_MONOPHOSPHATE_PHOSPHATASE_ACTIVITY	0.4421679071773645			
GO_HISTONE_DEUBIQUITINATION	0.4420285349660565			
GO_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES	0.44183054434565705			
GO_POSITIVE_REGULATION_OF_DNA_RECOMBINATION	0.4395929872680296			
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	0.43903666624021775			
ARID5B_TARGET_GENES	0.43901527646215444			
GO_SOMATIC_RECOMBINATION_OF_IMMUNOGLOBULIN_GENE_SEGMENTS	0.43886163182995014			
GO_DNA_RECOMBINATION	0.43801421879533514			
BIOCARTA_ERK5_PATHWAY	0.4356061190663326			
GO_SITE_OF_DOUBLE_STRAND_BREAK	0.4325660513487725			
NAGY_TFTC_COMPONENTS_HUMAN	0.43177909968694617			
GSE27786_CD8_TCELL_VS_MONO_MAC_UP	0.4301860746917692			
GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	0.4293907829121414			
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES	0.4293695362532341			
GSE17721_POLYIC_VS_PAM3CSK4_2H_BMDC_UP	0.4292768418697403			
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	0.4288868928771976			
WIKMAN_ASBESTOS_LUNG_CANCER_DN	0.4288318457940317			
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN	0.42863892978009144			
GSE25085_FETAL_LIVER_VS_FETAL_BM_SP4_THYMIC_IMPLANT_UP	0.4285384196010652			
GO_MODIFICATION_DEPENDENT_PROTEIN_BINDING	0.4285245406930413			
GOLUB_ALL_VS_AML_UP	0.4282333002217794			
GSE24210_RESTING_TREG_VS_TCONV_UP	0.4275634428299354			
GO_PEPTIDE_N_ACETYLTRANSFERASE_ACTIVITY	0.4267954733978699			
GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN	0.42663225651059916			
GO_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	0.4261507980812458			
GO_HISTONE_H3_ACETYLATION	0.4251309767002963			
GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_DN	0.4248938474526049			
GO_RESPONSE_TO_INTERLEUKIN_3	0.4244474453221871			
GO_B_CELL_LINEAGE_COMMITMENT	0.4244060155912008			
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_UP	0.42430516872209234			
