	Score	0.95 MoE	P-Value	Q-Value
GO_COPPER_ION_HOMEOSTASIS	0.48809734685358047			
GO_CELLULAR_COPPER_ION_HOMEOSTASIS	0.48437766309556807			
REACTOME_DISSOLUTION_OF_FIBRIN_CLOT	0.45946507767765377			
BIOCARTA_PLATELETAPP_PATHWAY	0.4563590809017382			
GO_NEUTROPHIL_CLEARANCE	0.4517177638732942			
REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS	0.4391806202740406			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_UP	0.43831315057571985			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.4371746159902145			
GO_FORMATION_OF_PRIMARY_GERM_LAYER	0.43673418341509535			
RAMALHO_STEMNESS_UP	0.43633492154622305			
GO_PHOSPHOLIPASE_INHIBITOR_ACTIVITY	0.4359458613798398			
VERRECCHIA_DELAYED_RESPONSE_TO_TGFB1	0.43457513929923763			
ZMYND8_TARGET_GENES	0.4333778331902839			
GO_FIBRINOLYSIS	0.432475582104035			
HALLMARK_TGF_BETA_SIGNALING	0.43231731534308626			
GO_MESODERM_MORPHOGENESIS	0.432309224842603			
GO_MEMBRANE_BIOGENESIS	0.4312418676813765			
GSE6259_CD4_TCELL_VS_CD8_TCELL_UP	0.4312153674719829			
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING	0.4291957999999729			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN	0.42891654771849325			
GO_ENDOCARDIAL_CELL_DIFFERENTIATION	0.42859123945518235			
GO_NEGATIVE_REGULATION_BY_HOST_OF_SYMBIONT_MOLECULAR_FUNCTION	0.42841602425567427			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.42835203710804937			
REACTOME_SIGNALING_BY_MET	0.42712955282972614			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.4269735388106525			
REACTOME_LAMININ_INTERACTIONS	0.4267949119506639			
WANG_METHYLATED_IN_BREAST_CANCER	0.4267377119043956			
SNIJDERS_AMPLIFIED_IN_HEAD_AND_NECK_TUMORS	0.4267308122154276			
PID_INTEGRIN1_PATHWAY	0.42630394414386474			
XU_HGF_SIGNALING_NOT_VIA_AKT1_6HR	0.4262149090072053			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.4258847967019002			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.4256834288923936			
REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION	0.4255969968349213			
BROWNE_HCMV_INFECTION_20HR_DN	0.42553804820465935			
HASINA_NOL7_TARGETS_UP	0.42505695787832604			
BCAT_BILD_ET_AL_DN	0.4246762731299617			
chr5q11	0.4245708706972564			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.4237890067962931			
GO_MESODERMAL_CELL_DIFFERENTIATION	0.4233147162075893			
GO_POSITIVE_REGULATION_OF_VESICLE_FUSION	0.42309009990198654			
VERRECCHIA_RESPONSE_TO_TGFB1_C1	0.4226758569334898			
BACH1_01	0.42208097313253223			
PHONG_TNF_RESPONSE_VIA_P38_PARTIAL	0.42206582307945334			
GO_POSITIVE_REGULATION_OF_PINOCYTOSIS	0.42152209484967335			
SARTIPY_NORMAL_AT_INSULIN_RESISTANCE_UP	0.4211592437852905			
VERRECCHIA_RESPONSE_TO_TGFB1_C3	0.4205585078275412			
GSE42021_TCONV_PLN_VS_CD24LO_TCONV_THYMUS_DN	0.4201510530942254			
XU_RESPONSE_TO_TRETINOIN_DN	0.41987403002987694			
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	0.419830326453305			
PID_INTEGRIN4_PATHWAY	0.4190797189996661			
GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_DN	0.41870828688775336			
AMIT_EGF_RESPONSE_240_HELA	0.4185830485826474			
LINSLEY_MIR16_TARGETS	0.4178444166522257			
GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP	0.41773171095758127			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.41749287186169787			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.4173896876896225			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.41738939692745003			
WINTER_HYPOXIA_UP	0.4173549254776698			
AMIT_EGF_RESPONSE_120_MCF10A	0.4169447828037247			
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN	0.41652669598586145			
GO_ENDODERM_DEVELOPMENT	0.4164794244412272			
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP	0.4164670487083247			
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.41643198706361173			
PASINI_SUZ12_TARGETS_DN	0.416315275766932			
OSADA_ASCL1_TARGETS_DN	0.4163016787643956			
GO_NEGATIVE_REGULATION_OF_WOUND_HEALING	0.41562198588016325			
REACTOME_SYNDECAN_INTERACTIONS	0.41558978089228077			
GO_ENDODERM_FORMATION	0.4155106584567092			
GO_INVADOPODIUM	0.4154610229131678			
GSE20500_CTRL_VS_RETINOIC_ACID_TREATED_CD4_TCELL_DN	0.41540176595612177			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.41524848666830716			
GO_GASTRULATION	0.4146270579321408			
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	0.41450057096227655			
MIR3190_5P	0.4142899956822433			
