	Score	0.95 MoE	P-Value	Q-Value
MIR6724_5P	0.6959971558090029			
BIOCARTA_NEUTROPHIL_PATHWAY	0.690665219753644			
OZANNE_AP1_TARGETS_UP	0.6850115786192874			
IPA_LHX6_UP	0.683998170612469			
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_UP	0.6767530522355781			
REACTOME_HYALURONAN_METABOLISM	0.6755161003532197			
DORSEY_GAB2_TARGETS	0.6734910198432603			
SA_MMP_CYTOKINE_CONNECTION	0.6727521878715852			
BIOCARTA_MONOCYTE_PATHWAY	0.6709382396196931			
MEL18_DN.V1_UP	0.6683524436799082			
BIOCARTA_LYMPHOCYTE_PATHWAY	0.6644394208211684			
NAKAMURA_METASTASIS_MODEL_DN	0.6617612274240465			
IPA_KDM1A_DN	0.6614654439652714			
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	0.6595098800706474			
SENESE_HDAC3_TARGETS_UP	0.6578429879526514			
XU_HGF_SIGNALING_NOT_VIA_AKT1_48HR_UP	0.6576992367156038			
GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN	0.6571032109713681			
SENESE_HDAC1_TARGETS_UP	0.6558045493936623			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.6553125676672666			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_UP	0.6538681771038649			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.6527133363192512			
GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_UP	0.6512318763919879			
HUANG_DASATINIB_RESISTANCE_UP	0.649369800732038			
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	0.6465937773020994			
TSAI_DNAJB4_TARGETS_DN	0.6462950038269133			
GSE2128_C57BL6_VS_NOD_CD4CD8_DP_THYMOCYTE_UP	0.6452815960995271			
KIM_WT1_TARGETS_UP	0.6450193235179226			
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_4H_UP	0.6449043466000993			
NUYTTEN_EZH2_TARGETS_UP	0.6443662329497114			
BMI1_DN_MEL18_DN.V1_UP	0.6433104864869862			
BROWNE_HCMV_INFECTION_20HR_DN	0.6432684913894346			
HENDRICKS_SMARCA4_TARGETS_UP	0.6421169356826568			
XU_HGF_SIGNALING_NOT_VIA_AKT1_6HR	0.6417254487777582			
GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN	0.6416079198099837			
GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_DN	0.6403850770687183			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_DN	0.6403816709480189			
PHONG_TNF_RESPONSE_VIA_P38_PARTIAL	0.6403435701158298			
HALLMARK_APOPTOSIS	0.6394127035654439			
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_UP	0.6391487834379694			
GSE17721_12H_VS_24H_POLYIC_BMDC_UP	0.638282080027387			
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	0.6368489295065877			
HUANG_FOXA2_TARGETS_DN	0.6365251662206042			
GO_EPIBOLY	0.6357448878608813			
