	Score	0.95 MoE	P-Value	Q-Value
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.45742315548053475			
MIR133A_5P	0.4392552124757472			
MIR3175	0.43204562473600805			
IPA_MMP3_DN	0.4285652683665518			
MIR4474_3P	0.42595645354032924			
MIR4306	0.4228919494699607			
MIR3928_3P	0.4227718980319976			
MIR5000_3P	0.4219847164242596			
TGCACGA_MIR517A_MIR517C	0.4204112676103602			
MIR381_5P	0.4191821945992883			
MIR513B_5P	0.4191090532545855			
SCHAEFFER_SOX9_TARGETS_IN_PROSTATE_DEVELOPMENT_DN	0.4181185070428992			
MIR218_5P	0.41771417776399883			
YGCANTGCR_UNKNOWN	0.41531184386292797			
OCT1_02	0.414708918784855			
MIR383_3P	0.4136043015448447			
MEIS1AHOXA9_01	0.4132349367439275			
MCCLUNG_DELTA_FOSB_TARGETS_8WK	0.41318276750015037			
IPA_MYBL2_DN	0.4122037308797737			
MIR4724_5P	0.41125701040039486			
MIR6882_3P	0.409249570014887			
MIR4436A	0.408984975747217			
IPA_NEUROG3_UP	0.40885467681638105			
MEIS1_01	0.40850524255360765			
GO_MICROTUBULE_DEPOLYMERIZATION	0.40846132653071077			
MIR509_3_5P	0.4081593848644197			
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	0.4077968409270791			
GO_STRUCTURAL_MOLECULE_ACTIVITY_CONFERRING_ELASTICITY	0.4054929401438828			
WYAAANNRNNNGCG_UNKNOWN	0.40531150654717146			
GO_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS	0.4048395116978897			
LEIN_LOCALIZED_TO_PROXIMAL_DENDRITES	0.40459288249562353			
MIR1275	0.404151311953755			
CACTGTG_MIR128A_MIR128B	0.4038784048351364			
GTTATAT_MIR410	0.40358686453911			
MIR509_5P	0.4035172943117582			
MIR4665_5P	0.4029242760659467			
GATA1_01	0.4027466829772586			
GGGGCCC_MIR296	0.4026741061178565			
GO_POSTSYNAPSE	0.4017504354246732			
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.4011239071279198			
ATGCACG_MIR517B	0.4005001653098736			
GO_EXTRACELLULAR_MATRIX_CONSTITUENT_CONFERRING_ELASTICITY	0.40028106029647015			
CDPCR3HD_01	0.400172015047635			
CUI_TCF21_TARGETS_2_UP	0.4001253308129296			
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	0.4000371274679927			
MIR6839_3P	0.39938015070401955			
REACTOME_NEURONAL_SYSTEM	0.39935208310960196			
GO_SYNAPTIC_VESICLE_LOCALIZATION	0.39864385479540343			
YATGNWAAT_OCT_C	0.3983745741783228			
MIR4738_3P	0.39805197504440093			
CAGCACT_MIR5123P	0.39803473627938835			
CACCAGC_MIR138	0.39697586047598504			
CTGCAGY_UNKNOWN	0.3964472697814767			
MCCLUNG_DELTA_FOSB_TARGETS_2WK	0.39565197566835			
ACTGCCT_MIR34B	0.395366665140485			
GO_SPINAL_CORD_DEVELOPMENT	0.39519962942665987			
MIR3619_5P	0.3951943393390866			
YGCGYRCGC_UNKNOWN	0.394894445696039			
GO_SYNAPTIC_VESICLE_MATURATION	0.39469323857607025			
AAAGGAT_MIR501	0.3945853517755165			
AAGCAAT_MIR137	0.39428077615234763			
GO_GLUTAMATERGIC_SYNAPSE	0.3939651775704024			
WEI_MIR34A_TARGETS	0.3938180191634126			
GO_KINESIN_BINDING	0.39348801247690013			
POU6F1_01	0.3934670043491944			
ZF5_01	0.39330636160139293			
MIR655_5P	0.3931980355283201			
FOXM1_01	0.39270023046028024			
MIR6757_3P	0.3926666748140535			
CAGGGTC_MIR504	0.3924499778136574			
GO_SYNAPSE	0.39221434250388887			
GO_NEGATIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	0.39191857830869875			
GO_NBAF_COMPLEX	0.3909218572967673			
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.3909048976515811			
MIR4273	0.390823745951149			
TGCAAAC_MIR452	0.3905619341064536			
MIR5586_3P	0.39036645099047734			
GO_PRESYNAPTIC_ACTIVE_ZONE	0.3902815092458119			
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0.3897256749996211			
MIR520G_5P	0.38951716807709724			
GO_SYNAPTIC_SIGNALING	0.3894330146360321			
AGTCTAG_MIR151	0.3894195666698929			
GO_REGULATION_OF_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	0.3891844714651551			
OCT1_04	0.38873193758225916			
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	0.3875494755410427			
GO_FOREBRAIN_DEVELOPMENT	0.38702258912263426			
MIR137_3P	0.3868587750878371			
GO_NEURON_TO_NEURON_SYNAPSE	0.38665992763669493			
GSE30083_SP1_VS_SP4_THYMOCYTE_UP	0.3865405020571125			
GO_MULTI_ORGANISM_BEHAVIOR	0.38625614559139876			
TST1_01	0.38600087023656027			
MIR1276	0.38583480482096755			
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN	0.38579337940818204			
MIR7151_5P	0.3857432930689262			
TOMLINS_METASTASIS_UP	0.3851677391445706			
E2F_01	0.3850884079118727			
MIR3941	0.38506243897763237			
LIN_NPAS4_TARGETS_UP	0.3849639652628623			
AAGCACA_MIR218	0.3849599959441788			
GO_SCF_COMPLEX_ASSEMBLY	0.3849266884098547			
MIR10226	0.38423489165025			
GO_CALCIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	0.38415526495619723			
MIR3202	0.3839438389946993			
chr12q14	0.38366387314652656			
GO_DENDRITE_DEVELOPMENT	0.3836203791635854			
PAX5_01	0.383406202800893			
REACTOME_PHASE_1_INACTIVATION_OF_FAST_NA_CHANNELS	0.38339312344677107			
MIR4418	0.3833717547761287			
AAGCCAT_MIR135A_MIR135B	0.3833106883820716			
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS	0.3831252157539902			
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	0.3828068056269454			
GO_TUBULIN_BINDING	0.38269531650307437			
GO_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	0.3825164783479896			
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	0.38250405037894925			
ACAGGGT_MIR10A_MIR10B	0.3824247114143098			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN	0.38222785252535213			
MIR5186	0.38152528160933075			
MEF2_03	0.3815235072096862			
MIR8084	0.38129731539614387			
MIR6845_3P	0.38114732969202064			
E2F4DP1_01	0.3810752754535757			
IPA_NKX6-1_UP	0.3808699804275752			
GO_NEUROTRANSMITTER_SECRETION	0.3801684192568711			
CTTTGT_LEF1_Q2	0.3800529501171469			
GO_OLFACTORY_LOBE_DEVELOPMENT	0.3800377876590982			
GO_REGULATION_OF_SYNAPTIC_VESICLE_RECYCLING	0.37984608247547963			
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.37971147679448847			
MIR636	0.3797014406457664			
AP2_Q6_01	0.37958135596690534			
PID_CDC42_REG_PATHWAY	0.3791985878527116			
GO_SULFUR_COMPOUND_CATABOLIC_PROCESS	0.37903523007237766			
GO_NEURAL_PLATE_PATTERN_SPECIFICATION	0.3789515048895393			
GO_DISTAL_AXON	0.3788623660452386			
GTGGTGA_MIR197	0.37877693905927673			
TGCTTTG_MIR330	0.37867924011287746			
GO_KERATAN_SULFATE_CATABOLIC_PROCESS	0.3786302749346434			
TCTAGAG_MIR517	0.3783577544260778			
AHR_Q5	0.3782719789249507			
GO_PRESYNAPSE	0.3782507562348843			
MIR7152_5P	0.37816225445632917			
