	Score	0.95 MoE	P-Value	Q-Value
AP1_Q2_01	0.5987944463515125			
REACTOME_MEMBRANE_TRAFFICKING	0.5960855739245494			
BIOCARTA_AGR_PATHWAY	0.5919700141811857			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5887029528438348			
GO_CELL_JUNCTION	0.588697601646961			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.584907374025664			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	0.5836083824728101			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5829162861648597			
SESTO_RESPONSE_TO_UV_C2	0.5823146330787675			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.5821629923565954			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5813456566008448			
GHO_ATF5_TARGETS_DN	0.5795784274068381			
GO_ADHERENS_JUNCTION	0.5777625195216678			
REACTOME_CELL_CELL_COMMUNICATION	0.5756452318965919			
GOZGIT_ESR1_TARGETS_DN	0.5748147790984577			
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	0.5741946379327956			
GO_CELL_CELL_JUNCTION	0.5739901351494016			
GO_CELL_JUNCTION_ORGANIZATION	0.5735462699468585			
GO_ACTIN_BASED_CELL_PROJECTION	0.573486619789548			
CERVERA_SDHB_TARGETS_1_UP	0.5733637672286065			
HALLMARK_PROTEIN_SECRETION	0.5731355206854254			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.5727947714626657			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.5723172332578608			
GO_ERBB_SIGNALING_PATHWAY	0.5718665960730818			
GO_EPITHELIAL_CELL_PROLIFERATION	0.5711743677181446			
GSE42021_TREG_VS_TCONV_PLN_DN	0.571023175963948			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5695622171358428			
REACTOME_NECTIN_NECL_TRANS_HETERODIMERIZATION	0.5687668072580939			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5676974216075652			
