	Score	0.95 MoE	P-Value	Q-Value
GO_HISTONE_H4_ACETYLATION	0.5003223797285038			
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	0.49186665338472835			
GO_SWI_SNF_COMPLEX	0.4910250380493666			
GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.48889046757424853			
GO_NBAF_COMPLEX	0.481514899914649			
GO_PEPTIDYL_LYSINE_METHYLATION	0.4762394507566228			
GSE3982_CTRL_VS_LPS_4H_MAC_UP	0.4746506744116111			
GO_HISTONE_METHYLATION	0.4649049201173651			
GO_NPBAF_COMPLEX	0.46211358194437907			
GO_HISTONE_H3_K4_METHYLATION	0.461857932642712			
GSE45365_NK_CELL_VS_CD8A_DC_DN	0.46095619039085745			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.46024441094985935			
E2F5_TARGET_GENES	0.45630330731415825			
GO_TRNA_WOBBLE_BASE_MODIFICATION	0.45581333190005724			
GO_PROTEIN_METHYLATION	0.4550060593256887			
GO_NEGATIVE_REGULATION_OF_VESICLE_FUSION	0.45231598720684635			
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	0.45104936251985733			
GO_TRNA_WOBBLE_URIDINE_MODIFICATION	0.4499185203431955			
GO_ATPASE_COMPLEX	0.44980239437943936			
GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.4483824640516067			
GO_N_ACYLTRANSFERASE_ACTIVITY	0.4465211974418856			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K4_SPECIFIC	0.4428694601556471			
GO_MACROMOLECULE_METHYLATION	0.44067964459898484			
GO_REGULATION_OF_MYOFIBROBLAST_DIFFERENTIATION	0.43805412725541815			
GO_MYOFIBROBLAST_DIFFERENTIATION	0.43805412725541815			
SGCGSSAAA_E2F1DP2_01	0.43797023819571823			
GSE11961_MARGINAL_ZONE_BCELL_VS_PLASMA_CELL_DAY7_UP	0.4375752632693078			
SIGMAR1_TARGET_GENES	0.4375232472134556			
ZNF197_TARGET_GENES	0.43613266287696284			
GO_RNA_POLYMERASE_I_REGULATORY_REGION_DNA_BINDING	0.4352009443097941			
MIR5192	0.43345689394562353			
GO_DEMETHYLASE_ACTIVITY	0.43265073160617573			
IVANOVA_HEMATOPOIESIS_EARLY_PROGENITOR	0.4322602317810291			
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	0.43148668406251733			
GO_REGULATION_OF_HISTONE_METHYLATION	0.431223120965929			
GO_SET1C_COMPASS_COMPLEX	0.4307944766463442			
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	0.43037168835732864			
BIOCARTA_RB_PATHWAY	0.43010760579155305			
GO_NEGATIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	0.42983529401466236			
GO_ACETYLTRANSFERASE_ACTIVITY	0.42972234105890905			
GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	0.4294628164405251			
GO_METHYLATION	0.42855460377399296			
GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	0.42840429780408557			
MIR3175	0.4278827889479943			
GO_CHROMATIN_ORGANIZATION	0.4272368663302176			
GO_SEQUENCE_SPECIFIC_DNA_BINDING	0.42711363817800374			
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	0.4268977220704977			
GO_N_METHYLTRANSFERASE_ACTIVITY	0.42679372233793444			
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN	0.42656296391765			
GO_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.4246877913964838			
GO_N_ACETYLTRANSFERASE_ACTIVITY	0.42452548862626427			
GO_CHROMATIN	0.42424015193515324			
MIR3180_MIR3180_3P	0.4241699385503115			
MIR6816_5P	0.4241141447211938			
MIR2682_5P	0.42364715277571097			
GO_HISTONE_H4_K5_ACETYLATION	0.42349085626118527			
GO_HISTONE_METHYLTRANSFERASE_COMPLEX	0.4223877886913986			
IPA_TCEB1_UP	0.4221262440468696			
GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN	0.4216245582651322			
ARID5B_TARGET_GENES	0.4213474360214499			
GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING	0.4207252884059066			
GO_HISTONE_DEMETHYLASE_ACTIVITY	0.42029495114107196			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.4202464348062911			
GSE2706_UNSTIM_VS_2H_LPS_DC_UP	0.420135894518023			
GO_PEPTIDYL_LYSINE_MODIFICATION	0.4190507974497112			
GSE7348_UNSTIM_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_UP	0.4189616249181888			
GO_DOUBLE_STRANDED_DNA_BINDING	0.41881665938781426			
IPA_NEUROD4_UP	0.417516151708831			
E2F_02	0.4174871425249995			
GO_CLATHRIN_SCULPTED_MONOAMINE_TRANSPORT_VESICLE	0.4173109680435357			
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC	0.4171203704240003			
GO_ATP_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.4166435401580595			
GO_REGULATION_OF_TRANSCRIPTION_OF_NUCLEOLAR_LARGE_RRNA_BY_RNA_POLYMERASE_I	0.4160198439861625			
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	0.4159616966102379			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY	0.4155882561757575			
GO_NEGATIVE_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	0.4150021440866026			
GSE5503_MLN_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_DN	0.4146053253319189			
GO_COVALENT_CHROMATIN_MODIFICATION	0.41428007223774943			
E2F4DP2_01	0.41404441382711143			
