	Score	0.95 MoE	P-Value	Q-Value
PARK_HSC_MARKERS	0.9027894413608621			
GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP	0.8990400201758191			
GO_REGULATION_OF_CHROMATIN_ORGANIZATION	0.898810446316421			
GSE339_CD8POS_VS_CD4CD8DN_DC_IN_CULTURE_DN	0.8894050323230464			
HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_DN	0.8774721100354811			
GO_NEGATIVE_REGULATION_OF_HISTONE_MODIFICATION	0.8765429489323087			
GO_POSITIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	0.8727001228922824			
GO_REGULATION_OF_HISTONE_MODIFICATION	0.8718935506191606			
GSE27786_NKCELL_VS_ERYTHROBLAST_UP	0.8685988498091667			
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN	0.8673695127005			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_DN	0.866635283888735			
FERRANDO_T_ALL_WITH_MLL_ENL_FUSION_UP	0.8663686529767555			
YAGI_AML_WITH_11Q23_REARRANGED	0.8658325115172798			
GO_ISOCITRATE_DEHYDROGENASE_ACTIVITY	0.8657102186888557			
MAEKAWA_ATF2_TARGETS	0.8627554803495511			
GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_DN	0.8621662109296047			
GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_DN	0.8617531252389292			
GO_GTPASE_REGULATOR_ACTIVITY	0.8613004996122079			
GO_MRNA_3_SPLICE_SITE_RECOGNITION	0.8596201795548617			
GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_UP	0.8585659000759439			
ELK1_01	0.8568688273255266			
HOFFMANN_IMMATURE_TO_MATURE_B_LYMPHOCYTE_DN	0.8546944884845279			
MIR4444	0.8544106700005873			
TAXCREB_02	0.8539701782322213			
GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	0.8534653101658353			
GSE40666_UNTREATED_VS_IFNA_STIM_EFFECTOR_CD8_TCELL_90MIN_DN	0.8526020893770841			
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	0.8523951115272461			
FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP	0.8521173564435679			
GSE20715_0H_VS_6H_OZONE_LUNG_UP	0.8517737821655502			
GSE20715_0H_VS_48H_OZONE_LUNG_UP	0.8515494939729426			
