	Score	0.95 MoE	P-Value	Q-Value
GO_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	0.5882673805451204			
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	0.5820707352422413			
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.5798641151174191			
GO_REGULATION_OF_GAMMA_DELTA_T_CELL_ACTIVATION	0.5798357084615402			
IPA_SPI1_UP	0.5766445268344152			
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION	0.5746942635155974			
GO_IMMUNOGLOBULIN_BINDING	0.5729126997540002			
GSE3039_ALPHABETA_CD8_TCELL_VS_B1_BCELL_UP	0.5719841756902566			
GO_POSITIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	0.5707214967728476			
GO_GRANULOCYTE_DIFFERENTIATION	0.5693571678840327			
WINTER_HYPOXIA_DN	0.5685627781402476			
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.5657270837796164			
GO_POSITIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	0.5646640518797272			
GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_DN	0.5631167603010899			
GO_REGULATION_OF_GAMMA_DELTA_T_CELL_DIFFERENTIATION	0.5621337079986066			
GO_POSITIVE_T_CELL_SELECTION	0.5587744309113032			
GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	0.5583714233739503			
KLEIN_TARGETS_OF_BCR_ABL1_FUSION	0.5578519354237006			
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	0.5578307598008323			
GO_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	0.5565132376652205			
GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_UP	0.5564123059079731			
GO_POSITIVE_REGULATION_OF_GAMMA_DELTA_T_CELL_ACTIVATION	0.5560325833762836			
GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	0.5555117764543585			
GO_NEGATIVE_REGULATION_OF_B_CELL_ACTIVATION	0.5551146777116146			
GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	0.5549446619339743			
GO_MHC_CLASS_II_BIOSYNTHETIC_PROCESS	0.5548897743163842			
IPA_FLI1_DN	0.5547409239377014			
GSE17721_POLYIC_VS_PAM3CSK4_2H_BMDC_UP	0.5542433628765806			
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.5537470035249311			
PU1_Q6	0.5533656309521483			
GO_GAMMA_DELTA_T_CELL_DIFFERENTIATION	0.5531733124800021			
GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_UP	0.5530018010348198			
GO_GAMMA_DELTA_T_CELL_ACTIVATION	0.5522895686579377			
GO_NEGATIVE_REGULATION_OF_B_CELL_PROLIFERATION	0.5520377173466645			
SMID_BREAST_CANCER_NORMAL_LIKE_UP	0.5513843931068063			
GSE34392_ST2_KO_VS_WT_DAY8_LCMV_EFFECTOR_CD8_TCELL_UP	0.5510739941086739			
GSE4748_CTRL_VS_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.5507059649800672			
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	0.5495846136484805			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.5494346080288637			
GO_REGULATION_OF_B_CELL_ACTIVATION	0.5493866665494005			
SIG_BCR_SIGNALING_PATHWAY	0.5493856435792737			
ZHOU_INFLAMMATORY_RESPONSE_FIMA_DN	0.5490775875017172			
GO_REGULATION_OF_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	0.5489560844756922			
GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN	0.5486686783190833			
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.5482793187334262			
RASHI_RESPONSE_TO_IONIZING_RADIATION_6	0.5482347904387967			
GSE7219_WT_VS_NIK_NFKB2_KO_DC_DN	0.5482247697229703			
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_DN	0.5481524096365418			
GO_MAST_CELL_MEDIATED_IMMUNITY	0.5471864478204896			
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_DN	0.5471331133579627			
