	Score	0.95 MoE	P-Value	Q-Value
chr10p11	0.46856749965338496			
chr10p12	0.4255224694705873			
chr10p13	0.4197575684834559			
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC	0.36410480885326674			
LIU_TARGETS_OF_VMYB_VS_CMYB_DN	0.3596338592775637			
GO_REGULATION_OF_GROWTH_HORMONE_RECEPTOR_SIGNALING_PATHWAY	0.350277871360801			
GO_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	0.34908978207501434			
chr8q13	0.3481047371408217			
GO_TUMOR_NECROSIS_FACTOR_BIOSYNTHETIC_PROCESS	0.34688582470441076			
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_UP	0.34562820308787146			
WANG_ESOPHAGUS_CANCER_PROGRESSION_UP	0.34450987224723034			
YAGI_AML_RELAPSE_PROGNOSIS	0.3438332924037066			
GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_DN	0.34318891817989433			
GO_REGULATION_OF_ISOTYPE_SWITCHING	0.34134455665521396			
IPA_CTCFL_UP	0.34121946425946853			
SOUCEK_MYC_TARGETS	0.3402802409813914			
GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP	0.3359532684825757			
REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS	0.3348614898894255			
BIOCARTA_DC_PATHWAY	0.3346938761403927			
NABA_PROTEOGLYCANS	0.33467439938750243			
GO_C_X3_C_CHEMOKINE_BINDING	0.33437803569717445			
GSE23114_WT_VS_SLE2C1_MOUSE_PERITONEAL_CAVITY_B1A_BCELL_UP	0.33420393261756787			
GSE24142_DN2_VS_DN3_THYMOCYTE_UP	0.33303434965862255			
GSE15330_MEGAKARYOCYTE_ERYTHROID_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	0.3315033867439525			
GO_COPII_VESICLE_COAT	0.3312281811850977			
GO_MITOCHONDRIAL_PROTEIN_CATABOLIC_PROCESS	0.3310644331505825			
GSE40666_WT_VS_STAT4_KO_CD8_TCELL_DN	0.3306881635971448			
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	0.3305516588012943			
GO_GLOMERULAR_MESANGIAL_CELL_DIFFERENTIATION	0.3302621487591407			
WU_HBX_TARGETS_2_UP	0.3297569878717201			
GO_CELLULAR_RESPONSE_TO_MURAMYL_DIPEPTIDE	0.3276614046045991			
GO_INTERLEUKIN_1_BETA_BIOSYNTHETIC_PROCESS	0.3272670505029296			
GO_INTERLEUKIN_1_BIOSYNTHETIC_PROCESS	0.3272670505029296			
GO_URINARY_TRACT_SMOOTH_MUSCLE_CONTRACTION	0.3272144247202442			
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.32604915663325656			
GSE22886_CD8_TCELL_VS_BCELL_NAIVE_UP	0.32600029842435907			
GO_PERICYTE_CELL_DIFFERENTIATION	0.3256434332097916			
KRIEG_HYPOXIA_NOT_VIA_KDM3A	0.32551280665269244			
GO_CORTICOSTERONE_SECRETION	0.32470726459943833			
YAGI_AML_SURVIVAL	0.32364594664851254			
GO_SKELETAL_MUSCLE_SATELLITE_CELL_PROLIFERATION	0.3235139470946567			
VALK_AML_WITH_EVI1	0.3230070073802724			
GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_INF_UP	0.32172830958907817			
GSE6259_BCELL_VS_CD4_TCELL_DN	0.3209629236411276			
IPA_HHEX_DN	0.3208324099130137			
IPA_NMI_UP	0.32040594191803756			
IPA_BATF_UP	0.32040594191803756			
GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_DN	0.32005007259531726			
KONDO_EZH2_TARGETS	0.31796106341507197			
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.31756551153710566			
GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_UP	0.3166556668198072			
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.3165864786556449			
GSE2935_UV_INACTIVATED_VS_LIVE_SENDAI_VIRUS_INF_MACROPHAGE_DN	0.31655577731103723			
GSE4590_PRE_BCELL_VS_VPREB_POS_LARGE_PRE_BCELL_UP	0.31619999781368785			
GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_UP	0.3161437682846374			
GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.3160618567525172			
IPA_ELF2_UP	0.3159947343418253			
GO_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	0.3159788487707411			
GO_NEGATIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS	0.3158159649484721			
