	Score	0.95 MoE	P-Value	Q-Value
GO_TRNA_THIO_MODIFICATION	0.46485211127213305			
MIR1912_3P	0.4454330333077728			
IPA_NF1_DN	0.44463955228891705			
MIR1295B_5P	0.44383958348081076			
chr17q23	0.4388863429904738			
GO_REGULATION_OF_CARDIAC_CONDUCTION	0.43436169187711304			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CILIUM	0.4309812008144436			
GO_TIM23_MITOCHONDRIAL_IMPORT_INNER_MEMBRANE_TRANSLOCASE_COMPLEX	0.43083415857127916			
MIR6889_3P	0.42857986893459815			
ASTIER_INTEGRIN_SIGNALING	0.4211925548349692			
GO_CELLULAR_DIVALENT_INORGANIC_ANION_HOMEOSTASIS	0.4209226817561077			
ZBTB5_TARGET_GENES	0.4182532641633783			
IPA_SMYD3_UP	0.4160391608108911			
ZNF140_TARGET_GENES	0.41491243549447737			
MEISSNER_ES_ICP_WITH_H3K4ME3	0.4135534889781772			
WANG_CLIM2_TARGETS_UP	0.41315334345978566			
ZFP69B_TARGET_GENES	0.4118453386115782			
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	0.4113133778189815			
STAT1_02	0.4089698282389833			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CILIUM	0.4087557456404493			
GO_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	0.4084298397974412			
GO_OXALOACETATE_METABOLIC_PROCESS	0.4078783583727569			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN	0.40663400015846435			
GO_PROTEIN_LOCALIZATION_TO_MICROTUBULE_END	0.4064970719744832			
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	0.40623221495738765			
GO_FEAR_RESPONSE	0.405852165357859			
MIR6529_3P	0.4055941643603635			
ZNF490_TARGET_GENES	0.4049955953362995			
MORI_PLASMA_CELL_UP	0.40492152463856684			
GSE30083_SP1_VS_SP4_THYMOCYTE_UP	0.40480670095218657			
GO_THYROID_HORMONE_GENERATION	0.4043838363937017			
MIR4764_5P	0.4039454759691987			
KLF7_TARGET_GENES	0.4038256787191521			
