	Score	0.95 MoE	P-Value	Q-Value
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	0.41335412458410237			
GATGKMRGCG_UNKNOWN	0.4130170441084899			
GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_UP	0.4114442596014308			
GO_DEPHOSPHORYLATION_OF_RNA_POLYMERASE_II_C_TERMINAL_DOMAIN	0.40374152367808197			
LMTK3_TARGET_GENES	0.3981745691543365			
MIR11400	0.39661981217662096			
GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.39290997002943856			
GO_CEREBELLAR_PURKINJE_CELL_LAYER_MORPHOGENESIS	0.3927563616973304			
HALLMARK_KRAS_SIGNALING_DN	0.3903138751389844			
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0.3892765805724434			
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION	0.3881429411481319			
MIR214_5P	0.3853641721339071			
IPA_HAND2_DN	0.38393398605691376			
IPA_MYBL2_DN	0.38336377783337605			
GO_MITOCHONDRIAL_RNA_MODIFICATION	0.3823953189689914			
ACCGAGC_MIR423	0.38201784577111636			
MIR6745	0.38039852417197895			
GO_PHOSPHAGEN_METABOLIC_PROCESS	0.3803552792672161			
MIR4651	0.3798177199353873			
GO_DENDRITIC_SPINE_NECK	0.3796526035106007			
GO_POSITIVE_REGULATION_OF_CARDIOBLAST_DIFFERENTIATION	0.37936184546230967			
HOLLEMAN_PREDNISOLONE_RESISTANCE_ALL_UP	0.37880238224522095			
KRAS.600.LUNG.BREAST_UP.V1_DN	0.37835088797926675			
GO_NEURAL_PLATE_DEVELOPMENT	0.3781526720401726			
WHITFIELD_CELL_CYCLE_G1_S	0.37762809257571506			
GO_PHOSPHOTRANSFERASE_ACTIVITY_NITROGENOUS_GROUP_AS_ACCEPTOR	0.3770583924952549			
IPA_EBF1_DN	0.3770429501529837			
PPARG_01	0.3764616027001688			
ZFP82_TARGET_GENES	0.37485080583599495			
REACTOME_PHASE_3_RAPID_REPOLARISATION	0.37478290296561995			
GO_METENCEPHALON_DEVELOPMENT	0.37456303101532556			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP	0.37452421156505694			
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	0.3739426122207689			
GO_DNA_TOPOLOGICAL_CHANGE	0.37389402714781755			
GO_SPLICEOSOMAL_SNRNP_ASSEMBLY	0.37377063241765596			
GO_REGULATION_OF_HISTONE_H4_ACETYLATION	0.37370655993783886			
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	0.3736962301421671			
GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_DN	0.3736440871405811			
RYTGCNWTGGNR_UNKNOWN	0.37234766317682844			
IPA_CCNT1_UP	0.37221178593333887			
JOHANSSON_GLIOMAGENESIS_BY_PDGFB_DN	0.37152443098348553			
GO_NEURAL_PLATE_MORPHOGENESIS	0.37119197539211596			
IPA_CUX1_UP	0.3711773194321584			
GO_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT	0.3711022806363145			
BENPORATH_ES_1	0.3705745745907434			
KRAS.LUNG.BREAST_UP.V1_DN	0.3696557573561072			
GSE2706_UNSTIM_VS_2H_LPS_DC_UP	0.3682353095549516			
GO_PROTEIN_ACYLATION	0.3680176143791437			
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I	0.36801069459407104			
GO_MIDBRAIN_HINDBRAIN_BOUNDARY_DEVELOPMENT	0.3666832507465427			
GO_CREATINE_METABOLIC_PROCESS	0.3662892632805107			
PID_P38_GAMMA_DELTA_PATHWAY	0.3661185045758397			
GO_P53_BINDING	0.36579928967354103			
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_DVL_INTERACTING_PROTEINS	0.3655942660302716			
GO_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION	0.36443440454735954			
GSE13306_RA_VS_UNTREATED_TCONV_UP	0.3642394629152281			
GO_CELL_BODY_FIBER	0.36423470747586134			
GO_HIS_PURKINJE_SYSTEM_DEVELOPMENT	0.3641221677059882			
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP	0.36380344641800405			
GSE22589_SIV_VS_HIV_AND_SIV_INFECTED_DC_DN	0.36353579217077			
GO_HISTONE_H3_K9_DEMETHYLATION	0.36352421597819234			
GO_RNA_POLYMERASE_CORE_ENZYME_BINDING	0.36297966434368895			
KIM_GASTRIC_CANCER_CHEMOSENSITIVITY	0.36282152446611293			
IPA_E2F2_DN	0.3628064078420373			
GSE360_L_MAJOR_VS_T_GONDII_MAC_DN	0.3627122681878851			
GO_POSITIVE_REGULATION_OF_HISTONE_UBIQUITINATION	0.36254408448552483			
GTGGTGA_MIR197	0.3623148995004307			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.3621217348299751			
GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_DN	0.36196139407144456			
GO_HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS_ENZYMATIC_MODIFICATION	0.3612771043144819			
REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS	0.361107142829701			
MIR8089	0.36034206573158134			
BIOCARTA_ACTINY_PATHWAY	0.36022856639614903			
GO_CHROMO_SHADOW_DOMAIN_BINDING	0.3594452975246863			
GO_REGULATION_OF_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION	0.3593245981644536			
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	0.35899098562401904			
MYC_UP.V1_UP	0.35886733908701546			
