	Score	0.95 MoE	P-Value	Q-Value
GRANDVAUX_IRF3_TARGETS_DN	0.4952184149154313			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.4820270623142316			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.48076552663390915			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.4783797513273549			
HOELZEL_NF1_TARGETS_UP	0.4771284005718184			
HASINA_NOL7_TARGETS_UP	0.4767357937920478			
GSE45365_BCELL_VS_CD8_TCELL_DN	0.47393739329456763			
GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP	0.4738850637677817			
PID_SYNDECAN_3_PATHWAY	0.4724841339779113			
HALLMARK_COAGULATION	0.46886183799182957			
GO_SMOOTH_MUSCLE_CELL_MIGRATION	0.4669001681193661			
DASU_IL6_SIGNALING_SCAR_DN	0.46453619909329397			
GO_COLLAGEN_BINDING	0.4637452151284406			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.4636917677052117			
GSE43955_1H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN	0.46292530187790587			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.4627140407299882			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION	0.46155454825932646			
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.4597632320847541			
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.4597017678159535			
GO_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.4595643793167824			
GENTILE_UV_LOW_DOSE_DN	0.45942036925583996			
GO_FOCAL_ADHESION_ASSEMBLY	0.4592932741674254			
GO_I_BAND	0.45834399231438055			
GO_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.45812755799807203			
BROWNE_HCMV_INFECTION_20HR_DN	0.4579502549904641			
MIR6800_5P	0.45682914273113556			
