	Score	0.95 MoE	P-Value	Q-Value
IPA_GFI1B_UP	0.43500038659868484			
GO_FOREBRAIN_NEURON_FATE_COMMITMENT	0.4309537567506432			
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY_INVOLVED_IN_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_REPOLARIZATION	0.4259072098253251			
GO_EOSINOPHIL_DIFFERENTIATION	0.42023563289759186			
SU_SALIVARY_GLAND	0.40859074956591684			
SCHLESINGER_H3K27ME3_IN_NORMAL_AND_METHYLATED_IN_CANCER	0.4049569437119589			
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY_INVOLVED_IN_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_REPOLARIZATION	0.40411344538834787			
IPA_LMO2_UP	0.40051269887416757			
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.39995962012135494			
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	0.399776741013026			
GO_ANTERIOR_HEAD_DEVELOPMENT	0.39855348194508616			
GO_PYRIMIDINE_NUCLEOTIDE_CATABOLIC_PROCESS	0.39759086156702045			
GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY	0.39733075222254666			
GO_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DIFFERENTIATION	0.39712082276352845			
GO_COMMITMENT_OF_NEURONAL_CELL_TO_SPECIFIC_NEURON_TYPE_IN_FOREBRAIN	0.39096600111210805			
GO_GABAERGIC_NEURON_DIFFERENTIATION	0.3897032262550579			
STEGMEIER_PREMITOTIC_CELL_CYCLE_REGULATORS	0.3869895403471972			
GO_NURD_COMPLEX	0.3846329199728519			
REACTOME_PHASE_3_RAPID_REPOLARISATION	0.38235876126909235			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.38132178864014943			
GO_ANCHORED_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0.38073091869166964			
PETRETTO_BLOOD_PRESSURE_DN	0.3801228549069381			
