	Score	0.95 MoE	P-Value	Q-Value
GSE31082_DP_VS_CD8_SP_THYMOCYTE_UP	0.5238207318911687			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.518819052606168			
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	0.5153414930342822			
GO_TRANSCRIPTIONAL_REPRESSOR_COMPLEX	0.4947892148541665			
GO_CHROMATIN_BINDING	0.4938014041729432			
GO_P53_BINDING	0.48782773510860233			
GO_CHROMATIN_DNA_BINDING	0.4872022871910053			
GO_NUCLEOSOME_BINDING	0.48712427072762543			
GO_REGULATION_OF_RNA_SPLICING	0.4852430447514832			
GO_CHROMATIN_REMODELING	0.48308435027485347			
GO_RDNA_BINDING	0.4826566136685209			
GO_DNA_INTEGRATION	0.4816301202256426			
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	0.47653555847369194			
GO_CHROMATIN_ORGANIZATION	0.4749801825581562			
GO_PARASPECKLES	0.4724000286664046			
GTGGTGA_MIR197	0.4717770046042325			
GO_TERMINATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION	0.4710947787221678			
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.47060724717748575			
GO_HISTONE_H3_K4_METHYLATION	0.46868645862921204			
GO_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	0.4684461635229371			
GO_CHROMATIN_SILENCING_AT_RDNA	0.46428305634354355			
GO_REGULATION_OF_CHROMATIN_BINDING	0.4635202861150772			
GO_RNA_POLYMERASE_I_REGULATORY_REGION_DNA_BINDING	0.463372377094132			
GO_NEGATIVE_REGULATION_OF_MRNA_PROCESSING	0.4613066653855787			
GO_SEQUENCE_SPECIFIC_DNA_BINDING	0.4612417894922633			
GO_NEGATIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.46061474656116297			
GO_PEPTIDYL_LYSINE_METHYLATION	0.46057666854444596			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.45965913717061657			
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.45897903892857184			
GO_REGULATION_OF_MRNA_PROCESSING	0.45812787455528753			
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.45775715894887203			
BIOCARTA_VDR_PATHWAY	0.45767536474323767			
REACTOME_MRNA_SPLICING	0.4573872201830981			
GO_CHROMATIN	0.45659252299535374			
GO_MRNA_SPLICE_SITE_SELECTION	0.45640512343942397			
GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.4553060965875078			
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	0.45479875303188666			
GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	0.4542931913359108			
GO_NEGATIVE_REGULATION_OF_RNA_SPLICING	0.4536088747463801			
MIR4758_3P	0.4535602160810246			
REACTOME_BASE_EXCISION_REPAIR	0.4533732321741955			
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	0.4529407941065407			
GO_REGULATION_OF_SYNAPSE_MATURATION	0.45246456679764624			
GO_COVALENT_CHROMATIN_MODIFICATION	0.45226075382967296			
GO_DNA_DEPENDENT_ATPASE_ACTIVITY	0.45211259816240545			
E2F1_Q6_01	0.4517443991072443			
GO_HISTONE_METHYLATION	0.451662166318943			
GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY	0.45117434206348583			
E2F_Q3_01	0.4508608720487565			
REACTOME_CHROMATIN_MODIFYING_ENZYMES	0.45057976230751795			
GO_REGULATION_OF_HISTONE_METHYLATION	0.45054668953618915			
GO_TRANSCRIPTION_REGULATOR_ACTIVITY	0.45035324675781196			
GO_DNA_TOPOLOGICAL_CHANGE	0.4502087689328079			
PUJANA_BRCA_CENTERED_NETWORK	0.4498929516817421			
PUJANA_XPRSS_INT_NETWORK	0.44974137275849146			
E2F1_Q4_01	0.4497358672161377			
GO_NUCLEAR_CHROMOSOME	0.4493883598755177			
E2F_03	0.4493296379050617			
GO_DOUBLE_STRANDED_DNA_BINDING	0.44922104996970497			
GATGKMRGCG_UNKNOWN	0.44875469097283527			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP	0.44795431152419213			
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES	0.4479135342395052			
GO_PROTEIN_METHYLATION	0.44774780764273636			
GO_SEQUENCE_SPECIFIC_SINGLE_STRANDED_DNA_BINDING	0.4469446326714919			
GO_NEGATIVE_REGULATION_OF_CHROMATIN_BINDING	0.44679787899293066			
