	Score	0.95 MoE	P-Value	Q-Value
GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_UP	0.642202665554096			
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_DN	0.6387386472695016			
GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_DN	0.6255377108455655			
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	0.6246071020553351			
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	0.6235427953922794			
GSE339_EX_VIVO_VS_IN_CULTURE_CD8POS_DC_UP	0.6198215954682378			
GSE16755_CTRL_VS_IFNA_TREATED_MAC_UP	0.6164117230597721			
GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN	0.6147528982991017			
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_48H_UP	0.6146009460684366			
IPA_HOXA9_UP	0.610168759421893			
GO_RESPONSE_TO_ATP	0.6088653397106252			
KEGG_ACUTE_MYELOID_LEUKEMIA	0.6080065591745261			
GSE3982_MAST_CELL_VS_MAC_UP	0.605207477785105			
GSE6259_BCELL_VS_CD8_TCELL_DN	0.6039360238720247			
GSE22886_CTRL_VS_LPS_24H_DC_UP	0.6038122171927177			
GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN	0.6027686581940441			
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	0.601046772291997			
GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_UP	0.6006368525932163			
ARID5B_TARGET_GENES	0.5993682391898586			
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_UP	0.596685398894514			
GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_UP	0.5961114394110338			
GSE45365_NK_CELL_VS_CD11B_DC_MCMV_INFECTION_DN	0.5950193006701159			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_DN	0.5949180563176903			
GSE3039_NKT_CELL_VS_B2_BCELL_UP	0.5945027936933899			
GSE360_CTRL_VS_M_TUBERCULOSIS_DC_UP	0.5943633035110163			
BIOCARTA_PLC_PATHWAY	0.5940413191484109			
GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_UP	0.5940279515834033			
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K	0.5938284348904019			
GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP	0.5938244634229006			
GSE2706_UNSTIM_VS_2H_R848_DC_UP	0.5933685322316977			
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_DN	0.5933639260604926			
GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP	0.5930781931991992			
GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_UP	0.592789155933112			
PID_IL8_CXCR1_PATHWAY	0.5927095832878576			
FERRANDO_LYL1_NEIGHBORS	0.5923530947866861			
PID_IL8_CXCR2_PATHWAY	0.5916169689737661			
GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.591321164789273			
GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP	0.5905562754986774			
GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN	0.5903403973926917			
GSE35825_UNTREATED_VS_IFNA_STIM_MACROPHAGE_UP	0.5897535120128004			
GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_DC_DN	0.5896546365707509			
