	Score	0.95 MoE	P-Value	Q-Value
GO_MOTOR_NEURON_APOPTOTIC_PROCESS	0.37673643064016404			
GO_REPLISOME	0.36468527892994507			
GSE25085_FETAL_LIVER_VS_FETAL_BM_SP4_THYMIC_IMPLANT_UP	0.364466728134533			
GO_REGULATION_OF_T_CELL_EXTRAVASATION	0.3630861503330836			
GSE27786_CD8_TCELL_VS_MONO_MAC_UP	0.3609486361955264			
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	0.3606825240965517			
GO_PROTEIN_MATURATION_BY_4FE_4S_CLUSTER_TRANSFER	0.36038093961163575			
GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_DN	0.35386191652317134			
GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_CTRL_CD4_TCELL_DN	0.35371010583417545			
GO_DNA_REPLICATION_FACTOR_A_COMPLEX	0.3515199262963484			
GO_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS	0.3488390384841086			
GO_CELLULAR_DEFENSE_RESPONSE	0.34712208606653777			
GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP	0.34660131597127736			
GO_REGULATION_OF_MIRNA_METABOLIC_PROCESS	0.34642618389468816			
ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN	0.34524229575609655			
REACTOME_CD209_DC_SIGN_SIGNALING	0.3447994372775101			
REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH	0.34453231077545216			
IPA_FOXO1_UP	0.3437716256853255			
GSE27786_CD4_TCELL_VS_MONO_MAC_UP	0.34222143679991945			
GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_DN	0.3420324240729536			
GSE4590_PRE_BCELL_VS_VPREB_POS_LARGE_PRE_BCELL_DN	0.34035613458951325			
GO_LATERAL_ELEMENT	0.3397105910518352			
PID_CD8_TCR_DOWNSTREAM_PATHWAY	0.3391173054474466			
GO_RIPOPTOSOME	0.3390679729869655			
GO_NUCLEAR_REPLICATION_FORK	0.3385158797171949			
ONO_AML1_TARGETS_DN	0.3380193266792424			
GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_UP	0.3377004816699198			
GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_DN	0.33711782423060216			
MIR3675_5P	0.3362599559667714			
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	0.3357091396974961			
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	0.3354799214019995			
GSE14415_ACT_VS_CTRL_NATURAL_TREG_DN	0.3350958233509122			
ONO_FOXP3_TARGETS_UP	0.3348660328179277			
LIN_MELANOMA_COPY_NUMBER_UP	0.33435091737075084			
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.3343189258709201			
GO_PROTEIN_DNA_COMPLEX	0.3342130417606407			
GO_NUCLEASE_ACTIVITY	0.3341263724071245			
GO_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	0.33357560324242586			
GSE27786_NKTCELL_VS_NEUTROPHIL_UP	0.33291537826539075			
PID_TCR_RAS_PATHWAY	0.33225444497497636			
GO_HYDROLASE_ACTIVITY_ACTING_ON_ESTER_BONDS	0.3321888272336644			
GO_TRANSFERASE_COMPLEX_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS	0.33201775077215706			
GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_UP	0.33201471041879893			
PID_FCER1_PATHWAY	0.3318417829947613			
GO_PURINE_CONTAINING_COMPOUND_SALVAGE	0.3316840676642738			
GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP	0.3316783937170826			
GO_PROTEIN_SIDE_CHAIN_DEGLUTAMYLATION	0.3316596962276377			
KEGG_HOMOLOGOUS_RECOMBINATION	0.33138721075175337			
CAFFAREL_RESPONSE_TO_THC_24HR_3_UP	0.3313115522049563			
NEUROD2_TARGET_GENES	0.33126442078065443			
GO_HEMATOPOIETIC_STEM_CELL_HOMEOSTASIS	0.33094620718047846			
GSE15733_BM_VS_SPLEEN_MEMORY_CD4_TCELL_DN	0.33057605435096554			
GSE2826_WT_VS_BTK_KO_BCELL_UP	0.33055564464461995			
GSE17974_0H_VS_1H_IN_VITRO_ACT_CD4_TCELL_DN	0.33033138787721866			
GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN	0.33020763191236685			
GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_3H_UP	0.3300601617029104			
GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP	0.3300550302355889			
IPA_AHRR_UP	0.3300124687590754			
GO_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.32999231621890485			
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_2H_DN	0.3299779634603571			
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_DN	0.32980176832442365			
GO_FLEMMING_BODY	0.3295507221992638			
REACTOME_MEIOTIC_RECOMBINATION	0.3289462318730733			
GO_GTPASE_INHIBITOR_ACTIVITY	0.3289314613348085			
BIOCARTA_FCER1_PATHWAY	0.3287627122499695			
GSE27786_CD4_TCELL_VS_NEUTROPHIL_UP	0.32813587492352814			
GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN	0.32768747096105605			
GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_DN	0.3276848517856256			
GO_ALPHA_BETA_T_CELL_ACTIVATION	0.32760693665937485			
GO_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	0.32759993806131826			
GO_REPLICATION_FORK	0.3271691331740669			
ONO_AML1_TARGETS_UP	0.3270757522645875			
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.3267387471373327			
GO_GRANULOCYTE_DIFFERENTIATION	0.32672921284142536			
GSE6259_DEC205_POS_DC_VS_CD8_TCELL_UP	0.32668695088437016			
PID_IL2_1PATHWAY	0.32660905699287807			
GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_KINASE_ACTIVITY	0.32636136329275883			
GO_NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	0.3263282263234244			
REACTOME_DEUBIQUITINATION	0.32628459277521127			
GO_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS	0.3261556209343244			
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.32598254266003013			
GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_UP	0.3259181538484537			
PID_BCR_5PATHWAY	0.3257014604258513			
GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_DN	0.32566872102996836			
ONO_FOXP3_TARGETS_DN	0.3254571333886133			
GO_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	0.32528545687263205			
GO_MATURATION_OF_5_8S_RRNA	0.3250958909277727			
GSE17721_LPS_VS_POLYIC_24H_BMDC_DN	0.32474702200510863			
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MONOCYTE_DN	0.32459717475484356			
GSE14415_TCONV_VS_FOXP3_KO_INDUCED_TREG_UP	0.3245669640968946			
GO_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	0.3243471658690823			
GO_PROTEIN_TARGETING_TO_MITOCHONDRION	0.3243222966228335			
GO_EXORIBONUCLEASE_ACTIVITY	0.32422688280583384			
GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN	0.3242239711541454			
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY	0.3240855956140235			
HDAC4_TARGET_GENES	0.3240845137448859			
MARSON_BOUND_BY_FOXP3_UNSTIMULATED	0.3240608559993512			
GO_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	0.3240487773362512			
GO_NUCLEAR_CHROMOSOME_TELOMERIC_REGION	0.32386014871751256			
MGGAAGTG_GABP_B	0.3238488880913598			
MARSON_FOXP3_CORE_DIRECT_TARGETS	0.32308227549173596			
BIOCARTA_AKT_PATHWAY	0.32301054393204914			
GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_DN	0.3228740126667241			
GO_EXONUCLEASE_ACTIVITY	0.3228069615948883			
GO_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	0.32273277393295496			
GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP	0.3225605403134629			
GO_CHROMOSOME_TELOMERIC_REGION	0.32253961001454245			
GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP	0.3222918101815119			
GSE27859_MACROPHAGE_VS_CD11C_INT_F480_INT_DC_DN	0.32217731167901237			
GO_PROTEIN_K48_LINKED_DEUBIQUITINATION	0.32209795755376885			
GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_UP	0.3220625810613306			
FERRANDO_HOX11_NEIGHBORS	0.32177517609790013			
GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL	0.3217062015857812			
IPA_PRDM1_DN	0.3212279556909217			
GO_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY	0.32121020644139125			
GO_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	0.32109777554109026			
GSE23925_LIGHT_ZONE_VS_NAIVE_BCELL_UP	0.32091084728735636			
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING	0.3208630659976638			
KEGG_ACUTE_MYELOID_LEUKEMIA	0.3208539479941754			
GO_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS	0.3206000495328236			
GO_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS	0.3203103938292396			
GO_DNA_DEAMINATION	0.32029355980397195			
GARY_CD5_TARGETS_DN	0.3202440495096221			
MARSON_FOXP3_TARGETS_DN	0.3201304120311339			
PID_MAPK_TRK_PATHWAY	0.31981686540176213			
GO_SNORNA_BINDING	0.31972221870891954			
GO_DNA_DEPENDENT_DNA_REPLICATION	0.31938296219874324			
GO_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	0.3193759649559339			
GO_ZONA_PELLUCIDA_RECEPTOR_COMPLEX	0.3192100968908304			
SMIRNOV_RESPONSE_TO_IR_6HR_DN	0.3191315869517673			
GO_PROTEIN_PROCESSING_INVOLVED_IN_PROTEIN_TARGETING_TO_MITOCHONDRION	0.31903138077184134			
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES	0.31885018898841855			
GO_MYELOID_DENDRITIC_CELL_ACTIVATION	0.31864974204326396			
GSE22886_NAIVE_CD8_TCELL_VS_DC_UP	0.3186494100654426			
TARTE_PLASMA_CELL_VS_PLASMABLAST_DN	0.3186289708787042			
GO_PHOSPHATIDYLINOSITOL_BISPHOSPHATE_KINASE_ACTIVITY	0.3184007170106471			
GO_NEUTROPHIL_DIFFERENTIATION	0.31836830755204604			
GSE41867_DAY6_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_DN	0.31817012845564474			
GO_NEGATIVE_REGULATION_OF_CENTROSOME_CYCLE	0.3181233162012871			
REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA	0.31790749146036595			
GO_PHOSPHATIDYLINOSITOL_3_KINASE_COMPLEX	0.31786620605790605			
GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_DN	0.31782422019634643			
GO_UBIQUITIN_PROTEIN_TRANSFERASE_REGULATOR_ACTIVITY	0.3177714442620361			
GSE3982_NEUTROPHIL_VS_EFF_MEMORY_CD4_TCELL_DN	0.3177310899736754			
GO_REGULATION_OF_PROTEIN_K63_LINKED_UBIQUITINATION	0.3175454028497242			
GO_EXORIBONUCLEASE_COMPLEX	0.3173942580653004			
BIOCARTA_NKT_PATHWAY	0.31734848057902043			
GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP	0.3172259382089611			
GO_TRANSLATIONAL_TERMINATION	0.31721207404340424			
REACTOME_SENSING_OF_DNA_DOUBLE_STRAND_BREAKS	0.31716315454050054			
GO_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	0.31709195332371565			
GO_PROTEIN_K63_LINKED_DEUBIQUITINATION	0.3170693523114116			
