	Score	0.95 MoE	P-Value	Q-Value
FARMER_BREAST_CANCER_CLUSTER_8	0.667778830571756			
REACTOME_SIGNALING_BY_MST1	0.6287597670725121			
HOLLERN_EMT_BREAST_TUMOR_DN	0.6220988565158455			
GO_BRANCHING_INVOLVED_IN_LABYRINTHINE_LAYER_MORPHOGENESIS	0.620004130031526			
REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.6198615586785636			
LIM_MAMMARY_STEM_CELL_DN	0.6181926579713045			
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	0.6135092609947541			
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN	0.6130187348013091			
GO_EMBRYONIC_PLACENTA_MORPHOGENESIS	0.6109693641834195			
GO_LABYRINTHINE_LAYER_MORPHOGENESIS	0.6100693781596563			
COLDREN_GEFITINIB_RESISTANCE_DN	0.609948846191625			
AIGNER_ZEB1_TARGETS	0.6071393146607043			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_EMBRYONIC_PLACENTA_DEVELOPMENT	0.6065617281649507			
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	0.6056079619662992			
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	0.6036359084107652			
IPA_ZEB1_DN	0.6008069263518147			
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP	0.5996071142450964			
LOPEZ_EPITHELIOID_MESOTHELIOMA	0.5994121624085808			
GO_TIGHT_JUNCTION_ORGANIZATION	0.598799230013159			
GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION	0.5975802054724755			
GO_CARDIAC_MUSCLE_CELL_CARDIAC_MUSCLE_CELL_ADHESION	0.5967346975848987			
GO_TIGHT_JUNCTION	0.5966639453414918			
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	0.5957839482671785			
GO_APICOLATERAL_PLASMA_MEMBRANE	0.5957491217258073			
GO_CELL_ADHESIVE_PROTEIN_BINDING_INVOLVED_IN_BUNDLE_OF_HIS_CELL_PURKINJE_MYOCYTE_COMMUNICATION	0.5953842413123077			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.5937401947605585			
GO_APICAL_JUNCTION_COMPLEX	0.5936521431703242			
WALLACE_PROSTATE_CANCER_UP	0.5926459315767899			
SINGH_KRAS_DEPENDENCY_SIGNATURE	0.5922004770449826			
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING	0.5905326874021033			
VANDESLUIS_COMMD1_TARGETS_GROUP_3_UP	0.5893294181089601			
GO_DESMOSOME	0.5880971447410221			
GO_ZONULA_ADHERENS	0.5877599295445414			
GREB1_TARGET_GENES	0.5871151296712002			
GO_DESMOSOME_ORGANIZATION	0.5870264504933614			
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	0.5855477145236568			
GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_DN	0.5823785859428499			
GO_WATER_HOMEOSTASIS	0.5796845611934931			
GO_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0.5792197767484575			
IPA_TEAD2_DN	0.5788934398880531			
GO_TRANSCYTOSIS	0.5764752604180743			
GO_LABYRINTHINE_LAYER_DEVELOPMENT	0.5756412320053171			
SMID_BREAST_CANCER_ERBB2_UP	0.5751630654585796			
GO_EMBRYONIC_PLACENTA_DEVELOPMENT	0.5749665694645366			
IPA_CBX2_DN	0.574281363288758			
JAEGER_METASTASIS_DN	0.5740754273693468			
IPA_KLF8_DN	0.5738525856880172			
GO_POSITIVE_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY	0.5711326993073839			
GO_PROTEIN_BINDING_INVOLVED_IN_HETEROTYPIC_CELL_CELL_ADHESION	0.5692330667464012			
RODRIGUES_NTN1_TARGETS_DN	0.5692090753241434			
ZWANG_EGF_INTERVAL_DN	0.5689028004918496			
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP	0.5682292330470263			
GO_APICAL_JUNCTION_ASSEMBLY	0.5679774704068933			
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.5675668438448439			
GO_BASOLATERAL_PLASMA_MEMBRANE	0.5675609722364294			
LIM_MAMMARY_LUMINAL_MATURE_UP	0.5664328853424759			
LANDIS_BREAST_CANCER_PROGRESSION_UP	0.5661418652087167			
GO_REGULATION_OF_WATER_LOSS_VIA_SKIN	0.5655792360736667			
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_UP	0.5647033951322054			
CAFFAREL_RESPONSE_TO_THC_8HR_3_UP	0.5639161200587124			
GSE9946_IMMATURE_VS_MATURE_STIMULATORY_DC_UP	0.5617979269575282			
DODD_NASOPHARYNGEAL_CARCINOMA_UP	0.5599264806080407			
IPA_ELF3_DN	0.559674332899378			
GO_FHF_COMPLEX	0.5590571219167174			
GO_NUCLEOSIDE_DIPHOSPHATASE_ACTIVITY	0.5588558226279158			
