	Score	0.95 MoE	P-Value	Q-Value
HOLLERN_EMT_BREAST_TUMOR_DN	0.7822626770694595			
COLDREN_GEFITINIB_RESISTANCE_DN	0.7779371084276521			
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	0.7718512220806145			
GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_DN	0.76472172384956			
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	0.7631863511728622			
GO_BRANCHING_INVOLVED_IN_LABYRINTHINE_LAYER_MORPHOGENESIS	0.7610707648484493			
IPA_OVOL1_UP	0.7526264431918027			
GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_DN	0.7512197749008063			
AIGNER_ZEB1_TARGETS	0.7468096122376675			
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN	0.7452978091211394			
GO_LABYRINTHINE_LAYER_MORPHOGENESIS	0.7379337709092146			
LANDIS_BREAST_CANCER_PROGRESSION_UP	0.737251182814855			
GO_DESMOSOME	0.7332462159063308			
LIM_MAMMARY_STEM_CELL_DN	0.7314340163775415			
GO_EMBRYONIC_PLACENTA_MORPHOGENESIS	0.7294004915578653			
GO_LABYRINTHINE_LAYER_DEVELOPMENT	0.7291686208187877			
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP	0.7277578131096709			
IPA_KLF8_DN	0.7250519997949735			
JAEGER_METASTASIS_DN	0.724644993665756			
IPA_CBX2_DN	0.7241852998727234			
IPA_ZEB1_DN	0.7241049029755207			
GREB1_TARGET_GENES	0.7238122311702524			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_EMBRYONIC_PLACENTA_DEVELOPMENT	0.7194299692720414			
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	0.7171300416811124			
REACTOME_SIGNALING_BY_MST1	0.7128521437481239			
IPA_TEAD2_DN	0.7128165839662157			
IPA_SNAI1_DN	0.7122279618580071			
AREB6_01	0.7115088674342978			
GO_APICOLATERAL_PLASMA_MEMBRANE	0.7105351527758161			
GO_NEGATIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.7086095854654864			
GO_EMBRYONIC_PLACENTA_DEVELOPMENT	0.7067139300450787			
GO_DESMOSOME_ORGANIZATION	0.7043872185217412			
GO_CORNIFICATION	0.7034693671366934			
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.702395878152312			
SINGH_KRAS_DEPENDENCY_SIGNATURE	0.7023303622632687			
ONDER_CDH1_TARGETS_2_DN	0.702038959563957			
GO_CORNIFIED_ENVELOPE	0.7005780276195042			
GO_LATERAL_PLASMA_MEMBRANE	0.6996573865593395			
GO_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	0.6982006983465657			
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	0.6981635984621429			
GSE19888_ADENOSINE_A3R_INH_VS_ACT_IN_MAST_CELL_UP	0.6958980965297769			
GO_TIGHT_JUNCTION_ORGANIZATION	0.6948287201817132			
GO_FHF_COMPLEX	0.6948279415486461			
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	0.6946430039678122			
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.6937434787964599			
GO_TIGHT_JUNCTION	0.6934455831707569			
GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION	0.6932229051561892			
GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.6899970442426056			
GO_REGULATION_OF_WATER_LOSS_VIA_SKIN	0.6870576030708873			
HEIDENBLAD_AMPLICON_12P11_12_DN	0.6855221067903335			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.6854060046725291			
ZWANG_EGF_INTERVAL_DN	0.684157478053148			
SMID_BREAST_CANCER_NORMAL_LIKE_DN	0.6835314099343944			
GO_APICAL_JUNCTION_COMPLEX	0.680305575291308			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.6792881170747915			
LIU_CDX2_TARGETS_DN	0.6789987711918575			
MEISSNER_NPC_HCP_WITH_H3_UNMETHYLATED	0.6778130737898597			
LOPEZ_EPITHELIOID_MESOTHELIOMA	0.6777238901724949			
HALLMARK_ESTROGEN_RESPONSE_LATE	0.6775502981833521			
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	0.6770490023301925			
LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT	0.6769145507561519			
GO_BASAL_PLASMA_MEMBRANE	0.6764342462473043			
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	0.6763455719700067			
LANDEMAINE_LUNG_METASTASIS	0.6755710772696311			
WANG_BARRETTS_ESOPHAGUS_DN	0.6755161817800112			
GO_POSITIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	0.6744727492110136			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.6733407081294781			
AREB6_03	0.6726149704332658			
GO_WATER_HOMEOSTASIS	0.6724639576216543			
REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.6724017503629305			
GO_KERATINIZATION	0.671488507108136			
WDHD1_TARGET_GENES	0.670639876078003			
GU_PDEF_TARGETS_DN	0.6705052535793683			
CAFFAREL_RESPONSE_TO_THC_8HR_3_UP	0.6702991951183279			
GO_CARDIAC_MUSCLE_CELL_CARDIAC_MUSCLE_CELL_ADHESION	0.6690171852678191			
GO_EPIDERMAL_CELL_DIFFERENTIATION	0.6690054323348168			
MEISSNER_BRAIN_HCP_WITH_H3K27ME3	0.6673038752081104			
GO_EPIDERMIS_DEVELOPMENT	0.6672798630877997			
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_UP	0.6670919689777275			
GO_NEGATIVE_REGULATION_OF_HAIR_CYCLE	0.6656453531089218			
IPA_SIX5_UP	0.6653141751970894			
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	0.6641931301674522			
ROY_WOUND_BLOOD_VESSEL_DN	0.6640166314737057			
GO_POSITIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	0.6637720926601642			
GO_NEGATIVE_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	0.662468426331958			
GO_CELL_ADHESIVE_PROTEIN_BINDING_INVOLVED_IN_BUNDLE_OF_HIS_CELL_PURKINJE_MYOCYTE_COMMUNICATION	0.6623376136485988			
REACTOME_KERATINIZATION	0.6620568917054478			
HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_DN	0.6619670958039019			
GO_EPITHELIAL_CELL_MORPHOGENESIS	0.6618672662597964			
GO_PROTEIN_LOCALIZATION_TO_CELL_CELL_JUNCTION	0.6605638555666183			
DODD_NASOPHARYNGEAL_CARCINOMA_UP	0.6600926820295983			
MILICIC_FAMILIAL_ADENOMATOUS_POLYPOSIS_UP	0.6589978645604172			
REACTOME_INLA_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELLS	0.6583926427414211			
IVANOV_MUTATED_IN_COLON_CANCER	0.6541634276716938			
GO_KERATINOCYTE_DIFFERENTIATION	0.65329236056925			
GO_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	0.6523714742925697			
LINDGREN_BLADDER_CANCER_CLUSTER_2A_UP	0.651297036816928			
GO_NEGATIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	0.6505810829956408			
REACTOME_FGFR2_ALTERNATIVE_SPLICING	0.6490190951608759			
GO_POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.648074172592417			
AKT_UP.V1_UP	0.6477744826013025			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.6473758330436039			
IPA_GRHL2_UP	0.6463929467007064			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.6457781599483048			
GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP	0.6454687604216349			
AREB6_02	0.6453565385748511			
GO_APICAL_JUNCTION_ASSEMBLY	0.6452102334664935			
WALLACE_PROSTATE_CANCER_UP	0.643678258781233			
FARMER_BREAST_CANCER_CLUSTER_8	0.6434708685041624			
MALIK_REPRESSED_BY_ESTROGEN	0.6434167993348496			
GO_SKIN_DEVELOPMENT	0.6429998267350134			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.6421339466628179			
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.6412697777473046			
KMT2D_TARGET_GENES	0.6405096761344241			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.639966154613888			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.6393056742091136			
GO_POSITIVE_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY	0.6388938284790953			
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	0.6385477442738691			
GO_KERATINOCYTE_DEVELOPMENT	0.6373248744724129			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.636046159162141			
GO_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	0.6351252472730734			
LIM_MAMMARY_LUMINAL_MATURE_UP	0.6338445701433961			
SMID_BREAST_CANCER_ERBB2_UP	0.6334045849767966			
HOLLERN_SQUAMOUS_BREAST_TUMOR	0.6323191764328011			
GO_HOPS_COMPLEX	0.6301445994723125			
GO_BASOLATERAL_PLASMA_MEMBRANE	0.6292651349863078			
IPA_MMP3_UP	0.6291858130843917			
GO_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0.6281583624681341			
GO_TRANSCYTOSIS	0.6279716154711127			
FARMER_BREAST_CANCER_CLUSTER_7	0.6279009916825602			
CROMER_METASTASIS_DN	0.6277776593911563			
MARTINEZ_TP53_TARGETS_DN	0.6254277803049114			
MARTINEZ_RB1_AND_TP53_TARGETS_DN	0.6254147665431067			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.6250522910621427			
KANG_FLUOROURACIL_RESISTANCE_DN	0.6232864712581961			
GO_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	0.6230829480674767			
ZNF579_TARGET_GENES	0.6216057961622167			
GO_PROTEIN_BINDING_INVOLVED_IN_HETEROTYPIC_CELL_CELL_ADHESION	0.6213519903835611			
GO_KERATINOCYTE_PROLIFERATION	0.6194631881822272			
IPA_ELF3_DN	0.6185223257804479			
REACTOME_MET_RECEPTOR_ACTIVATION	0.6168401821018614			
GO_BASAL_PART_OF_CELL	0.616605336852327			
GO_REGULATION_OF_HAIR_CYCLE	0.6155045043982678			
GO_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION	0.6135541467238548			
GO_REGULATION_OF_KERATINOCYTE_PROLIFERATION	0.6105614523826673			
PID_ECADHERIN_KERATINOCYTE_PATHWAY	0.6099800206613895			
DOANE_RESPONSE_TO_ANDROGEN_UP	0.6091167937010199			
GO_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION	0.608376235474262			
REACTOME_FERTILIZATION	0.6080721365376165			
MIR551A_MIR551B_3P	0.6079156777288715			
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	0.607240468453634			
GO_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_BINDING	0.6062095707321304			
