	Score	0.95 MoE	P-Value	Q-Value
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.46567067590506583			
PUJANA_BRCA_CENTERED_NETWORK	0.45879502315204185			
GO_CHROMATIN_REMODELING	0.4553468754503686			
PUJANA_XPRSS_INT_NETWORK	0.44754201107267166			
GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.4470198940959132			
GO_NEGATIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	0.44351233274626084			
GO_NEGATIVE_REGULATION_OF_HISTONE_MODIFICATION	0.44264525265464116			
GO_PEPTIDYL_LYSINE_METHYLATION	0.4401744957609673			
GO_HISTONE_H3_K4_METHYLATION	0.43996790329398017			
GO_CHROMATIN_ORGANIZATION	0.4386195037155248			
GO_PROTEIN_DNA_COMPLEX	0.4383882939010745			
GO_DNA_METHYLATION	0.43427402641012824			
PUJANA_BRCA2_PCC_NETWORK	0.4327737754712979			
GO_DNA_MODIFICATION	0.43225053601200075			
GO_DNA_HELICASE_ACTIVITY	0.4320339212929971			
GO_DNA_DEPENDENT_ATPASE_ACTIVITY	0.4316118983376746			
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	0.4289663054870978			
GO_MAINTENANCE_OF_DNA_METHYLATION	0.428201370661908			
GO_DNA_METHYLATION_OR_DEMETHYLATION	0.4281088625785754			
PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP	0.4262421870891989			
GO_HISTONE_METHYLTRANSFERASE_COMPLEX	0.42616179106683766			
GO_NUCLEOSOME_BINDING	0.42609005435158254			
PYEON_HPV_POSITIVE_TUMORS_UP	0.4257874690334221			
GO_HISTONE_METHYLATION	0.4251708156355709			
KTGGYRSGAA_UNKNOWN	0.42500023701904444			
ABRAMSON_INTERACT_WITH_AIRE	0.4245561337115677			
GO_COVALENT_CHROMATIN_MODIFICATION	0.42413152311761415			
GO_REGULATION_OF_CHROMATIN_BINDING	0.4236686461568023			
PUJANA_CHEK2_PCC_NETWORK	0.42320808377646885			
GO_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	0.4231191127485846			
GO_DOUBLE_STRANDED_DNA_BINDING	0.4217374093573901			
GO_HISTONE_BINDING	0.4215976236059954			
