	Score	0.95 MoE	P-Value	Q-Value
chr20p12	0.4642017937908681			
chr20p11	0.4546355159175228			
NIKOLSKY_BREAST_CANCER_20P13_AMPLICON	0.44356427565456386			
chr20p13	0.42587630884679073			
GO_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	0.4175664692114894			
MIR3187_3P	0.38965407576615074			
GO_ATTACHMENT_OF_GPI_ANCHOR_TO_PROTEIN	0.38400636601160426			
GSE17721_LPS_VS_PAM3CSK4_2H_BMDC_DN	0.37606834711409487			
GO_POSITIVE_REGULATION_OF_RENAL_SODIUM_EXCRETION	0.37565408799359035			
GO_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	0.37483168029241026			
GO_CHEMOKINE_C_C_MOTIF_LIGAND_5_PRODUCTION	0.365240166836712			
GO_REGULATION_OF_PROTEIN_FOLDING	0.3619928495948865			
MIR6851_5P	0.3583852370623229			
GO_AMINOGLYCAN_CATABOLIC_PROCESS	0.3578206810562246			
GO_PROTEIN_FOLDING	0.35603391262339856			
GGGNRMNNYCAT_UNKNOWN	0.35493852493185807			
REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE	0.3547719601958492			
ROZANOV_MMP14_CORRELATED	0.3542977233372405			
GO_ENDOCYTIC_VESICLE_LUMEN	0.35429552324880365			
AR_01	0.35308535638529276			
STAT_Q6	0.35262382117747765			
GO_REGULATION_OF_REPRODUCTIVE_PROCESS	0.3498242469081544			
GO_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.34975059994157254			
GO_PROTEIN_DESTABILIZATION	0.34921930071822344			
GO_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	0.34920340290442337			
MIR3689D	0.349096806872928			
GO_N_TERMINAL_PEPTIDYL_METHIONINE_ACETYLATION	0.34731980012861347			
CYTAGCAAY_UNKNOWN	0.34704219405082254			
GO_UBIQUITIN_DEPENDENT_ERAD_PATHWAY	0.345198201260337			
IPA_GLI1_DN	0.3449027078644828			
GO_POSITIVE_REGULATION_OF_TOOTH_MINERALIZATION	0.34448423956363844			
GO_SELF_PROTEOLYSIS	0.3442330284012394			
GO_LIVER_REGENERATION	0.34421290459379983			
CTGRYYYNATT_UNKNOWN	0.34386242620217505			
