	Score	0.95 MoE	P-Value	Q-Value
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.5866913739458253			
GO_REGULATION_OF_GAMMA_DELTA_T_CELL_DIFFERENTIATION	0.5680636757493808			
GO_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	0.5637219384016675			
GO_GAMMA_DELTA_T_CELL_DIFFERENTIATION	0.563620395908449			
GO_GRANULOCYTE_DIFFERENTIATION	0.5633631942819621			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_UP	0.5586374929444147			
GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_UP	0.5562758448157654			
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.5542390772934337			
GUTIERREZ_WALDENSTROEMS_MACROGLOBULINEMIA_2	0.5540134555679225			
GO_REGULATION_OF_GAMMA_DELTA_T_CELL_ACTIVATION	0.5527388297668321			
GO_POSITIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	0.552033165919284			
SIG_BCR_SIGNALING_PATHWAY	0.5499822261782539			
GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_UP	0.5483140153451909			
GO_DNA_METHYLATION_OR_DEMETHYLATION	0.5477970760375024			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN	0.5471857447899368			
GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_DN	0.5459459900581183			
GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_UP	0.5458966162286554			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.5458572865088873			
GO_DNA_MODIFICATION	0.5454481339670934			
GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.5451953769875703			
GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN	0.5451086671702181			
GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN	0.5448822566702257			
GO_B_CELL_ACTIVATION	0.5443294842409008			
IPA_HOXA7_UP	0.5439281381361651			
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.5431799777766652			
GSE3039_ALPHABETA_CD8_TCELL_VS_B1_BCELL_UP	0.5427792810030201			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_DN	0.5423358447372824			
GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP	0.5423255403780411			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.54223274273682			
GO_POSITIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	0.5418803680329494			
GO_SH3_SH2_ADAPTOR_ACTIVITY	0.5413131797978206			
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	0.5409512195080409			
KRAS.AMP.LUNG_UP.V1_DN	0.540683723920322			
IPA_SPI1_UP	0.54060632693011			
KLEIN_TARGETS_OF_BCR_ABL1_FUSION	0.5399121965530769			
SMID_BREAST_CANCER_NORMAL_LIKE_UP	0.539220871579373			
GOLUB_ALL_VS_AML_UP	0.5385480987203688			
GO_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY	0.538526775112728			
GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	0.5382302791557215			
GO_REGULATION_OF_DNA_METHYLATION	0.5380250716460315			
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.537951054175099			
GO_SWI_SNF_COMPLEX	0.5362693384623585			
GSE22886_NAIVE_VS_MEMORY_TCELL_UP	0.5359478433160696			
GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.5357032636387093			
ARID5B_TARGET_GENES	0.5355341753814876			
GO_DNA_METHYLATION	0.5352282496930127			
GO_LEUKOCYTE_HOMEOSTASIS	0.5350321894323562			
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_UP	0.5349139846948194			
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING	0.5348079858142901			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.5344012483984907			
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.5342298562421314			
