	Score	0.95 MoE	P-Value	Q-Value
IPA_HOXD8_DN	0.8496214324803355			
MIR892B	0.7883566063296596			
IPA_EMX2_DN	0.7815039049100577			
GO_GLIAL_CELL_PROJECTION	0.7810194730402857			
IPA_HOXD9_UP	0.7805582593407436			
MIR370_5P	0.7794992518627675			
GO_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	0.778937444057977			
GO_FOREBRAIN_NEURON_DIFFERENTIATION	0.7730045279008998			
GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	0.7722223620423001			
GO_TUBULIN_BINDING	0.7712853083609765			
RFX1_02	0.7710371120116429			
GO_CENTRIOLE	0.7683659701299483			
GO_CATION_CHANNEL_COMPLEX	0.7660489886948766			
MIR455_3P	0.765064560334665			
GO_FOREBRAIN_GENERATION_OF_NEURONS	0.7636170709635232			
GO_NON_MOTILE_CILIUM_ASSEMBLY	0.7634300734328681			
MIR6080	0.7624388568160703			
GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	0.7613185571060399			
IPA_NKX6-1_UP	0.7604725692767496			
RYTGCNWTGGNR_UNKNOWN	0.759957729765925			
GO_POSITIVE_REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	0.7598490287996249			
POU3F2_01	0.759245668574407			
GO_NEURON_MIGRATION	0.757794773151753			
GTTGNYNNRGNAAC_UNKNOWN	0.7570343493376341			
GO_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	0.756828956674312			
IPA_PTF1A_UP	0.7548040649474548			
GO_PARANODAL_JUNCTION	0.7519136673981024			
GO_MICROTUBULE	0.7507725268766147			
REACTOME_INTRAFLAGELLAR_TRANSPORT	0.7493512348693341			
GO_OLFACTORY_LOBE_DEVELOPMENT	0.7489902758201153			
MIR216B_3P	0.7489430478919306			
LEIN_NEURON_MARKERS	0.7484987773295563			
GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	0.7478293169966495			
GO_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN	0.7476223786646579			
ZF5_B	0.7475968817639262			
MIR133A_5P	0.7475815257338742			
GO_MICROTUBULE_BINDING	0.746846308680653			
IPA_KDM8_UP	0.7458434773172008			
GO_CYTOPLASMIC_MICROTUBULE	0.745737810877146			
MIR3944_5P	0.7457149827528707			
chrXq22	0.7453842626230881			
GO_GLIAL_CELL_FATE_SPECIFICATION	0.744433825498449			
MEIS1AHOXA9_01	0.7443241876120016			
ACAWNRNSRCGG_UNKNOWN	0.7442395329030924			
GO_INHIBITORY_SYNAPSE	0.7434738720867818			
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	0.7431306468995276			
GO_NEURONAL_DENSE_CORE_VESICLE	0.7425624598904795			
GO_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION	0.7422342473046718			
GO_RESPONSE_TO_NERVE_GROWTH_FACTOR	0.7419188790083606			
IPA_POU3F2_UP	0.7413595055278854			
GO_MAINTENANCE_OF_SYNAPSE_STRUCTURE	0.7411863867740849			
LU_AGING_BRAIN_DN	0.740820647292776			
IPA_TRIM28_UP	0.740714211612732			
IPA_FGF3_DN	0.7397040152512613			
GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_UP	0.7394057507377773			
GO_MICROTUBULE_DEPOLYMERIZATION	0.7391684676868729			
GO_MICROTUBULE_POLYMERIZATION	0.7385318095217792			
GO_NETRIN_ACTIVATED_SIGNALING_PATHWAY	0.7384691171873894			
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.7358438820568131			
GO_SYNAPTIC_VESICLE_CLUSTERING	0.735507517828231			
GO_POTASSIUM_CHANNEL_COMPLEX	0.7353074534712992			
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	0.7352411747424319			
TESAR_ALK_AND_JAK_TARGETS_MOUSE_ES_D4_UP	0.7352234729119701			
OCT1_06	0.7346131982627768			
GO_CLATHRIN_SCULPTED_VESICLE	0.7344296476207259			
GO_JUXTAPARANODE_REGION_OF_AXON	0.734311029232796			
FIGUEROA_AML_METHYLATION_CLUSTER_7_DN	0.7331948171687513			
GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	0.7326883486270742			
GO_ADULT_BEHAVIOR	0.7324022558673673			
GO_ADULT_LOCOMOTORY_BEHAVIOR	0.7322795734610548			
REACTOME_G2_PHASE	0.7318367185395167			
GO_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION	0.7311556068920361			
GO_PERIKARYON	0.730695468728288			
GO_GLIAL_CELL_FATE_COMMITMENT	0.7303323607237122			
MIR1207_3P	0.7302164025636284			
GTTATAT_MIR410	0.7300478236029889			
GO_REGULATION_OF_MICROTUBULE_DEPOLYMERIZATION	0.7288960198048773			
CAHOY_NEURONAL	0.7288133190848677			
GO_TRANSMISSION_OF_NERVE_IMPULSE	0.7286045725512958			
GO_PRESYNAPTIC_MEMBRANE	0.7285618447973872			
MIR466	0.7279868935326094			
MIR4457	0.7277943322198882			
GTTRYCATRR_UNKNOWN	0.7273907427413412			
GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	0.7268082112478218			
GO_DENDRITIC_SHAFT	0.726375557935064			
IPA_ASCL1_UP	0.7262168182980501			
GO_AXO_DENDRITIC_TRANSPORT	0.72601425374873			
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	0.7260026834770903			
HALLMARK_PANCREAS_BETA_CELLS	0.72571824195174			
MIR6793_3P	0.7255344502846566			
MIR3173_5P	0.7251884435819069			
GO_AXON	0.7248801445756438			
GO_REGULATION_OF_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.7246358408206793			
MIR636	0.7245033145597588			
GSE21927_SPLEEN_VS_BONE_MARROW_MONOCYTE_BALBC_UP	0.7237271033764453			
GO_NEURON_FATE_SPECIFICATION	0.7230966006470206			
MIR6799_3P	0.7230498859944235			
GO_SPONTANEOUS_NEUROTRANSMITTER_SECRETION	0.7221921544169311			
LIN_NPAS4_TARGETS_UP	0.7220008466408117			
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN	0.7214341093770551			
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.7212712546642146			
ATGCAGT_MIR217	0.7212356793357528			
GO_MEMBRANE_DOCKING	0.721216654161862			
IPA_NEUROG3_UP	0.7210360585942899			
GO_CLATHRIN_SCULPTED_GAMMA_AMINOBUTYRIC_ACID_TRANSPORT_VESICLE_MEMBRANE	0.7209757184281683			
AHR_Q5	0.720870057308817			
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	0.7203587491565646			
IPA_SIX3_DN	0.7202944863380356			
CAGNWMCNNNGAC_UNKNOWN	0.7200077341932001			
GO_REGULATION_OF_SHORT_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.7197483981023993			
GO_SPINAL_CORD_ASSOCIATION_NEURON_DIFFERENTIATION	0.7189581057562913			
ZNF548_TARGET_GENES	0.7187525144306408			
VALK_AML_CLUSTER_16	0.7186554663480091			
GSE37336_LY6C_POS_VS_NEG_NAIVE_CD4_TCELL_UP	0.7181559204098511			
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.7176139428374322			
SCHAEFFER_SOX9_TARGETS_IN_PROSTATE_DEVELOPMENT_DN	0.7171192278875631			
GO_SODIUM_CHANNEL_COMPLEX	0.7164586099291225			
GO_NEURAL_NUCLEUS_DEVELOPMENT	0.7160414791673968			
WANG_LSD1_TARGETS_DN	0.7158476022545467			
GCGCTTT_MIR518B_MIR518C_MIR518D	0.7155869037075151			
GO_LOCOMOTORY_BEHAVIOR	0.7155602314446019			
HANN_RESISTANCE_TO_BCL2_INHIBITOR_UP	0.7151628257918814			
GO_EXOCYTIC_INSERTION_OF_NEUROTRANSMITTER_RECEPTOR_TO_POSTSYNAPTIC_MEMBRANE	0.7151486128674178			
IPA_SOX4_UP	0.7149804245788133			
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN	0.7148802329675323			
HANN_RESISTANCE_TO_BCL2_INHIBITOR_DN	0.7148749488252265			
IPA_NFKBIB_UP	0.7148454376194389			
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	0.7147862684175149			
GO_CELL_BODY	0.7143244786041862			
GO_TRANSPORTER_COMPLEX	0.7140098184133906			
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	0.7139725528899947			
GO_CLATHRIN_COAT_ASSEMBLY	0.7139444715844817			
