	Score	0.95 MoE	P-Value	Q-Value
LINDGREN_BLADDER_CANCER_CLUSTER_3_DN	0.4394134567245842			
KMT2D_TARGET_GENES	0.43075452325240504			
TBK1.DF_DN	0.4268699625855534			
GO_ADHERENS_JUNCTION	0.42371605222142583			
GO_NEGATIVE_REGULATION_OF_LIPASE_ACTIVITY	0.42159323087423983			
GO_CELL_JUNCTION_ORGANIZATION	0.42090842007487783			
GO_CELL_JUNCTION_ASSEMBLY	0.4165201313013562			
WGGAATGY_TEF1_Q6	0.4147460831530627			
GO_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	0.41425301935763614			
GO_MOLTING_CYCLE_PROCESS	0.4116661359849185			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.4105103132043516			
GO_EPITHELIUM_DEVELOPMENT	0.41030087303816987			
GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.4081695968710709			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.40767995507759974			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.4066897193264002			
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.40546500132551355			
GSE17721_CTRL_VS_CPG_1H_BMDC_DN	0.40539582119023265			
GO_MOLTING_CYCLE	0.4049254920255844			
GO_CELL_CELL_JUNCTION	0.4036168644802746			
GO_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	0.4034826079242226			
GO_REGULATION_OF_HAIR_CYCLE	0.40313651055377003			
MARTINEZ_TP53_TARGETS_DN	0.4030335469450335			
GO_APPENDAGE_DEVELOPMENT	0.4023703512123141			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.3998495646135786			
SIMBULAN_UV_RESPONSE_NORMAL_DN	0.39887097735688026			
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	0.39885759546579524			
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	0.3982585518683167			
CSHL1_TARGET_GENES	0.39793233554979296			
WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_DN	0.3973375603867922			
ENK_UV_RESPONSE_EPIDERMIS_DN	0.3970364595624311			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.39643811608819507			
HAND1_TARGET_GENES	0.3961554159130402			
MURAKAMI_UV_RESPONSE_1HR_UP	0.396095602557399			
GO_UROGENITAL_SYSTEM_DEVELOPMENT	0.39583413746219825			
MARTINEZ_RB1_AND_TP53_TARGETS_DN	0.39572423923895356			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.3938295815870361			
GO_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY	0.3936147925409319			
AP1_Q2_01	0.3934022805874862			
SESTO_RESPONSE_TO_UV_C8	0.3932849293213001			
GO_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.3928408774779901			
PID_NECTIN_PATHWAY	0.3925044400471936			
