	Score	0.95 MoE	P-Value	Q-Value
GO_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS	0.5966473213221533			
VARELA_ZMPSTE24_TARGETS_DN	0.5769753667078922			
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	0.5561467940411805			
GO_STEROID_HORMONE_RECEPTOR_ACTIVITY	0.5543627373425792			
WANG_BARRETTS_ESOPHAGUS_UP	0.5543163405899827			
IPA_NR5A2_UP	0.5488705882782938			
CEBPE_TARGET_GENES	0.547058647015999			
IPA_HNF1B_UP	0.5462005362916933			
GO_POLYOL_METABOLIC_PROCESS	0.5419316328479824			
GSE20727_CTRL_VS_DNFB_ALLERGEN_TREATED_DC_DN	0.5409665958436296			
WENG_POR_TARGETS_GLOBAL_DN	0.5397273531874992			
GO_ARACHIDONIC_ACID_SECRETION	0.5377021662769691			
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.5366510052966416			
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES	0.5359945674961938			
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.5357619365389109			
GO_LIPOXYGENASE_PATHWAY	0.535428804425148			
GO_FATTY_ACID_TRANSPORT	0.5353777427436464			
RUAN_RESPONSE_TO_TNF_DN	0.5302849027491016			
VILLANUEVA_LIVER_CANCER_KRT19_DN	0.5296629543704167			
HNF1_Q6	0.5290787264396841			
GO_LONG_CHAIN_FATTY_ACID_TRANSPORT	0.528605793940081			
IPA_STAT5B_DN	0.5273092320884499			
GO_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION	0.5262169114541144			
IPA_SULT2A1_UP	0.5260947756022454			
CAIRO_HEPATOBLASTOMA_DN	0.5256298311602041			
GO_RESPONSE_TO_STEROID_HORMONE	0.5244922317487183			
GSE27786_BCELL_VS_CD4_TCELL_DN	0.524088694795614			
GO_LIPID_LOCALIZATION	0.5230852737850558			
RUAN_RESPONSE_TO_TROGLITAZONE_UP	0.5218220125221604			
IPA_PPARA_UP	0.5215388500162265			
SERVITJA_LIVER_HNF1A_TARGETS_DN	0.5199689536184021			
HNF1_01	0.519024828033948			
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	0.5177999578772173			
HNF4_Q6	0.5177880220440156			
GO_POLYOL_BIOSYNTHETIC_PROCESS	0.5167162476451744			
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0.5166447804626358			
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.5165753675388068			
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	0.5165151652899906			
GO_APOLIPOPROTEIN_BINDING	0.5158312661458502			
GSE30083_SP1_VS_SP2_THYMOCYTE_DN	0.5158156587488542			
GO_POSITIVE_REGULATION_OF_ARACHIDONIC_ACID_SECRETION	0.5149147238591077			
KEGG_GLYCEROLIPID_METABOLISM	0.5148871281093144			
GO_RETINAL_CONE_CELL_DIFFERENTIATION	0.5147771576496276			
BIOCARTA_TID_PATHWAY	0.5146744438264464			
CADWELL_ATG16L1_TARGETS_UP	0.5137338619271085			
BIOCARTA_NUCLEARRS_PATHWAY	0.5135594023876653			
GO_STEROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	0.5124241020989337			
GO_PEROXISOME_FISSION	0.5116269907758358			
GO_MICROVILLUS_ORGANIZATION	0.5106175040512271			
IPA_PBX2_UP	0.5095166209678739			
IPA_SREBF1_DN	0.5093268357764379			
GLI1_TARGET_GENES	0.5090996104964344			
GO_LIPID_HOMEOSTASIS	0.5085573815472603			
GSE13493_CD4INTCD8POS_VS_CD8POS_THYMOCYTE_DN	0.5083672548848279			
GO_LIGAND_ACTIVATED_TRANSCRIPTION_FACTOR_ACTIVITY	0.5080048968981188			
GO_REGULATION_OF_FATTY_ACID_TRANSPORT	0.5077734039168247			
GO_HEPATOCYTE_DIFFERENTIATION	0.507549816339807			
GO_MATING_BEHAVIOR	0.5066387842263477			
GO_FEMALE_MATING_BEHAVIOR	0.5063940763293152			
GO_OLIGOPEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.5058040767327577			
GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS	0.5052156427229396			
GO_GLUCOSE_METABOLIC_PROCESS	0.505022680059853			
GSE360_CTRL_VS_L_DONOVANI_MAC_DN	0.5047742253939694			
MIKKELSEN_MCV6_LCP_WITH_H3K4ME3	0.5043247863136404			
GSE7852_TREG_VS_TCONV_UP	0.5039158023643133			
GO_MONOCARBOXYLIC_ACID_TRANSPORT	0.5039151408060217			
BURTON_ADIPOGENESIS_6	0.503846958510215			
GSE26488_HDAC7_KO_VS_VP16_TRANSGENIC_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_DN	0.5036990717106943			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_UP	0.5032842216360494			
IPA_NR0B2_UP	0.5031167761433006			
BAELDE_DIABETIC_NEPHROPATHY_UP	0.5029337877951837			
IPA_FOXA2_UP	0.5027179250332009			
REACTOME_MET_ACTIVATES_PI3K_AKT_SIGNALING	0.5025357040399817			
REACTOME_MET_ACTIVATES_RAP1_AND_RAC1	0.5024894196669233			
REACTOME_MET_INTERACTS_WITH_TNS_PROTEINS	0.5023740828400282			
GO_REGULATION_OF_ARACHIDONIC_ACID_SECRETION	0.502334301703649			
GO_BRUSH_BORDER_ASSEMBLY	0.5017898886814319			
ZBTB49_TARGET_GENES	0.5017766044783718			
GSE20151_CTRL_VS_FUSOBACT_NUCLEATUM_NEUTROPHIL_UP	0.5017208743311222			
RGTTAMWNATT_HNF1_01	0.5017015004991083			
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT	0.5011976962460772			
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS	0.5011207145604547			
GO_REGULATION_OF_HORMONE_LEVELS	0.5003874202100144			
REACTOME_TRIGLYCERIDE_METABOLISM	0.5001176096346646			
GO_ESTROGEN_METABOLIC_PROCESS	0.49989262650413857			
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.49958153497212276			
GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT	0.49925478498030446			
REACTOME_MET_ACTIVATES_PTPN11	0.4992237040426553			
DLX2_TARGET_GENES	0.49913923575986024			
GO_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	0.4990220522657262			
WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_UP	0.49875718912571765			
GO_REGULATION_OF_PANCREATIC_JUICE_SECRETION	0.4984350535601109			
GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_DN	0.4981827742526675			
IPA_NR2F1_DN	0.4974194404616289			
BIOCARTA_FXR_PATHWAY	0.4973090538157513			
GO_PRIMARY_AMINO_COMPOUND_BIOSYNTHETIC_PROCESS	0.49729238552774224			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_3H_UP	0.4970089238491647			
GO_NEUTRAL_LIPID_CATABOLIC_PROCESS	0.4965233873854708			
GO_TRIGLYCERIDE_METABOLIC_PROCESS	0.49644464186493437			
GO_REGULATION_OF_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY	0.4964286522698657			
GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_DN	0.4964001454064787			
GO_ZINC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	0.49551137495674946			
GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	0.4954803437910716			
GO_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY	0.49475598504194496			
GO_AMMONIUM_ION_METABOLIC_PROCESS	0.4941079882223581			
GCNP_SHH_UP_EARLY.V1_DN	0.49410499556045895			
WENG_POR_DOSAGE	0.4939637389110981			
GO_REGULATION_OF_HYDROGEN_PEROXIDE_MEDIATED_PROGRAMMED_CELL_DEATH	0.4939037159620923			
GO_FATTY_ACID_DERIVATIVE_TRANSPORT	0.49372915279776125			
GO_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	0.4934784418162716			
GO_RETINOL_DEHYDROGENASE_ACTIVITY	0.4931798104841502			
PID_HNF3B_PATHWAY	0.49303016869773575			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_180MIN_UP	0.49278928462559857			
GO_BILE_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.49278031227609537			
GO_STEROL_HOMEOSTASIS	0.49248445693954523			
GO_TRIGLYCERIDE_CATABOLIC_PROCESS	0.49237896478712756			
GO_RESPONSE_TO_FATTY_ACID	0.49237326640529067			
GO_PROGRAMMED_CELL_DEATH_IN_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	0.4922190958959948			
TSUTSUMI_FBXW8_TARGETS	0.492173732560335			
GO_RETINAL_DEHYDROGENASE_ACTIVITY	0.49198879690069947			
WATANABE_COLON_CANCER_MSI_VS_MSS_UP	0.4916648142748977			
GSE40493_BCL6_KO_VS_WT_TREG_DN	0.4916075850414734			
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_GLUCONEOGENESIS	0.4915061375704203			
MIR3936	0.49135833615487623			
GO_POSITIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	0.49135350181184734			
GO_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT	0.4911540679046197			
GO_OLIGOPEPTIDE_TRANSPORT	0.4905366110666492			
GO_REGULATION_OF_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	0.4905307109387175			
GO_RESPONSE_TO_INSULIN	0.4905071573216296			
GO_LIPID_METABOLIC_PROCESS	0.49050707636972063			
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP	0.49048642729874486			
GSE19198_6H_VS_24H_IL21_TREATED_TCELL_UP	0.490184177473575			
REACTOME_CYP2E1_REACTIONS	0.49014423965808046			
GO_NEUTRAL_LIPID_METABOLIC_PROCESS	0.4901145742058783			
ZHOU_PANCREATIC_BETA_CELL	0.4900403577617867			
GO_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.48985792713879184			
IPA_HNF4A_UP	0.489797834705745			
GO_REGULATION_OF_PEPTIDE_SECRETION	0.48945921945901033			
GO_RESPONSE_TO_TOXIC_SUBSTANCE	0.48938640544402295			
HNF1_C	0.48890266613253974			
GSE40274_FOXP3_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.4885267845980156			
GO_MICROVILLUS	0.48844675678753036			
GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH2_UP	0.488374734869947			
