	Score	0.95 MoE	P-Value	Q-Value
GO_PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT	0.66936538077502			
GO_ECTOPIC_GERM_CELL_PROGRAMMED_CELL_DEATH	0.6475022053648485			
GO_POSITIVE_REGULATION_OF_HISTONE_PHOSPHORYLATION	0.6453270389328756			
GO_REGULATION_OF_ADIPONECTIN_SECRETION	0.6364538573318157			
GO_FEVER_GENERATION	0.6277414357558316			
GO_MONOCYTE_AGGREGATION	0.6237318442169021			
GO_POSITIVE_REGULATION_OF_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.6166497386693174			
GO_POSITIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	0.6117998912678623			
IPA_FUS_DN	0.6069166757083303			
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_UP	0.6004795914565156			
SHIN_B_CELL_LYMPHOMA_CLUSTER_6	0.600443706168416			
GO_POSITIVE_REGULATION_OF_COMPLEMENT_ACTIVATION	0.5986173148070634			
GO_REGULATION_OF_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.5983856864507648			
GO_REGULATION_OF_FEVER_GENERATION	0.5968717916356427			
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	0.5919637371656449			
GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_DN	0.5893475065064065			
PID_ANTHRAX_PATHWAY	0.5881253648779949			
GO_INTERLEUKIN_1_RECEPTOR_BINDING	0.5821752027441496			
GO_REGULATION_OF_GAP_JUNCTION_ASSEMBLY	0.5820452327636653			
GO_T_HELPER_1_CELL_CYTOKINE_PRODUCTION	0.5804838511636683			
REACTOME_INTERLEUKIN_1_PROCESSING	0.5789981492494041			
GO_POSITIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	0.5776878639450861			
JAZAERI_BREAST_CANCER_BRCA1_VS_BRCA2_UP	0.5764274085233314			
GO_NEGATIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT	0.575409852158259			
GO_REGULATION_OF_HISTONE_PHOSPHORYLATION	0.5751421438137317			
GHANDHI_DIRECT_IRRADIATION_UP	0.5749042112568575			
GO_REGULATION_OF_CELL_ADHESION_MOLECULE_PRODUCTION	0.5740943087166795			
GO_REGULATION_OF_VITAMIN_D_BIOSYNTHETIC_PROCESS	0.5731566426986483			
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	0.5697823213756675			
CORRE_MULTIPLE_MYELOMA_UP	0.5686198273287013			
GSE2128_C57BL6_VS_NOD_CD4CD8_DP_THYMOCYTE_UP	0.5686003030904141			
GO_HEAT_GENERATION	0.5674066929842755			
GO_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	0.5667626755916239			
REACTOME_CLEC7A_INFLAMMASOME_PATHWAY	0.5667153065514102			
GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_DN	0.5666906600774804			
ZHENG_RESPONSE_TO_ARSENITE_DN	0.5646984543040695			
GO_LEUKOCYTE_AGGREGATION	0.5637431453680921			
GO_POSITIVE_REGULATION_OF_P38MAPK_CASCADE	0.5631111160799483			
KRAS.LUNG.BREAST_UP.V1_UP	0.5617542409779253			
WU_HBX_TARGETS_1_UP	0.5616461244154668			
KEGG_APOPTOSIS	0.5613573898440045			
GO_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	0.5610001841281775			
BIOCARTA_IL1R_PATHWAY	0.5607211288141896			
GSE30971_WBP7_HET_VS_KO_MACROPHAGE_DN	0.5579758207772214			
PID_IL1_PATHWAY	0.55787544487747			
GO_REGULATION_OF_CALCIDIOL_1_MONOOXYGENASE_ACTIVITY	0.5560442837801916			
GO_POSITIVE_REGULATION_OF_GLIAL_CELL_PROLIFERATION	0.5556262499163283			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	0.5551537014514377			
GO_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	0.5549831090552105			
GO_SEQUESTERING_OF_TRIGLYCERIDE	0.5545414554564814			
KRAS.LUNG_UP.V1_UP	0.5532001076903562			
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	0.5524176629140676			
THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_UP	0.552021532210947			
SA_MMP_CYTOKINE_CONNECTION	0.5520210288426364			
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP	0.5513709897636684			
GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_DN	0.5511472145879996			
GO_POSITIVE_REGULATION_OF_HEAT_GENERATION	0.5508027788385635			
KRAS.BREAST_UP.V1_UP	0.5500288525883242			
GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	0.549058908499669			
HINATA_NFKB_IMMU_INF	0.5487263667295491			
GO_GROWTH_FACTOR_RECEPTOR_BINDING	0.5483083069905285			
MARKS_HDAC_TARGETS_DN	0.5474671108562311			
REACTOME_INTERLEUKIN_10_SIGNALING	0.5473915377240467			
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_2H_UP	0.5471222731716895			
GO_VITAMIN_D_BIOSYNTHETIC_PROCESS	0.5470497951926704			
HAHTOLA_MYCOSIS_FUNGOIDES_CD4_UP	0.5465328882681929			
SENESE_HDAC1_TARGETS_UP	0.5457326177098304			
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_4H_UP	0.5435423495604583			
KRAS.600.LUNG.BREAST_UP.V1_UP	0.5425030084064648			
AMIT_EGF_RESPONSE_120_MCF10A	0.5424994827938625			
GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN	0.5413355601663531			
GSE45365_NK_CELL_VS_CD11B_DC_DN	0.5412330572255779			
IPA_ID3_UP	0.5406792682612996			
GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP	0.54059891001283			
KEGG_PRION_DISEASES	0.540565418716196			
BIOCARTA_NTHI_PATHWAY	0.5401701338034667			
GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_UP	0.5391766550364689			
GO_FAT_SOLUBLE_VITAMIN_BIOSYNTHETIC_PROCESS	0.5390899035223382			
GSE30971_2H_VS_4H_LPS_STIM_MACROPHAGE_WBP7_HET_DN	0.5388634442595894			
GO_POSITIVE_REGULATION_OF_CHEMOKINE_BIOSYNTHETIC_PROCESS	0.5382745183331883			
GO_HYALURONAN_BIOSYNTHETIC_PROCESS	0.5375310853564472			
GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	0.5374570020532665			
