	Score	0.95 MoE	P-Value	Q-Value
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN	0.5562112722313811			
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	0.5517247096987471			
GO_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	0.5502725287906004			
WINTER_HYPOXIA_DN	0.5501878516911033			
GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_DN	0.5473786918455371			
GO_POSITIVE_T_CELL_SELECTION	0.5445422794613576			
GO_CD4_POSITIVE_OR_CD8_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.5443567458595979			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN	0.5428392102243071			
GO_T_CELL_SELECTION	0.5419789843468252			
GO_T_CELL_LINEAGE_COMMITMENT	0.5407597897837155			
GSE3039_ALPHABETA_CD8_TCELL_VS_B1_BCELL_UP	0.5402093393214985			
GO_POSITIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	0.5397799851901758			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.5391024629986348			
GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_DN	0.5382062758727558			
GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	0.5372768422254864			
PID_TCR_PATHWAY	0.5362297439642979			
GO_ACTIN_CORTICAL_PATCH_LOCALIZATION	0.5355466713582895			
GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.5344238698066937			
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.5340242829163367			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_DN	0.5324848966277502			
GSE7219_WT_VS_NIK_NFKB2_KO_DC_DN	0.5323558793123321			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.5304251361374639			
ARID5B_TARGET_GENES	0.5301747383617619			
GO_B_CELL_ACTIVATION	0.5296864030498701			
GO_IMMUNOGLOBULIN_PRODUCTION	0.5296649842037182			
GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_DN	0.5296211211949985			
GSE17721_POLYIC_VS_PAM3CSK4_2H_BMDC_UP	0.5291585881146801			
GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_DN	0.5288903057494854			
FINETTI_BREAST_CANCER_KINOME_GREEN	0.5288003796301936			
PUJANA_ATM_PCC_NETWORK	0.5284683057309467			
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING	0.5281535879274569			
GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.5281302015382782			
GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_DN	0.5278941966192233			
GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_DN	0.527889622229032			
MAML1_TARGET_GENES	0.5278223215162233			
GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	0.5278102394216245			
GSE4748_CTRL_VS_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.5276640357809987			
GO_REGULATION_OF_B_CELL_ACTIVATION	0.5275216164395476			
LEE_DIFFERENTIATING_T_LYMPHOCYTE	0.5274165415833372			
GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_DN	0.5273678647806388			
MARSON_BOUND_BY_FOXP3_UNSTIMULATED	0.5261476523609684			
GSE22432_CDC_VS_COMMON_DC_PROGENITOR_UP	0.5259667736916404			
GO_REGULATION_OF_B_CELL_PROLIFERATION	0.5255281546122725			
SU_THYMUS	0.5252675245705571			
SMID_BREAST_CANCER_NORMAL_LIKE_UP	0.5250897799479735			
GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN	0.5250356664908794			
GO_REGULATION_OF_GAMMA_DELTA_T_CELL_DIFFERENTIATION	0.5247549863807953			
GO_POSITIVE_REGULATION_OF_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES	0.524706194660895			
KASLER_HDAC7_TARGETS_1_UP	0.5245355293538458			
PID_CD8_TCR_PATHWAY	0.524475796499768			
KLEIN_TARGETS_OF_BCR_ABL1_FUSION	0.5244573524764286			
REACTOME_PI_METABOLISM	0.5240242520931335			
