	Score	0.95 MoE	P-Value	Q-Value
GO_NEURAL_TUBE_FORMATION	0.4466374362203641			
GO_UTERUS_MORPHOGENESIS	0.4351234778269648			
GO_EPITHELIAL_TUBE_FORMATION	0.4345094207220206			
GO_NEURAL_TUBE_DEVELOPMENT	0.42700478090162824			
GO_NEGATIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.42468515823242103			
CP2_02	0.41864748729381474			
CACCCBINDINGFACTOR_Q6	0.4185538799486203			
SP1_Q6_01	0.41777354531840194			
GO_TUBE_CLOSURE	0.4171332410840933			
TFIII_Q6	0.4154298217250889			
GO_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	0.41534122104391247			
GO_TUBE_FORMATION	0.41218978790590993			
GO_NEGATIVE_REGULATION_OF_MRNA_PROCESSING	0.4116516486393623			
BIOCARTA_CPSF_PATHWAY	0.40894727680360154			
GO_NEGATIVE_REGULATION_OF_RNA_SPLICING	0.4084511015387558			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.40731927301108145			
IPA_PTF1A_UP	0.4046619039599956			
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5	0.4041015942691916			
GO_SHORT_TERM_MEMORY	0.4032522572326204			
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_DN	0.4013429375335358			
GO_RETINOL_BINDING	0.40070582129023297			
GO_MRNA_5_SPLICE_SITE_RECOGNITION	0.3993503565796859			
ETF_Q6	0.3992747312506743			
GO_REGULATION_OF_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY	0.3973871767158006			
VDR_Q6	0.3965525446725757			
CACGTTT_MIR302A	0.39610255203251177			
IPA_ZFPM1_UP	0.39584419674890076			
MIR4665_5P	0.395358442708129			
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_OF_NOTCH_RECEPTOR_TARGET	0.3938758176920478			
SIX4_TARGET_GENES	0.39342901375221057			
GO_ALPHA_2A_ADRENERGIC_RECEPTOR_BINDING	0.3932648788541637			
GO_RETINAL_BINDING	0.3915067649445297			
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	0.3906449138373008			
IPA_PAX9_UP	0.3906114500934995			
MAZ_Q6	0.3903585751793539			
IPA_KDM6B_DN	0.3891155557330647			
MEISSNER_BRAIN_HCP_WITH_H3K27ME3	0.38641107972696			
GO_RS_DOMAIN_BINDING	0.3863776490112123			
BIOCARTA_PRC2_PATHWAY	0.3862001804082329			
IPA_PSIP1_DN	0.3860672906267793			
GO_EAR_MORPHOGENESIS	0.3856920841581824			
GO_NOTOCHORD_DEVELOPMENT	0.38565217233117494			
GO_TROPONIN_COMPLEX	0.38488622566482217			
GO_EAR_DEVELOPMENT	0.384103515352261			
