	Score	0.95 MoE	P-Value	Q-Value
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_DN	0.6018749074536464			
chr9p24	0.5933417194148388			
IPA_TRRAP_DN	0.5815308515973137			
IPA_RORA_DN	0.5815308515973137			
IPA_ZBTB43_DN	0.5815308515973137			
IPA_FOXN3_DN	0.5815308515973137			
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.5764035475165432			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.572063517579451			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.5664990023792331			
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.56552900471016			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	0.5609566335309574			
GO_SODIUM_PROTON_ANTIPORTER_ACTIVITY	0.5606625682320231			
GO_ALPHA_BETA_T_CELL_ACTIVATION	0.558867802347904			
GO_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	0.5569945477642122			
PID_IL3_PATHWAY	0.5554264820233702			
GO_CD4_POSITIVE_OR_CD8_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.5525527332137798			
GO_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.5518285347486982			
BIOCARTA_IL2_PATHWAY	0.5510931372339946			
GO_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY	0.5494655371697224			
GO_POSITIVE_REGULATION_OF_CYTOLYSIS	0.5489786474936276			
GO_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	0.5466296837025112			
GO_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.5455467897343116			
GO_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	0.5441363058630552			
GO_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	0.5440981956145364			
GO_POSITIVE_T_CELL_SELECTION	0.543504464588217			
GO_T_HELPER_17_CELL_LINEAGE_COMMITMENT	0.5430201062363251			
GO_T_CELL_LINEAGE_COMMITMENT	0.5408541362268481			
GO_METAL_ION_PROTON_ANTIPORTER_ACTIVITY	0.5401569171157095			
IPA_RORA_UP	0.5401187399503634			
GSE37336_LY6C_POS_VS_NEG_NAIVE_CD4_TCELL_DN	0.5390530054749844			
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	0.5387209575832769			
GO_T_CELL_SELECTION	0.5386637356612521			
REACTOME_INTERLEUKIN_23_SIGNALING	0.5386611150379804			
GO_RESPONSE_TO_PROTOZOAN	0.5385613993853632			
GO_NEGATIVE_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	0.5367768101610808			
GO_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	0.5342170258825942			
