	Score	0.95 MoE	P-Value	Q-Value
IPA_BNC1_DN	0.538191960118811			
IPA_SP100_DN	0.538191960118811			
IPA_PSMC6_UP	0.538191960118811			
NUYTTEN_NIPP1_TARGETS_DN	0.516697157565281			
KLF3_TARGET_GENES	0.5139297894345138			
RODRIGUES_NTN1_TARGETS_DN	0.5102635796725944			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.5085842273096094			
GO_APICAL_JUNCTION_COMPLEX	0.506933533781617			
GO_APICAL_JUNCTION_ASSEMBLY	0.5067417545885815			
GO_EMBRYONIC_PLACENTA_DEVELOPMENT	0.5064752704230006			
GO_CADHERIN_BINDING	0.5063250506006302			
GO_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.5054776043629219			
P53_DN.V1_UP	0.5051481618516147			
GO_TIGHT_JUNCTION	0.5043339408021638			
GO_LATERAL_PLASMA_MEMBRANE	0.5028079426719968			
LHX2_TARGET_GENES	0.5002072315051657			
OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	0.49718244558682195			
HALMOS_CEBPA_TARGETS_DN	0.49707292034959505			
YAMASHITA_LIVER_CANCER_STEM_CELL_UP	0.49614536262868786			
GO_PLACENTA_DEVELOPMENT	0.4941815005341876			
FOXD2_TARGET_GENES	0.4932578392360031			
VECCHI_GASTRIC_CANCER_EARLY_UP	0.493115683199584			
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	0.49169388782092477			
GLI1_TARGET_GENES	0.49032490582155824			
YIH_RESPONSE_TO_ARSENITE_C4	0.4892111954055669			
GO_REGULATION_OF_ACTION_POTENTIAL	0.4889286744208887			
GU_PDEF_TARGETS_DN	0.488853128100393			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.48782936815865724			
GO_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.4867520303582864			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.4861895702829611			
LEF1_UP.V1_DN	0.4849321520145848			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4843623403113083			
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	0.48432877293033444			
GO_APICAL_PART_OF_CELL	0.4839648880727011			
GO_TIGHT_JUNCTION_ORGANIZATION	0.4839058358325718			
GO_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.4838599952281801			
GO_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.48326516519823753			
GO_EPITHELIAL_CELL_MORPHOGENESIS	0.4823993572888818			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.48231333620907696			
GO_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0.48218853181264026			
PID_ECADHERIN_KERATINOCYTE_PATHWAY	0.4820156976829056			
MEK_UP.V1_UP	0.48174788894601495			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_EMBRYONIC_PLACENTA_DEVELOPMENT	0.48121524373963875			
SESTO_RESPONSE_TO_UV_C2	0.4810372724802521			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.48074172059481113			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_3	0.47967217230716097			
