	Score	0.95 MoE	P-Value	Q-Value
IPA_BDP1_DN	0.47007608356085206			
IPA_TBP_DN	0.47007608356085206			
IPA_IRF9_DN	0.41212392023434596			
chr5q35	0.3891610429240923			
GO_SULFATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.37734557892151777			
IPA_IFI16_DN	0.3657781385477972			
GO_SULFATE_TRANSPORT	0.36482320386551864			
chr4p16	0.3553890550561206			
GO_TRANSLATION_REPRESSOR_ACTIVITY_MRNA_REGULATORY_ELEMENT_BINDING	0.3490560611094728			
GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY7_UP	0.3477995356534223			
MULLIGHAN_MLL_SIGNATURE_1_UP	0.34075199869456174			
GSE3400_UNTREATED_VS_IFNB_TREATED_MEF_UP	0.34040904744035766			
GENTLES_LEUKEMIC_STEM_CELL_DN	0.3374525013741481			
MULLIGHAN_MLL_SIGNATURE_2_UP	0.33579224579567646			
MIR4714_5P	0.3356617005315271			
GSE3982_EFF_MEMORY_CD4_TCELL_VS_NKCELL_DN	0.3354105552288004			
GSE23502_BM_VS_COLON_TUMOR_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_DN	0.3341940875755868			
GO_MITOCHONDRIAL_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE	0.3341097758663806			
GROSS_HYPOXIA_VIA_HIF1A_ONLY	0.3338723092795724			
GO_CALMODULIN_DEPENDENT_KINASE_SIGNALING_PATHWAY	0.33217523370706753			
GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN	0.33197807293292214			
GO_ELL_EAF_COMPLEX	0.3301566667332705			
GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP	0.3286010765940296			
GO_MITOCHONDRIAL_TRICARBOXYLIC_ACID_CYCLE_ENZYME_COMPLEX	0.32843474116158855			
GO_NEGATIVE_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS	0.32801246651807			
IPA_SP4_DN	0.3273842454088004			
GSE42724_NAIVE_BCELL_VS_PLASMABLAST_DN	0.3270182177282742			
GO_BRCA1_A_COMPLEX	0.3266701791014825			
GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_DN	0.3265453842962139			
KHETCHOUMIAN_TRIM24_TARGETS_DN	0.326354587333082			
GO_INTERLEUKIN_1_BIOSYNTHETIC_PROCESS	0.32627414795975485			
GO_INTERLEUKIN_1_BETA_BIOSYNTHETIC_PROCESS	0.32627414795975485			
GO_MONOCYTE_EXTRAVASATION	0.3258142751804657			
IPA_DMTF1_UP	0.32572311322317704			
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY	0.3257147416739353			
BIOCARTA_DREAM_PATHWAY	0.3249101083119835			
GO_BICARBONATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3248284319412292			
MIR4662A_3P	0.3247004152616606			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_UP	0.3243172909147823			
GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.3241514614845077			
GO_MACROPHAGE_FUSION	0.3231694025942369			
GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP	0.3228006797476019			
GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP	0.32240271919077423			
GO_CELLULAR_RESPONSE_TO_PEPTIDOGLYCAN	0.32221073186066096			
MIR509_5P	0.32214949388113173			
GO_PHOSPHOLIPID_DEPHOSPHORYLATION	0.32206372624293894			
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.3218055383724353			
GO_NEGATIVE_REGULATION_OF_PHAGOCYTOSIS	0.32163514330198034			
GO_CELLULAR_EXTRAVASATION	0.3211279502391365			
RUAN_RESPONSE_TO_TROGLITAZONE_DN	0.3210938220571137			
GO_INTERLEUKIN_17_RECEPTOR_ACTIVITY	0.3210809976426714			
WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_UP	0.3206305157812435			
chr3p14	0.3204436495378299			
GO_DETERMINATION_OF_LEFT_RIGHT_ASYMMETRY_IN_LATERAL_MESODERM	0.3201757692354605			
IPA_CTBP2_UP	0.32012987704758683			
GO_OXALATE_TRANSPORT	0.3200623238640996			
BIOCARTA_AGPCR_PATHWAY	0.31966495118618315			
MIR4424	0.31944382599777116			
GO_PHOSPHOTRANSFERASE_ACTIVITY_PHOSPHATE_GROUP_AS_ACCEPTOR	0.31893490675822794			
GO_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_BIOSYNTHETIC_PROCESS	0.3187172552948256			
REACTOME_BICARBONATE_TRANSPORTERS	0.3185194243809779			
GO_TRANSLATION_REPRESSOR_ACTIVITY	0.31846817003687894			
