	Score	0.95 MoE	P-Value	Q-Value
IPA_MITF_UP	0.4648760485016291			
GSE22935_24H_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP	0.46330723283474096			
P53_DN.V1_DN	0.4592637084757024			
GO_MELANOCYTE_DIFFERENTIATION	0.45511831285870824			
GO_PIGMENT_CELL_DIFFERENTIATION	0.4476779430892077			
GO_AMINO_SUGAR_CATABOLIC_PROCESS	0.4475207118668818			
GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	0.4473783149742452			
GO_DEVELOPMENTAL_PIGMENTATION	0.446091022557787			
IPA_IRF4_UP	0.44411744864975156			
GO_PIGMENT_BIOSYNTHETIC_PROCESS	0.4432888951280797			
GO_PIGMENT_METABOLIC_PROCESS	0.4431713887269268			
MCGOWAN_RSP6_TARGETS_UP	0.4429469765450494			
GO_PIGMENTATION	0.437799709037569			
GO_PIGMENT_GRANULE	0.437531389839176			
GO_N_ACETYLNEURAMINATE_METABOLIC_PROCESS	0.4373268256956431			
REACTOME_SIALIC_ACID_METABOLISM	0.43479457322303094			
GO_MELANOSOME_MEMBRANE	0.4343660375268559			
GO_PIGMENT_GRANULE_ORGANIZATION	0.4337359895225699			
IPA_CEBPD_DN	0.43310266076772275			
SOX10_TARGET_GENES	0.43162760347761925			
GO_MELANIN_METABOLIC_PROCESS	0.431380400279881			
GO_N_ACETYLNEURAMINATE_CATABOLIC_PROCESS	0.4311593078839549			
KASLER_HDAC7_TARGETS_1_UP	0.43115128759875454			
GO_SIALYLTRANSFERASE_ACTIVITY	0.4300296082350932			
GO_SIALYLATION	0.4300296082350932			
GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.4300035024826904			
chr3p13	0.42928907085992757			
GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT	0.4277068315174024			
GO_COENZYME_TRANSPORT	0.42524937146161335			
IPA_IKZF4_DN	0.4243626004925916			
IPA_JDP2_UP	0.4243626004925916			
HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_UP	0.42434841289596936			
HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_UP	0.4241178053069082			
IPA_MITF_DN	0.4238155911824559			
GO_GLYCOSPHINGOLIPID_BINDING	0.4237541574681741			
GSE37416_12H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN	0.42357618744247255			
GO_REGULATION_OF_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY	0.42330107772988895			
GO_REGULATION_OF_DENDRITIC_SPINE_MAINTENANCE	0.4216755288266486			
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.42166889328774343			
EHLERS_ANEUPLOIDY_DN	0.420977019484695			
REACTOME_MELANIN_BIOSYNTHESIS	0.42092764015595974			
IPA_IRF5_DN	0.42036362461441473			
IPA_YBX1_DN	0.42036362461441473			
IPA_SUB1_DN	0.42036362461441473			
MORI_SMALL_PRE_BII_LYMPHOCYTE_UP	0.4179288520819594			
GO_EYE_PIGMENTATION	0.4176181135881948			
GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	0.4170395174415581			
BIOCARTA_MELANOCYTE_PATHWAY	0.41663612572525605			
GO_A_BAND	0.4164521372548569			
IPA_ESRRA_DN	0.4164196338129951			
IPA_SPIC_DN	0.41600678667841173			
GO_GANGLIOSIDE_METABOLIC_PROCESS	0.41573075673590304			
GO_CD4_RECEPTOR_BINDING	0.41564243442678905			
IPA_TFE3_UP	0.41451789897074204			
GSE32986_CURDLAN_LOWDOSE_VS_CURDLAN_HIGHDOSE_STIM_DC_UP	0.41380184874677145			
GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	0.41332850689102335			
BILBAN_B_CLL_LPL_UP	0.41296162843036915			
GO_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	0.4128876134754515			
IPA_KAT2B_DN	0.4124228996828684			
ONKEN_UVEAL_MELANOMA_DN	0.4123184834535631			
GO_GLYCOSPHINGOLIPID_METABOLIC_PROCESS	0.41162375950409696			
REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	0.41093261471864734			
GO_CALCIUM_POTASSIUM_SODIUM_ANTIPORTER_ACTIVITY	0.40990021515386793			
GO_MULTIVESICULAR_BODY_MEMBRANE	0.40955270532230703			
GO_REGULATION_OF_CELL_MATURATION	0.40889513624638			
GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_UP	0.40825054191663834			
GO_SEROTONIN_UPTAKE	0.4081124982143716			
GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	0.40722427089763			
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	0.4068304192138073			
GSE25087_FETAL_VS_ADULT_TREG_DN	0.40678171117744866			
IPA_KLF13_UP	0.4067637176648156			
GTTRYCATRR_UNKNOWN	0.4067612639484414			
IPA_MYRF_UP	0.40639742459121364			
GO_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.4062817137125854			
GO_NEGATIVE_REGULATION_OF_CELL_MATURATION	0.40615973154506185			
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	0.40525855599037636			
LEE_NAIVE_T_LYMPHOCYTE	0.40511084505945777			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP	0.405056256272525			
GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN	0.4043794829781604			
GO_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	0.40277062772781297			
GO_PHAGOSOME_ACIDIFICATION	0.40208757680405			
LIAN_LIPA_TARGETS_3M	0.4020843184831005			
GO_AMINO_SUGAR_METABOLIC_PROCESS	0.40174852084295415			
GO_LIPOSACCHARIDE_METABOLIC_PROCESS	0.40153681745020486			
ASTON_MAJOR_DEPRESSIVE_DISORDER_DN	0.4014639328524652			
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	0.40118784241338823			
IPA_LMO1_DN	0.40055130376660913			
GO_DIVALENT_INORGANIC_CATION_TRANSPORT	0.4001537873202053			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_DN	0.4001337509810673			
GSE13411_NAIVE_VS_MEMORY_BCELL_DN	0.40010925180072265			
GO_ATPASE_ACTIVITY_COUPLED_TO_TRANSMEMBRANE_MOVEMENT_OF_IONS_ROTATIONAL_MECHANISM	0.4000993176014059			
GO_LIGAND_GATED_CALCIUM_CHANNEL_ACTIVITY	0.3996323956760338			
GO_CELLULAR_PIGMENTATION	0.3993663591663566			
GO_M_BAND	0.3989065519302643			
GO_PHAGOSOME_MATURATION	0.3987337704757639			
GO_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	0.39867535599348636			
GO_CELL_TIP	0.3984540606169924			
IPA_OLIG2_UP	0.39726694866594975			
IPA_LMO1_UP	0.39726694866594975			
GO_SNARE_COMPLEX_ASSEMBLY	0.39669463245769443			
MIR1229_5P	0.39603415925720376			
MIR6789_5P	0.3959843045993876			
