	Score	0.95 MoE	P-Value	Q-Value
BIOCARTA_CPSF_PATHWAY	0.436623089516694			
IPA_TARBP2_UP	0.4175630533300719			
chr14q32	0.39430649252772687			
IPA_NKX3-2_UP	0.39352836804037455			
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	0.3931452772696493			
IPA_PAX9_UP	0.3910343251451215			
chr14q24	0.38424627737269423			
BIOCARTA_DICER_PATHWAY	0.38342001103549433			
GO_NEURAL_TUBE_DEVELOPMENT	0.3772468350643322			
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_DN	0.37582408389315314			
CACCCBINDINGFACTOR_Q6	0.37481869295641745			
MAYBURD_RESPONSE_TO_L663536_DN	0.3689240593914011			
GO_STEM_CELL_DIFFERENTIATION	0.36518126026576014			
TCCATTKW_UNKNOWN	0.36517046494101946			
GO_NEGATIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.3639468610218585			
GO_DELAMINATION	0.3634040975459326			
BIOCARTA_RNAPOL3_PATHWAY	0.3616722252116371			
GGGNRMNNYCAT_UNKNOWN	0.35895665557769985			
GO_NEGATIVE_REGULATION_OF_MRNA_PROCESSING	0.358731519964138			
GO_NEGATIVE_REGULATION_OF_RNA_SPLICING	0.35578215825777454			
E2F1_Q3_01	0.35547012699421066			
GO_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION	0.35510200123210206			
GO_TONGUE_MORPHOGENESIS	0.35241238904003874			
BENPORATH_ES_1	0.35228122538174916			
VILLANUEVA_LIVER_CANCER_KRT19_UP	0.3517497561611989			
GO_DORSAL_VENTRAL_PATTERN_FORMATION	0.35069094398003126			
GO_PROXIMAL_DISTAL_PATTERN_FORMATION	0.3502373685295808			
GO_FUNGIFORM_PAPILLA_DEVELOPMENT	0.35007117171330954			
GO_PRIMARY_MIRNA_PROCESSING	0.3499565514127111			
GO_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	0.34958970336633954			
GO_NEURAL_TUBE_PATTERNING	0.3489286551486172			
GO_SENSORY_ORGAN_MORPHOGENESIS	0.3488307374870018			
chr14q13	0.34861264394866276			
GO_APPENDAGE_DEVELOPMENT	0.3484611123527794			
GO_SENSORY_ORGAN_DEVELOPMENT	0.3481522147847226			
GO_HOST_INTRACELLULAR_ORGANELLE	0.3476715806749961			
NFMUE1_Q6	0.34735043415479677			
MIR4708_3P	0.34733967825726997			
chr14q23	0.3470622009474098			
GO_FUNGIFORM_PAPILLA_MORPHOGENESIS	0.346876588626815			
REACTOME_NONCANONICAL_ACTIVATION_OF_NOTCH3	0.34659115687626524			
GO_SYNAPTIC_MEMBRANE_ADHESION	0.34618956968180076			
GO_MRNA_5_SPLICE_SITE_RECOGNITION	0.3459597290892977			
BRUNEAU_HEART_GREAT_VESSELS_AND_VALVULOGENESIS	0.3458584187986432			
GO_REGULATION_OF_SECONDARY_HEART_FIELD_CARDIOBLAST_PROLIFERATION	0.34466581038616667			
GO_NEURAL_TUBE_FORMATION	0.3439842738543949			
GCGSCMNTTT_UNKNOWN	0.3437875365147341			
GO_COCHLEA_DEVELOPMENT	0.34358062567971326			
IPA_HOXA2_UP	0.3435155814059879			
GO_HEAD_DEVELOPMENT	0.3434284887249131			
GO_NEURAL_PLATE_MORPHOGENESIS	0.3429198675535384			
MIR196A_5P_MIR196B_5P	0.3427156571748998			
RICKMAN_METASTASIS_UP	0.34213637752764925			
VANDESLUIS_COMMD1_TARGETS_GROUP_4_DN	0.34201445196809765			
GO_CONVERGENT_EXTENSION	0.34189767093240203			
GO_TUBE_CLOSURE	0.3417281470523639			
LET_7I_3P	0.3416361936816659			
CUI_TCF21_TARGETS_2_UP	0.34145653749608007			
PPARG_01	0.3412837603438415			
GO_CANONICAL_WNT_SIGNALING_PATHWAY	0.34115371124636035			
IPA_FOXC2_UP	0.3411447721662184			
GO_CELL_FATE_SPECIFICATION	0.3408068185015737			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN	0.34044114098480904			
GO_MICROTUBULE_POLYMERIZATION	0.34031305782242044			
GO_INTERKINETIC_NUCLEAR_MIGRATION	0.3397148875298394			
GO_CONVERGENT_EXTENSION_INVOLVED_IN_ORGANOGENESIS	0.33945166451143527			
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	0.3391548504202012			
SMID_BREAST_CANCER_RELAPSE_IN_LUNG_UP	0.33908571608720206			
IPA_NOTCH1_DN	0.33890497959670846			
GO_REGULATION_OF_WNT_SIGNALING_PATHWAY	0.3387848916756399			
IPA_OTX1_UP	0.3382941065047931			
