	Score	0.95 MoE	P-Value	Q-Value
IPA_ZBTB14_DN	0.5501328584510367			
IPA_MNT_UP	0.5501328584510367			
IPA_GTF2I_DN	0.5373113723940799			
FUNG_IL2_SIGNALING_2	0.5168961065682942			
GSE12003_4D_VS_8D_CULTURE_BM_PROGENITOR_UP	0.5159074818625481			
WELCSH_BRCA1_TARGETS_DN	0.49930372614141555			
GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_LN_DN	0.49282524464874466			
GO_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	0.4858717070123815			
GO_RIBOSOME_BIOGENESIS	0.48407007310910755			
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP	0.48053782654602184			
GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_DN	0.4800067640101172			
GO_MITOCHONDRIAL_TRANSCRIPTION	0.4783753505639159			
GO_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	0.4769689637835973			
KERLEY_RESPONSE_TO_CISPLATIN_DN	0.4744131481364835			
GO_MATURATION_OF_SSU_RRNA	0.47402177790839245			
REACTOME_RRNA_PROCESSING	0.4738386376672054			
GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_DN	0.4737410192148035			
GO_RRNA_METABOLIC_PROCESS	0.4736186765299639			
TESAR_ALK_TARGETS_HUMAN_ES_4D_DN	0.4733329500386561			
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	0.473200236047158			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP	0.47309709234153635			
GO_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	0.47010949091916515			
GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN	0.46915187774122347			
HALLMARK_MYC_TARGETS_V2	0.46381147781485155			
GSE22611_NOD2_TRANSDUCED_VS_CTRL_HEK293T_STIMULATED_WITH_MDP_2H_DN	0.46169747545560846			
BROWN_MYELOID_CELL_DEVELOPMENT_DN	0.4602168883753966			
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_DN	0.45871190096834014			
FUNG_IL2_TARGETS_WITH_STAT5_BINDING_SITES_T1	0.45646729400834946			
