	Score	0.95 MoE	P-Value	Q-Value
GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	0.45854559729203687			
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION	0.43818029768015593			
PID_TOLL_ENDOGENOUS_PATHWAY	0.42751489068597753			
GO_TOLL_LIKE_RECEPTOR_BINDING	0.42417532481475967			
JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	0.42371407050191934			
GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN	0.4215540161159391			
GO_RESPONSE_TO_LIPOTEICHOIC_ACID	0.4189532524990273			
GSE40274_CTRL_VS_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.4149873360941913			
GO_CELLULAR_RESPONSE_TO_OXIDISED_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS	0.41402784756746186			
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_6_SECRETION	0.4138557756072255			
GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_DN	0.4133091857853909			
GSE3982_EOSINOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP	0.4127696368254003			
GO_INTERLEUKIN_6_PRODUCTION	0.41172867322398665			
GSE27859_MACROPHAGE_VS_CD11C_INT_F480_HI_MACROPHAGE_DN	0.4115373219836875			
REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	0.41120792978856713			
GO_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	0.41097948706506854			
FERRANDO_TAL1_NEIGHBORS	0.41044844732088387			
REACTOME_IRAK4_DEFICIENCY_TLR2_4	0.410280640088977			
GSE32164_RESTING_DIFFERENTIATED_VS_CMYC_INHIBITED_MACROPHAGE_DN	0.40974602249435876			
GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_UP	0.4095094124325464			
GSE17580_TREG_VS_TEFF_DN	0.40945784393134543			
GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	0.40843083589006507			
MARKEY_RB1_ACUTE_LOF_DN	0.408099625758333			
GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDC_DN	0.4079499294939427			
GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP	0.4076741410069996			
GO_INTERLEUKIN_23_PRODUCTION	0.40657083398098914			
GO_IMMUNE_EFFECTOR_PROCESS	0.4065415430406315			
GSE2706_2H_VS_8H_R848_STIM_DC_UP	0.40494811978885364			
GO_CHEMOKINE_PRODUCTION	0.4034669169910166			
GO_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION	0.4024057444064999			
GSE37301_MULTIPOTENT_PROGENITOR_VS_GRAN_MONO_PROGENITOR_DN	0.40217674749828536			
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	0.40206295135736164			
GO_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	0.4020420752041325			
GO_INTERLEUKIN_8_PRODUCTION	0.40187182792799386			
GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_DN	0.40175731025560835			
GO_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	0.4016009321269041			
GO_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.401594621335679			
GSE22886_DC_VS_MONOCYTE_DN	0.40039673246266305			
GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP	0.40032735250170504			
GO_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	0.4000322877816771			
GO_LEUKOCYTE_MEDIATED_IMMUNITY	0.39986798062048495			
REACTOME_NEUTROPHIL_DEGRANULATION	0.39936434949949884			
GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_DN	0.3989903961068694			
GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.3989512171327219			
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	0.3989199345642424			
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	0.3987621643509005			
GO_NEGATIVE_REGULATION_OF_CELL_ACTIVATION	0.39870023877347094			
REACTOME_INNATE_IMMUNE_SYSTEM	0.39851204809978297			
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD8_TCELL_DN	0.3984320439196934			
GO_MYELOID_LEUKOCYTE_ACTIVATION	0.3983426188372519			
GSE37416_12H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.39833987418601413			
GO_REGULATION_OF_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	0.39818970589484715			
