	Score	0.95 MoE	P-Value	Q-Value
GO_VENTRICULAR_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	0.74855361157397			
MIR6772_3P	0.7331315292348287			
GO_LYSINE_METABOLIC_PROCESS	0.7327250289314844			
IPA_NFKBIZ_UP	0.72398972129249			
MIR378J	0.7212606754201739			
GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS	0.7165744697426469			
GO_S_ACYLTRANSFERASE_ACTIVITY	0.7146794284347249			
GO_NOTCH_RECEPTOR_PROCESSING_LIGAND_DEPENDENT	0.7146126130660323			
GO_CALCIUM_ION_EXPORT	0.7122730564933356			
GO_GLYCOSIDE_CATABOLIC_PROCESS	0.7094820865455853			
GO_REGULATION_OF_DNA_TOPOISOMERASE_ATP_HYDROLYZING_ACTIVITY	0.7070838082065446			
GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP	0.7021433984932396			
GO_PINOSOME	0.702085945885701			
MIR11399	0.7014230091127266			
MIR6839_5P	0.6987164668536158			
GO_PALMITOYLTRANSFERASE_ACTIVITY	0.69855139245816			
GO_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_2B_COMPLEX	0.6966041806434505			
GO_VESICLE_UNCOATING	0.695614196358559			
GO_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	0.694679038271806			
GO_CALCIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	0.6929527057662225			
MIR4722_3P	0.6902396218869977			
MIR4255	0.6898751260371694			
GO_RESPONSE_TO_NITROSATIVE_STRESS	0.6886558338807345			
MIR105_5P	0.6882816676799508			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_UP	0.6870722326602124			
GO_CARBONYL_REDUCTASE_NADPH_ACTIVITY	0.6867443254093291			
GO_GOLGI_RIBBON_FORMATION	0.6856503053422751			
MIR10397_3P	0.6847754901735271			
GO_POSTSYNAPTIC_CYTOSOL	0.6841852153447102			
NR2E3_TARGET_GENES	0.6834186774940374			
MIR4732_3P	0.6831314671484532			
USF_Q6_01	0.6831093056707666			
IPA_HOXA11_UP	0.6821183604896149			
MIR4289	0.681421724203067			
GO_MONOAMINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.6798912450940059			
MIR323A_3P	0.6796348276514984			
GGCCAGT_MIR193A_MIR193B	0.6792569093666914			
CHANGOLKAR_H2AFY_TARGETS_DN	0.6777778038389451			
GO_POSITIVE_REGULATION_OF_HEPATOCYTE_PROLIFERATION	0.6775700789035786			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX3	0.6759854200030145			
CTGYNNCTYTAA_UNKNOWN	0.6753465059583784			
MIR191_5P	0.6749516199756594			
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR	0.6723864594722991			
GO_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	0.6709083134278709			
MIR4268	0.6702863118886526			
GO_POSTSYNAPTIC_DENSITY_INTRACELLULAR_COMPONENT	0.6679231068396821			
MIR7853_5P	0.6677890866873796			
GO_POSTSYNAPTIC_SPECIALIZATION_INTRACELLULAR_COMPONENT	0.6665368282313299			
HNF3ALPHA_Q6	0.6663091723550276			
GO_ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	0.6656013323003199			
HOXA13_TARGET_GENES	0.6649948774128465			
GO_POSITIVE_REGULATION_OF_NEURON_MIGRATION	0.6646349692265178			
MIR34A_3P	0.6640630612905124			
LXR_Q3	0.6628951888010104			
BIOCARTA_ACTINY_PATHWAY	0.6613743332129014			
REACTOME_NEPHRIN_FAMILY_INTERACTIONS	0.6613296881703068			
GO_U4_SNRNA_BINDING	0.6611967860780773			
GO_PROTEASOME_ACCESSORY_COMPLEX	0.6601226252430904			
GO_CYTOSOLIC_PROTEASOME_COMPLEX	0.659499639727032			
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_LIPID_TRANSPORT	0.6591275335066471			
BAUS_TFF2_TARGETS_DN	0.6590886429167787			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.6568565811713617			
GO_FATTY_ACID_HOMEOSTASIS	0.6567319697377416			
GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP	0.6562470503148797			
HUANG_FOXA2_TARGETS_UP	0.6562054982304212			
BCL6B_TARGET_GENES	0.6561924800675839			
MIR1255B_2_3P	0.6554041620644354			
IPA_MXD1_UP	0.655277259802714			
GO_PRE_SNORNP_COMPLEX	0.6549129028533351			
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_UP	0.6528163488067149			
GO_INTEGRAL_COMPONENT_OF_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE	0.6519258528642669			
GO_L_GLUTAMINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.6518530887175047			
GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.6517404067654525			
BIOCARTA_CIRCADIAN_PATHWAY	0.6511783937951008			
GO_ACTIVIN_RECEPTOR_ACTIVITY_TYPE_I	0.6510862512060901			
IPA_TWIST1_UP	0.650608643692365			
GO_CDC73_PAF1_COMPLEX	0.6502442160769806			
MIR6770_3P	0.650119415642977			
GO_CUTICULAR_PLATE	0.649952310011057			
GO_SERTOLI_CELL_DEVELOPMENT	0.6497433850701715			
GO_DENDRITE_TERMINUS	0.6497325247892352			
GO_NEGATIVE_REGULATION_OF_RECEPTOR_CATABOLIC_PROCESS	0.6497150337991063			
GO_RETINA_LAYER_FORMATION	0.6474168224393647			
GO_REGULATION_OF_BILE_ACID_BIOSYNTHETIC_PROCESS	0.647200987690359			
IPA_KDM5B_DN	0.6470891855158458			
MIR196A_3P	0.6469645850164712			
GO_BETA_CATENIN_DESTRUCTION_COMPLEX	0.646853323101226			
