	Score	0.95 MoE	P-Value	Q-Value
GO_NEGATIVE_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	0.5906080276083001			
REACTOME_CALCINEURIN_ACTIVATES_NFAT	0.5741968711491595			
SIG_BCR_SIGNALING_PATHWAY	0.5322881124112223			
BIOCARTA_CSK_PATHWAY	0.5315788117568228			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_DN	0.5274465140857783			
GO_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	0.5242005456552292			
REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION	0.5240442752802718			
BIOCARTA_CTLA4_PATHWAY	0.5201994889711797			
BIOCARTA_TCRA_PATHWAY	0.5153673790845464			
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP	0.5148685838100443			
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.5148575733232842			
GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	0.5131918716912941			
KASLER_HDAC7_TARGETS_1_UP	0.5107711084646497			
GO_REGULATION_OF_B_CELL_PROLIFERATION	0.5107661369488103			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN	0.5102275927416331			
CROONQUIST_NRAS_VS_STROMAL_STIMULATION_UP	0.5098810113386272			
SU_THYMUS	0.5081189556410605			
GSE14350_TREG_VS_TEFF_UP	0.5076862680340921			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	0.5052930861626466			
REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS	0.5050319682677954			
GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_UP	0.5039247394357789			
GSE22886_NAIVE_TCELL_VS_MONOCYTE_UP	0.503605333653981			
REACTOME_PD_1_SIGNALING	0.5020565281831995			
GO_ACTIN_CORTICAL_PATCH_LOCALIZATION	0.5013284037592105			
GO_B_CELL_PROLIFERATION	0.500357656268212			
PID_TCR_PATHWAY	0.4992367945922208			
BIOCARTA_TCR_PATHWAY	0.4986480351506639			
GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP	0.4985747273627035			
GSE22886_NAIVE_CD4_TCELL_VS_DC_UP	0.4979991637455726			
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.4976304658805435			
GSE33425_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP	0.49498769300199535			
GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_DN	0.4949654550434552			
GO_POSITIVE_T_CELL_SELECTION	0.49491631553482107			
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.49463145102766964			
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.4943584082580917			
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_UP	0.4943096827964341			
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_UP	0.4941740633652314			
GSE22886_NAIVE_CD8_TCELL_VS_DC_UP	0.494048303005776			
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP	0.4930523818888906			
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.49304997924586896			
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	0.49270924711791214			
GO_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	0.4912677174998764			
GSE3982_MAC_VS_BCELL_DN	0.4911598674236853			
GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_DN	0.4901791630901888			
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	0.48975441571085826			
GSE29164_DAY3_VS_DAY7_UNTREATED_MELANOMA_UP	0.48915072287029426			
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_BCR_SIGNALING	0.4890622349161979			
GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_UP	0.48827025520713135			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN	0.4882695884705401			
MAML1_TARGET_GENES	0.4881170104959377			
GO_SH3_SH2_ADAPTOR_ACTIVITY	0.4872602376523237			
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	0.4867345555766054			
GSE35435_RESTING_VS_IL4_TREATED_MACROPHAGE_UP	0.486660068506913			
YU_MYC_TARGETS_DN	0.4865768064566457			
HOLLMANN_APOPTOSIS_VIA_CD40_UP	0.4847582962563458			
WINTER_HYPOXIA_DN	0.48455352774358756			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	0.4844850001097423			
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_UP	0.48417720617671334			
GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	0.48416278679731123			
GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP	0.4839371911590545			
BILBAN_B_CLL_LPL_UP	0.48330233861678035			
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.4830564967870885			
GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	0.48201763140186565			
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN	0.48117039502817854			
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_UP	0.48084316966956137			
GSE32901_NAIVE_VS_TH1_CD4_TCELL_DN	0.48069164509525486			
